Mecklenburgisch-Vorpommersch	American English	probability
ˈɛɪ̯	ˈi	1.0
ˈɔʏ̯_n	ˈi_n	1.0
ˈɔʏ̯	ˈi	1.0
ˈœ	-	1.0
ˈøː	ˈɪ	1.0
ˈeː	ˈoʊ̯	1.0
ˈaʊ̯_x	ˈaɪ̯	1.0
ˈaʊ̯_d̥	ˈɛ_d	1.0
ˈaɪ̯	-	1.0
ˈae̯_ŋ	ˈaɪ̯	1.0
ˈa_l	ˈæ	1.0
ɪ	i	1.0
ɣ̊	-	1.0
ɣ	ˈaɪ̯	1.0
ɡ̊	-	1.0
ɡ_l	ɫ	1.0
z̥	z	1.0
z	s	1.0
x	-	1.0
w	w	1.0
tʰ	tʰ	1.0
pʰ	pʰ	1.0
p	p	1.0
h	h	1.0
d̥	d	1.0
ae̯	i	1.0
r	ɹ	0.938
f	f	0.936
v	w	0.911
n	n	0.882
m	m	0.881
b	b	0.823
ŋ	ŋ	0.766
s	s	0.751
ˈʊ	ˈʌ	0.744
ɾ	ð	0.706
ɡ	ɡ	0.691
kʰ	kʰ	0.655
ˈœː	-	0.644
k	k	0.644
ʃ	ʃ	0.638
ˈɛ	ˈɛ	0.617
ç	ʤ	0.6
d	d	0.596
t	ʔ	0.584
ˈʏ	ˈɪ	0.575
æ	ɚ	0.572
ˈɪ	ˈɪ	0.562
l	ɫ	0.557
ˈyː	ˈi	0.542
ˈoː	ˈɛ	0.533
j	j	0.507
j	-	0.493
ˈɔ	ˈɑ	0.473
ˈoː	ˈi	0.467
ˈyː	ˈaɪ̯	0.458
ˈɛː	ˈɛ	0.452
l	l	0.443
ˈaː	ˈɑ_ɹ	0.437
ˈuː	ˈaʊ̯	0.426
ˈae̯	ˈoʊ̯	0.423
d	θ	0.404
ç	ʔ	0.4
ˈiː	ˈaɪ̯	0.376
ʃ	s	0.362
ˈœː	ˈʌ	0.356
kʰ	ʧ	0.345
ˈa	ˈɛə̯	0.344
ˈɔ	ˈʌ	0.342
ˈaː	ˈæ	0.338
ɡ	-	0.309
ˈiː	-	0.308
ˈɒː	ˈeɪ̯	0.306
ˈuː	ˈɔ	0.296
ɾ	-	0.294
ˈɛː	ˈi	0.275
ˈɛː	-	0.272
t	t	0.271
ˈaʊ̯	ˈi	0.267
ˈɪ	ˈaɪ̯	0.256
ˈɒː	ˈʌ	0.249
s	k_s	0.249
ˈae̯	ˈi	0.248
ŋ	ŋ_ɡ	0.234
ˈɒː	ˈi	0.229
ˈaʊ̯	ˈu	0.228
ˈaː	-	0.225
k	ʧ	0.224
ˈa	ˈeɪ̯	0.221
ˈɒː	-	0.217
ˈʏ	ˈʌ	0.213
ˈʏ	ˈɛ	0.213
ˈɛ	ˈɪ	0.196
ˈɛ	-	0.187
æ	ɹ	0.187
ˈɔ	ˈoʊ̯	0.185
b	-	0.177
ˈiː	ˈi	0.173
ˈae̯	ˈɛ	0.169
ˈa	ˈɑ	0.169
ˈaʊ̯	ˈʌ	0.168
ˈuː	ˈʌ	0.161
ˈaʊ̯	ˈʊ	0.148
ˈa	ˈæ	0.148
ˈiː	ˈʌɪ̯	0.142
ˈʊ	ˈʊ	0.132
k	-	0.132
ˈʊ	-	0.124
æ	-	0.119
ˈa	-	0.117
ˈuː	-	0.116
ˈaʊ̯	ˈoʊ̯	0.097
n	-	0.097
ˈaʊ̯	ˈaʊ̯	0.093
v	w_ˈɛ	0.089
m	v	0.084
ˈae̯	ˈɪ	0.081
t	-	0.08
ˈae̯	ˈu	0.079
ˈɪ	ˈʌɪ̯	0.076
æ	ˈɔ_ɹ	0.071
t	ˈeɪ̯_ʔ	0.066
f	v	0.064
ˈɪ	ˈoʊ̯	0.063
r	-	0.062
æ	d_ɚ	0.051
