Afrikaans	Old English	probability
ˈɪə̯_n	ˈɑː_n	1.0
ˈɪø̯	ˈu	1.0
ˈɛ_m	mː	1.0
ˈɛ	ˈe	1.0
ˈɔ_n	ˈuː	1.0
ˈɑː_n	ˈoː_n	1.0
ˈœɪ̯	ˈuː	1.0
ˈœu̯	ˈæɑ̯_ɫ	1.0
ˈœ	ˈy	1.0
ˈyː_r	r	1.0
ˈoː	ˈæːɑ̯	1.0
ˈa_n	ˈoː	1.0
ɦ	h	1.0
ə_ŋ	n	1.0
ə_n	n	1.0
w	w	1.0
s_k	ʃ	1.0
r_ˈə	r_ˈi	1.0
r_t	r_t	1.0
r_d̥	r_d	1.0
n_t	n_t	1.0
m	m	1.0
i	iːy̯	1.0
b	b	1.0
d̥	d	0.967
v̥	f	0.943
t	t	0.94
ˈə	ˈi	0.926
r	r	0.88
s	s	0.852
p	p	0.845
v	w	0.807
ŋ	ŋ_ɡ	0.797
d	θ	0.729
ˈi	ˈeːo̯	0.714
ˈəɪ̯	ˈiː	0.707
n	n	0.701
ˈɔ	ˈu	0.689
ˈɛː	ʤː_ɑ	0.667
ɫ	l	0.6
k	k	0.56
ˈu	ˈoː	0.556
j	j	0.531
ˈæː	ˈeo̯	0.5
ˈæː	-	0.5
ə	e	0.484
ˈɪə̯	ˈe	0.472
j	d	0.469
ˈu	ˈeː	0.444
ˈæ	ˈe	0.407
ˈa	ˈɑ	0.387
ə	o	0.358
ˈʊə̯	ˈæːɑ̯	0.347
ˈɛː	bː	0.333
ɫ	ɫ	0.319
ˈʊə̯	ˈo	0.307
k	ʧ	0.301
ˈæ	ˈi	0.296
ˈæ	ˈeo̯	0.296
ˈəɪ̯	ˈɑː	0.293
χ	j	0.249
χ	ɣ	0.245
n	nː	0.226
ˈɔ	ˈo	0.22
ˈɑː	-	0.211
ˈɪə̯	ˈɑː	0.205
ŋ	ŋ	0.203
ˈɑː	ˈæːɑ̯	0.198
ˈɑː	ˈæː	0.196
d	d	0.195
ˈa	ˈæ	0.189
ˈɑː	ˈɑ	0.188
ˈɪə̯	ˈi	0.166
ˈi	-	0.165
χ	ʤ	0.16
p	pː	0.155
ˈa	ˈæɑ̯	0.141
ˈa	-	0.14
ə	i	0.137
χ	x	0.131
ˈʊə̯	ˈiːy̯	0.131
v	h_w	0.126
ˈi	ˈeːo̯_w	0.121
χ	ɣ̊	0.109
ˈɑː	ˈæ	0.109
ˈɑː	ˈeo̯	0.097
ˈɔ	ˈy	0.091
ˈʊə̯	-	0.09
k	ʧ_e	0.086
ɫ	ɫː	0.082
ˈɪə̯	ˈeo̯	0.081
ˈɪə̯	-	0.077
d	ð	0.075
ˈə	ˈeːo̯	0.074
n	n_e	0.072
χ	t	0.071
s	z	0.071
v	v	0.067
r	e_r	0.064
ˈʊə̯	ˈɑː	0.063
ˈʊə̯	ˈu	0.063
t	tː	0.06
v̥	v	0.057
