West Frisian	West Frisian	probability
χ_#>	ɣ_ə_#>	1.0
ˈɪə̯_r	ɐ	1.0
ˈɪə̯_#>	ˈeo̯_d̥_#>	1.0
ˈɪ_r	ɐ	1.0
ˈɛi̯	-	1.0
ˈɛ_j	ˈiː	1.0
ˈɔu̯	-	1.0
ˈøə̯	ˈʏ	1.0
ˈyː	-	1.0
ˈy	-	1.0
ˈu̯o	ˈɔʏ̯	1.0
ˈu	-	1.0
ˈoː	ˈaʊ̯	1.0
ˈeː	ˈɛɪ̯	1.0
ʋ	v	1.0
ə_r	ɐ	1.0
ɕ	z	1.0
ŋ	ŋ	1.0
t_ə	t_n	1.0
s_l	s_l	1.0
s_k	ʃ	1.0
s_#>	z̥_#>	1.0
p_ə	b_m	1.0
p	p	1.0
n_ə	n	1.0
m	m	1.0
k	k	1.0
j_ˈɪ	ˈøː	1.0
j_ˈɔ	ˈɪ	1.0
j_ˈuə̯	ˈyː	1.0
j_ɪ	ɒː	1.0
j_ə	n	1.0
h	h	1.0
d̥	d̥	1.0
d_ə	n	1.0
b	b	1.0
<#_t	<#_d	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_j	<#_j	1.0
<#	<#_d	1.0
#>	f_#>	1.0
f	f	0.963
t	t	0.932
l	l	0.919
d	d	0.9
ɡ	ɣ	0.8
n	n	0.756
ˈa	ˈa	0.706
ˈuə̯	ˈaʊ̯	0.7
ˈɛ	-	0.667
k_ə	k_ə	0.667
ˈɔː	ˈa	0.6
ʦ	-	0.6
j	-	0.571
ˈoə̯	-	0.545
r	ɐ	0.541
χ	ç	0.5
χ	x	0.5
ˈɪ	ˈɪ	0.5
ˈɛː	-	0.5
ˈuː	ˈuː	0.5
z_ə	z_n	0.5
z_ə	n	0.5
s	s	0.5
ˈiː	ˈiː	0.462
ˈi	ˈiː	0.462
v	v	0.455
s	z	0.441
ˈɔ	ˈʊ	0.412
r	r	0.405
ˈɪə̯	ˈeo̯	0.4
ˈɔː	ˈɔ_l	0.4
ˈiə̯	ˈɛɪ̯	0.4
ʦ	k	0.4
ˈi	ˈɪ	0.385
ə	n	0.366
v	w	0.364
ə	ə	0.341
ˈɛː	ˈʏ	0.333
ˈuː	-	0.333
ˈaː	ˈa	0.333
ɣ	ɣ	0.333
ɣ	ɡ	0.333
ɣ	-	0.333
k_ə	k	0.333
ˈuə̯	-	0.3
ˈiə̯	ˈɒː	0.3
j	ˈɛɪ̯	0.286
ˈoə̯	ˈoː	0.273
ˈɔ	ˈɔ	0.235
ˈɔ	-	0.235
ˈiː	ˈɛɪ̯	0.231
ˈaː	ˈɛɪ̯	0.222
ˈaː	ˈɒː	0.222
ˈaː	-	0.222
ə	-	0.22
ˈɪə̯	ˈɛɪ̯	0.2
ˈɪə̯	ˈa	0.2
ˈiə̯	ˈɔʏ̯	0.2
ɡ	j	0.2
ˈɪ	ˈɛ	0.192
ˈoə̯	ˈɒː	0.182
v	-	0.182
ˈa	-	0.176
ˈɛː	ˈɛə̯	0.167
ˈɛ	ˈɛ	0.167
ˈɛ	ˈa	0.167
ˈuː	ˈʊ	0.167
n	n_d̥	0.156
ˈɪ	-	0.154
ˈiː	ˈɪ	0.154
ˈiː	-	0.154
ˈi	-	0.154
j	ˈiː	0.143
ˈɪə̯	ˈɒː	0.133
ˈɔ	ˈɛ	0.118
ˈa	ˈɒː	0.118
ˈiə̯	ˈeː	0.1
d	-	0.1
n	-	0.089
l	l_ə	0.081
ˈɪ	ˈʏ	0.077
ˈɪ	ˈœ	0.077
ə	ɪ	0.073
t	-	0.068
ˈɪə̯	ˈaɪ̯	0.067
s	ʃ	0.059
r	r_ˈʏ	0.054
