West Flemish	West Frisian	probability
b	b	1.0
d	d	0.65
d	-	0.171
d	t	0.127
d	ʦ	0.044
f	f	0.641
f	-	0.144
f	h	0.144
h	χ	0.637
h	k	0.252
h	-	0.101
j	j	0.35
j	ˈɛi̯	0.304
k	k	0.737
k	-	0.134
k	ʦ	0.114
l	l	1.0
m	m	1.0
n	n	0.65
n	ə	0.318
n	-	0.037
n_t	n	1.0
p	p	1.0
s	s	1.0
t	t	0.944
t	-	0.04
v	f	0.838
v	v	0.114
v	-	0.045
v_n	n	1.0
w	l	0.638
w	-	0.33
z	s	0.864
z	ɕ	0.082
z	z	0.054
ç	χ	0.501
ŋ	ŋ	1.0
ə	ə	0.485
ə	-	0.484
ə	ˈɪ	0.032
ɦ	ɡ	0.451
ɦ	ɣ	0.221
ɦ	-	0.159
ɦ	χ	0.073
ɦ	z	0.048
ɪ	ɪ	0.501
ɾ	r	0.857
ɾ	-	0.117
ɾ_s	s	1.0
ʃ	s	1.0
ʋ	ʋ	0.436
ʋ	v	0.389
ʋ	-	0.172
ˈeː	ˈaː	0.178
ˈeː	ˈiə̯	0.178
ˈeː	ˈɛi̯	0.102
ˈeː	ˈɛː	0.102
ˈeː	j	0.102
ˈi	ˈi	0.483
ˈi	ˈiː	0.357
ˈi	ˈɛ	0.143
ˈiə̯	ˈiə̯	0.234
ˈiə̯	ˈɛ_j	0.197
ˈiə̯	j	0.171
ˈiə̯	j_ˈuə̯	0.154
ˈiə̯	ˈɛi̯	0.065
ˈoː	ˈɪə̯	0.403
ˈoː	ˈuː	0.166
ˈoː	ˈuə̯	0.153
ˈoː	ˈeː	0.133
ˈoː	-	0.062
ˈoː_t	ˈɪə̯	1.0
ˈoː_ɾ	ˈoə̯	1.0
ˈu	ˈɔː	0.404
ˈu	ˈuː	0.276
ˈu	ˈɔ	0.107
ˈu	ˈɔu̯	0.099
ˈu	ˈu	0.07
ˈuə̯	ˈuə̯	0.518
ˈuə̯	ˈiə̯	0.248
ˈuə̯	ˈoː	0.156
ˈuə̯	ˈɵ	0.072
ˈyː	ˈuː	0.505
ˈyː	ˈyː	0.283
ˈyː	ˈiː	0.187
ˈæ	ˈɛ	0.214
ˈæ	j_ˈɛ	0.186
ˈæ	ˈɔ	0.162
ˈæ	ˈa	0.141
ˈæ	ˈɛi̯	0.107
ˈøː	ˈu	0.488
ˈøː	ˈoə̯	0.323
ˈœ	ˈɔ	0.545
ˈœ	ˈiː	0.186
ˈœ	ˈɛː	0.128
ˈœ	ˈø	0.092
ˈɑ	ˈa	0.405
ˈɑ	ˈaː	0.154
ˈɑ	ˈɔː	0.131
ˈɑ	ˈɛː	0.111
ˈɑ	ˈiː	0.051
ˈɒː	ˈiə̯	0.292
ˈɒː	ˈaː	0.252
ˈɒː	ˈɛː	0.071
ˈɒː	ˈɪə̯	0.071
ˈɒː	ˈɛ	0.071
ˈɔ	ˈɔ	0.622
ˈɔ	ˈoə̯	0.257
ˈɔ	ˈɪə̯	0.093
ˈɛ	ˈɪ	0.807
ˈɛ	ˈɛi̯	0.113
ˈɛ	ˈi	0.06
ˈɛː	ˈiə̯	0.492
ˈɛː	ˈɪə̯	0.137
ˈɛː	ˈiː	0.137
ˈɛː	ˈaː	0.104
ˈɛː	ˈeː	0.098
ˈɪ	ˈɪ	0.467
ˈɪ	ˈi	0.179
ˈɪ	ˈɔ	0.103
ˈɪ	-	0.1
ˈɪ	ˈiː	0.1
ˈʏ	ˈɪ	1.0
