Neapolitan	Romansch	probability
a	ə	0.713
a	a	0.183
a	-	0.093
b	b	0.721
b	-	0.178
b	v	0.093
d	d	0.691
d	-	0.182
d	t	0.091
d_ə	t	1.0
e	-	0.441
e	ˈeː	0.157
e	l	0.148
e	ə	0.148
f	f	1.0
i	-	0.441
i	ə	0.26
i	i	0.077
i	j	0.077
i	u	0.077
i	ˈi	0.066
j	-	0.574
j	j	0.199
j	l	0.164
j	ˈi	0.056
j_ə	ʎ	1.0
k	ʨ	0.408
k	-	0.26
k	k	0.26
k_j	ʎ	0.26
k_w	k	1.0
l	l	0.679
l	-	0.281
m	m	0.782
m	-	0.215
m_j	m	1.0
n	n	0.919
n	-	0.064
n_ə	t	1.0
o	-	0.425
o	u	0.28
o	o	0.178
o	r	0.051
p	p	0.897
p	v	0.056
p	-	0.055
r	r	0.889
r	-	0.099
s	s	0.754
s	ʃ	0.109
s	-	0.076
t	t	0.635
t	d	0.179
t	-	0.116
t_j	t	1.0
t_t	ʨ	0.26
t_ə	ʨ	1.0
u	u	0.355
u	-	0.242
u	o	0.147
u	ə	0.111
u	i	0.081
v	v	0.896
v	b	0.101
v_ə	f	1.0
w	-	0.582
w	ˈɛ	0.112
w	w	0.103
w	j_ˈɛ	0.083
w	u	0.058
w	ˈa	0.051
z	s	0.51
ŋ	ŋ	0.559
ŋ	n	0.273
ŋ	l	0.157
ə	-	0.641
ə	ə	0.339
ɡ	ɡ	0.595
ɡ	-	0.288
ɡ	ʥ	0.103
ɲ	ɲ	0.352
ɲ	-	0.274
ɲ	n	0.102
ɲ	ɡ	0.102
ɲ	ŋ	0.077
ɲ	ˈuɔ̯	0.077
ɾ	r	0.784
ɾ	-	0.161
ʃ	ʧ	0.389
ʃ	ʃ	0.32
ʃ	-	0.193
ʃ	f_l	0.051
ʃ_ə	ʃ	1.0
ʎ	ʎ	0.491
ʎ	ˈe	0.226
ʎ	v	0.172
ʎ	-	0.084
ʎ_ə	ə	1.0
ʤ	ʃ	0.409
ʤ	-	0.263
ʤ	ʥ	0.192
ʤ	ɲ	0.054
ʦ	-	0.407
ʦ	w	0.157
ʦ	ʧ	0.111
ʦ	s	0.1
ʦ	ʦ	0.1
ʦ_ə	ʦ	1.0
ʧ	ʦ	0.502
ʧ	-	0.256
ʧ	ʃ	0.099
ˈa	ˈa	0.694
ˈa	ˈaː	0.163
ˈa	ˈɔ	0.073
ˈe	ˈe	0.326
ˈe	j	0.275
ˈe	ˈi	0.197
ˈe	ˈa	0.068
ˈe	ˈɛ	0.066
ˈe	ˈeː	0.065
ˈi	ˈi	0.526
ˈi	ˈa_j	0.2
ˈi	ˈe	0.101
ˈi	ˈiː	0.07
ˈi	ˈɛ	0.065
ˈi_ʎ	ˈi	0.51
ˈo	ˈu	0.803
ˈo	ˈuː	0.101
ˈo	ˈɔ	0.078
ˈu	ˈu	0.5
ˈu	ˈi	0.306
ˈu	-	0.069
ˈu_j	ˈu	1.0
ˈu_k	ˈu	1.0
ˈu_t	ˈu	0.133
ˈɔ	ˈɔ	0.286
ˈɔ	ˈu	0.278
ˈɔ	ˈɔː	0.131
ˈɔ	-	0.128
ˈɔ	w	0.125
ˈɔ_k	w	1.0
ˈɛ	ˈɛ	0.471
ˈɛ	ˈeː	0.114
ˈɛ	ˈɛː	0.106
ˈɛ	ˈi_ə	0.099
ˈɛ	ˈa_j	0.075
ˈɛ	j_ˈa	0.066
ˈɛ	ə	0.05
ˈɛ_l	ˈɛ	1.0
ˈɛ_t	ˈɛ	1.0
