Swiss German	Old Frisian	probability
χ_s	k_s	1.0
ˈɒ_n	ˈoː	1.0
ˈø_p͡f	pː	1.0
ˈø	ˈe	1.0
ˈæː	-	1.0
ˈyə̯	ˈeː	1.0
ˈuː	ˈuː	1.0
ˈe	ˈe	1.0
ˈau̯	ˈaː	1.0
ʒ̊_l	s_l	1.0
ʋ	w	1.0
ʃː	s_k	1.0
ʃ	s	1.0
ɡ̊ː	ɡː	1.0
æ	iː	1.0
z̥_ˈɒ	s_ˈa	1.0
z̥	s	1.0
v̥	f	1.0
t_r	d_r	1.0
sː	t	1.0
s	z	1.0
r_ʦ	r_t	1.0
r_ə	r_ə	1.0
p͡f	p	1.0
l	l	1.0
j	j	1.0
h	h	1.0
fː	p	1.0
d̥_r	θ_r	1.0
m	m	0.953
ə	ə	0.94
r	r	0.885
ʦ	t	0.847
ˈuə̯	ˈoː	0.833
ˈiː	ˈiː	0.833
b̥	b	0.814
n	n	0.809
χ	x	0.8
ˈi	ˈi	0.797
ˈæi̯	ˈɛː	0.773
ˈæ	ˈe	0.742
ɣ̊	k	0.719
t	d	0.645
f	p	0.645
ŋ	ŋ	0.64
ˈɒ	ˈa	0.626
tː	d	0.608
ˈiə̯	ˈi̯aː	0.602
ˈu	ˈu	0.601
i	i	0.571
ˈeː	-	0.567
ˈøː	ˈɛː	0.562
χː	k	0.541
ʒ̊	s	0.53
k͡χ	k	0.515
ˈo	ˈɔː	0.506
d̥	θ	0.504
ˈoː	ˈaː	0.503
k͡χ	kː	0.485
ɡ̊	ɡ	0.474
ʒ̊	s_k	0.47
ˈøː	-	0.438
ˈeː	ˈɛː	0.433
i	ə	0.429
ˈɒː	ˈeː	0.423
ˈiə̯	-	0.398
tː	dː	0.392
ˈyː	ˈi̯uː	0.379
t	t	0.355
f	f	0.355
ˈɒː	ˈe	0.341
ˈyː	ˈi̯aː	0.339
ˈy	ˈe	0.329
ˈo	ˈo	0.302
d̥	d	0.285
ɣ̊	ʦ	0.281
ˈy	ˈi	0.273
χː	k_ə	0.271
ɡ̊	ɣ	0.257
ˈæi̯	ˈaː	0.227
ˈɒ	ˈɔː	0.213
d̥	ð	0.211
ˈy	-	0.201
χ	k	0.2
ˈy	ˈo	0.198
ˈoː	ˈɔː	0.193
ˈo	ˈu	0.192
χː	-	0.188
b̥	v	0.186
ŋ	n_d	0.185
ɡ̊	j	0.177
ŋ	ŋ_ɡ	0.175
ˈyː	ˈiː	0.17
ˈu	ˈo	0.168
ˈuə̯	-	0.167
ˈiː	-	0.167
ˈɒ	ˈe	0.161
ˈæ	-	0.161
ˈoː	ˈeː	0.157
ʦ	tː	0.153
ˈoː	-	0.148
ˈɒː	ˈɔː	0.14
ˈu	ˈe	0.134
ˈi	j	0.114
ˈyː	ˈeː	0.112
n	nː	0.101
ˈɒː	ˈa	0.097
ˈæ	ˈi	0.097
ˈu	-	0.097
ɡ̊	-	0.092
n	n_ə	0.091
ˈi	-	0.089
ə	j_ə	0.06
r	r_ə	0.052
