Ripuarian	Ripuarian	probability
ˈʏ_ŋ	ˈoĩ̯	1.0
ˈʊ	ˈu	1.0
ˈɛ_ɐ	ˈɑː	1.0
ˈɔː	ˈɔ_ɐ	1.0
ˈœ	ˈi	1.0
ˈøː_n	ˈĩː	1.0
ˈøʏ̯	ˈoi̯	1.0
ˈu	-	1.0
ˈoː_ɐ_#>	ˈɑː_#>	1.0
ˈeː_n	ˈãː	1.0
ˈe_ŋ	ˈɑ̃i̯	1.0
ʦ	ʦ	1.0
ʋ	v	1.0
ʃ_t	ʃ_d̥	1.0
ɫ_d̥	l	1.0
ɫ	l	1.0
ɪ	i	1.0
ɣ̊	x	1.0
ɣ	ɣ̊	1.0
ɡ̊_#>	#>	1.0
ɡ̊	d̥	1.0
ə_f	f	1.0
ə_#>	#>	1.0
ɕ_#>	#>	1.0
z̥	s	1.0
z	s	1.0
x	x	1.0
v̥	b̥	1.0
v	v	1.0
m	m	1.0
l	l	1.0
h	h	1.0
e	ɛː	1.0
f	f	0.929
ʀ	ʀ	0.9
ə	ə	0.9
ʃ	ʃ	0.875
n	n	0.854
ˈe	ˈi	0.833
d̥	d̥	0.824
ˈɪ	ˈi	0.8
d	d̥	0.794
ˈɔ	ˈo	0.75
ɕ	ʃ	0.733
ˈøː	-	0.714
ɐ	æ̆	0.71
s	s	0.688
ˈɛː	-	0.667
ˈo	ˈu	0.667
ˈʏ	ˈi	0.6
ˈeɪ̯	ˈai̯	0.6
t	-	0.6
b	b̥	0.6
ˈɔʊ̯	ˈaː	0.571
k	kʰ	0.542
ˈuː	ˈau̯	0.538
j	ɡ̊	0.533
ˈoː_n	ˈɛ̃ː	0.5
ˈoː_n	ˈõː	0.5
ŋ	n	0.478
ˈoː	ˈuː	0.471
ˈeː	ˈiː	0.467
ˈaː	ˈɑː	0.462
ˈɛ	ˈɛ	0.444
ˈyː	ˈoi̯	0.444
ˈɔʊ̯	ˈau̯	0.429
p	f	0.429
p	-	0.429
ˈʏ	-	0.4
ˈeɪ̯	ˈaː	0.4
ˈa	ˈɑ	0.4
t	t	0.4
b	p	0.4
ŋ	ŋ	0.391
ˈuː	ˈoː	0.385
ˈa	ˈa	0.36
ˈiː	ˈai̯	0.357
ˈɛː	ˈɛː	0.333
ˈyː	-	0.333
s	z̥	0.312
ˈaː	ˈɑ	0.308
k	k	0.292
ɐ	ɐ	0.29
ˈøː	ˈiː	0.286
ˈiː	ˈeː	0.286
ˈɛ	ˈe	0.278
ˈeː	-	0.267
ɕ	ʃ_t	0.267
j	j	0.267
ˈɔ	ˈoː	0.25
ˈoː	ˈɑː	0.235
ˈaː	ˈa	0.231
ˈyː	ɐ	0.222
ˈiː	ˈiː	0.214
d	t	0.206
ˈɪ	-	0.2
j	k	0.2
ˈoː	ˈu	0.176
d̥	t	0.176
ˈɛ	-	0.167
ˈo	ˈo	0.167
ˈo	-	0.167
ˈe	-	0.167
k	ɡ̊	0.167
ˈiː	-	0.143
p	pʰ	0.143
ˈeː	ˈi	0.133
ˈeː	ˈaː	0.133
ŋ	-	0.13
ʃ	ʒ̊	0.125
ˈoː	ˈaː	0.118
ˈɛ	ˈæ	0.111
ʀ	-	0.1
ˈa	ˈɑː	0.08
ˈa	ˈaː	0.08
ˈa	-	0.08
ˈuː	oː	0.077
n	ə	0.073
n	-	0.073
f	v̥	0.071
