Romanian	Romanian	probability
ˈə	ˈi	1.0
ˈi_r	ˈi_ɾ	1.0
ˈi_n	ˈɛ_n	1.0
ˈau̯	ˈa_β	1.0
ʧʲ	-	1.0
ʧ	k	1.0
ʦʲ	ɔ_z	1.0
ʒ	ʣ	1.0
ʃ_t	s_k	1.0
ɨ	a	1.0
ɡ	ɡ	1.0
z	d	1.0
v	b	1.0
t_ˈa	ˈa	1.0
t_#>	t_u_#>	1.0
t	t	1.0
s	s	1.0
r_u	ɔ_ɾ	1.0
r_#>	l_u_#>	1.0
p_ˈu	p_ˈɔ	1.0
p_t	t	1.0
p_l	p_ɾ	1.0
o̯ˈa_p	ˈɔ	1.0
o	-	1.0
nʲ	ɔ_z	1.0
n_j	ɲ	1.0
n_#>	n_u_#>	1.0
m_n	n_ʣ	1.0
m	m	1.0
l_#>	ɖː_u_#>	1.0
kʲ	k_ɾ	1.0
k_ə	k_ɛ	1.0
k_#>	k_u_#>	1.0
j_ˈe	ˈe	1.0
j_ˈa	ˈɛ	1.0
j_n	n	1.0
f	f	1.0
e_r	ɛ_ɾ	1.0
e_d	ˈɛ_ð	1.0
a	a	1.0
<#_ˈo	<#_ˈo	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʦ	<#_t	1.0
<#_z	<#	1.0
<#_u	<#_o	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_d	<#_d	1.0
<#_a	<#_a	1.0
p	p	0.92
b	b	0.875
o̯ˈa	ˈɔ	0.857
ˈa	ˈa	0.838
ə	a	0.83
k	k	0.818
<#_s	<#_s	0.818
<#	<#_i	0.8
ˈɨ	ˈa	0.786
ˈi	ˈi	0.783
ʤ	ɡ	0.778
r	ɾ	0.778
l	ɾ	0.75
e	ɛ	0.744
ˈu	ˈu	0.743
s_#>	s_u_#>	0.667
ʃ	s	0.6
e̯ˈa	ˈɛ	0.6
d	ð	0.556
n	n	0.515
#>	u_#>	0.512
ˈe_r	ɾ	0.5
ˈe_r	ɛ_ɾ	0.5
ʦ	ʦ	0.5
ʦ	t	0.5
ŋ	ŋ	0.5
ŋ	-	0.5
u	u	0.5
i	i	0.5
ˈo	ˈo	0.478
ˈe	ˈi	0.429
ʃ	s_i	0.4
e̯ˈa	ˈe	0.4
w	β_u	0.375
w	u	0.375
u	ɔ	0.357
s_#>	z_u_#>	0.333
j	ˈɛ	0.333
j	j	0.333
ˈo	ˈɔ	0.304
n	nː	0.273
w	-	0.25
l	-	0.25
j	-	0.25
i	ˈi	0.25
i	e	0.25
ˈe	ˈɛ	0.238
ˈe	ˈe	0.238
ʤ	-	0.222
d	d	0.222
d	-	0.222
ˈo	ˈu	0.217
ˈɨ	-	0.214
<#	<#_a	0.2
#>	ɛ_#>	0.195
<#_s	<#	0.182
#>	ɔ̆_#>	0.146
ˈu	ˈɔ	0.143
u	ˈɔ	0.143
o̯ˈa	-	0.143
ˈi	ˈe	0.13
b	-	0.125
k	k_ɾ	0.121
#>	a_#>	0.098
ˈe	-	0.095
r	r	0.095
n	ŋ	0.091
ˈi	ɛ	0.087
j	ɛ̆	0.083
p	-	0.08
ə	ɛ	0.064
ə	u	0.064
r	l	0.063
n	m_ɛ	0.061
n	-	0.061
k	k_a	0.061
e	e	0.058
ˈu	ˈo	0.057
ˈu	-	0.057
ˈa	β_ˈa	0.054
ˈa	ˈɛ	0.054
ˈa	-	0.054
