Campidanese	French	probability
a	a	0.425
a	l	0.219
a	e	0.15
a	ɑ̃	0.118
a	-	0.07
ă	-	1.0
b	v	0.579
b	b	0.198
b	ʒ	0.115
b	-	0.055
d	d	0.66
d	-	0.181
d	ʒ	0.148
e	a	0.433
e	-	0.307
e	ə	0.13
e	e	0.069
ĕ	a	1.0
f	f	0.962
i	e	0.238
i	-	0.224
i	i	0.156
i	ɔ̃	0.136
i	ɛ_j	0.105
i	ɑ̃	0.071
j	-	0.623
j	j	0.217
j	i	0.159
k	ʃ	0.54
k	k	0.315
k	-	0.112
l	l	0.782
l	-	0.115
l	ɛ_l	0.103
m	m	0.684
m	-	0.316
n	-	0.513
n	n	0.447
o	ɔ	0.417
o	-	0.317
o	u	0.141
o	ɛ	0.125
p	p	0.91
p	-	0.09
r	ʁ	0.823
r	-	0.12
r	l	0.056
s	s	0.515
s	-	0.314
s	s_a	0.122
t	-	0.633
t	t	0.358
u	-	0.728
u	i	0.091
u	ø	0.072
v	-	0.935
v	v	0.065
w	-	0.536
w	a	0.387
w	ɔ	0.077
z	-	0.804
z	s	0.196
ð	-	0.897
ð	ʁ	0.103
ŋ	ɑ̃	0.665
ŋ	ɛ̃	0.229
ŋ	ɔ̃	0.106
ɖ	-	0.655
ɖ	l	0.345
ɡ	ɡ	0.556
ɡ	-	0.358
ɡ	ʃ	0.086
ɣ	-	0.764
ɣ	ɡ	0.211
ɲ	ɛ̃	0.622
ɲ	-	0.378
ʃ	-	0.728
ʃ	t	0.201
ʃ	s	0.071
ʒ	z	0.452
ʒ	-	0.342
ʒ	ʒ	0.128
ʒ	s	0.078
ʣ	-	0.661
ʣ	s	0.339
ʤ	-	0.665
ʤ	d	0.172
ʤ	ʒ	0.163
ʦ	s	0.596
ʦ	ɥ	0.255
ʦ	-	0.15
ʧ	s	0.843
ʧ	k	0.128
ˈa	-	0.322
ˈa	ɛ	0.259
ˈa	a	0.143
ˈa	ɑ̃	0.101
ˈa	e	0.101
ˈe	-	0.318
ˈe	ɛ	0.244
ˈe	j	0.176
ˈe	w	0.137
ˈe	i	0.06
ˈe	ə	0.05
ˈi	i	0.397
ˈi	-	0.284
ˈi	ɛ	0.181
ˈi	w	0.124
ˈo	-	0.311
ˈo	ɔ	0.294
ˈo	œ	0.172
ˈo	u	0.1
ˈu	y	0.466
ˈu	u	0.225
ˈu	-	0.118
ˈu	ɔ	0.107
ˈu	w	0.054
β	v	0.782
β	b	0.186
