Ladin	Catalan	probability
f	f	1.0
k	k	1.0
m	m	1.0
o	u	1.0
p	p	1.0
t	t	1.0
ɲ	ɲ	1.0
ʦ	s	1.0
ʧ	s	1.0
ˈi	ˈi	1.0
ˈu	ˈu	1.0
ˈɔ	ˈɔ	1.0
d	ð	0.411
d	d	0.481
r	ɾ	0.401
s	s	0.921
w	l	0.201
ʨ	k	0.761
ˈo	ˈu	0.191
ˈɛ	ˈa	0.241
i	i	0.672
ˈɛ	ˈɛ	0.292
b	β	0.063
e	-	0.13
n	n	0.903
r	r	0.573
v	b	0.683
j	-	0.674
l	l	0.494
w	ˈɔ	0.474
ɡ	ɡ	0.534
ˈo	ˈo	0.584
ʃ	w	0.415
ʒ	-	0.495
ʒ	ʒ	0.505
ˈa	ˈa	0.975
ˈo	-	0.135
j	ˈi	0.326
w	-	0.326
ɡ	ɣ	0.466
a	ə	0.947
b	b	0.937
e	ə	0.87
n	-	0.097
v	β	0.317
ʃ	ə_s	0.517
ˈe	ˈe	0.267
ˈe	ˈa	0.287
ˈe	ˈɛ	0.447
d	-	0.108
i	-	0.328
ʃ	ʃ	0.068
ˈɛ	ˈe	0.468
l	ʎ	0.479
s	ʃ	0.079
ʨ	s	0.239
ˈo	ˈɔ	0.089
