Eastern Lombard	Eastern Lombard	probability
ˈɛ_s	ˈe	1.0
ˈɛ_r	ˈe_ʀ	1.0
ˈu_r	ˈu	1.0
ˈe_l	ˈa_l	1.0
ˈa_l	ˈa_w	1.0
ˈa_#>	ˈa_#>	1.0
ʧ	k_l	1.0
ɲ	ɲ	1.0
ɡ_w	ɡ	1.0
ɡ_a	ʤ_ɔ	1.0
ŋ	ŋ	1.0
z_o	lː	1.0
u	u	1.0
t_#>	#>	1.0
s_a	s_ɔ	1.0
s_#>	#>	1.0
r_t	ˈɔ_ʀ	1.0
r_a	ʀ	1.0
n_t	ŋ	1.0
k_w	k	1.0
k_a	ʧ_ɒ	1.0
k_#>	k_#>	1.0
i_z	ʒ	1.0
i_s	ɡʲ	1.0
f_#>	w_#>	1.0
e_#>	#>	1.0
d_e	ʧ_ə	1.0
a_s	ɥ	1.0
a_r	ɒ_ʀ	1.0
<#_r	<#_ʀ	1.0
p	p	0.909
b	b	0.889
a	ɔ	0.875
m	m	0.844
<#_n	<#_n	0.833
f	f	0.81
ɡ	ɡ	0.8
i	-	0.8
<#	<#_v	0.8
l_#>	l_#>	0.769
r	ʀ	0.75
d	d	0.708
t	t	0.69
l	l	0.684
s	s	0.672
z	ʤ	0.667
<#_t	<#_t	0.667
<#_l	<#_l	0.647
e_r	ʀ_ə	0.636
ˈa	ˈa	0.596
ˈu	ˈu	0.562
ʧ_#>	#>	0.556
n	n	0.536
ʋ	b	0.5
ʋ	-	0.5
j	l	0.5
k	ʧ	0.485
ˈɛ	ˈe	0.483
ˈi	ˈi	0.48
ˈy	ˈy	0.455
k	k	0.455
e	ə	0.455
ʧ_#>	ʎ_#>	0.444
o	-	0.444
ʤ	ʎ	0.429
ˈɔ	w_ˈɔ	0.4
ˈø	w_ˈɔ	0.364
ˈy	-	0.364
e_r	ə	0.364
<#_l	<#_ʎ	0.353
ˈe	ˈe	0.333
z	-	0.333
<#_t	<#	0.333
n	ŋ	0.321
ˈo	ˈa_w	0.316
ˈa	ˈã	0.288
ʤ	ʤ	0.286
ʤ	-	0.286
ˈe	ˈɪ	0.278
j	ʎ	0.278
ˈo	ˈu	0.263
ˈi	ˈɪ	0.24
#>	ə_#>	0.238
#>	ŋ_#>	0.238
l_#>	#>	0.231
ˈø	-	0.227
o	u	0.222
ˈo	w	0.211
l	-	0.211
d	j_ʀ	0.208
ˈɔ	ˈœ_j	0.2
ˈɔ	w	0.2
ˈɔ	-	0.2
ɡ	-	0.2
i	ĩ	0.2
<#	<#_vʲ	0.2
ˈu	ˈɔ	0.188
ˈy	ˈỹ_ŋ	0.182
ˈɛ	ˈɪ	0.172
ˈe	ˈẽ_ŋ	0.167
<#_n	<#	0.167
#>	ɔ_#>	0.167
ˈi	ə	0.16
ˈø	ˈœ	0.136
e	ˈɪ	0.136
e	ʀ	0.136
e	ɒ	0.136
e	-	0.136
ˈu	ˈũ	0.125
ˈu	w_ˈɔ̃	0.125
ˈi	ˈĩ	0.12
#>	e_#>	0.119
s	ɪ	0.115
ˈe	ˈẽ	0.111
ˈe	vʲ_ˈi	0.111
r	ʀ_ə	0.111
o	ˈu	0.111
o	œ	0.111
j	i	0.111
j	-	0.111
b	-	0.111
ˈo	w_ˈɔ̃	0.105
ˈo	-	0.105
l	ʎ	0.105
ˈɛ	ˈɪ̃	0.103
ˈɛ	ˈẽ	0.103
t	ʀ	0.103
t	ŋ	0.103
t	-	0.103
f	w_ʀ	0.095
f	fʲ	0.095
#>	j_#>	0.095
m	mʲ	0.094
ˈø	ˈỹ	0.091
ˈø	ˈy	0.091
ˈø	j_ˈɔ	0.091
p	-	0.091
r	-	0.083
d	dʲ	0.083
ˈa	ˈe_j	0.077
n	ˈẽ	0.071
n	-	0.071
ˈɛ	ˈɛ	0.069
ˈɛ	ˈa	0.069
m	-	0.062
k	k_w	0.061
r	ɒ_ʀ	0.056
o	y	0.056
o	ũ	0.056
