Upper Franconian	Upper Franconian	probability
β	v	1.0
ˈɛː	-	1.0
ˈɛ_ɐ	ˈɑː	1.0
ˈɘ	-	1.0
ˈɒː	ˈeɪ̯	1.0
ˈɒ_x	ˈaɪ̯	1.0
ˈɒ_l	ˈɑː	1.0
ˈoː_ŋ	ˈeɪ̯	1.0
ˈiː_ɐ	ˈiː	1.0
ˈiː_ŋ	ˈaɪ̯	1.0
ˈa	ˈɑː	1.0
ʦ_n	t	1.0
ʦ_#>	t_#>	1.0
ʃ_n	ʃ	1.0
ʃ_d̥	s_t	1.0
ɾ	ð	1.0
ɪ	ɪ	1.0
ɣ̊	f	1.0
ɡ̊_#>	#>	1.0
ç_d̥	t	1.0
ç_#>	#>	1.0
ç	ʧ	1.0
z̥	t	1.0
x_d̥	t	1.0
x_#>	#>	1.0
v̥	p	1.0
v_ˈɒ	w_ˈe	1.0
t	t	1.0
r_ˈaɪ̯	ɜː	1.0
r	ɹ	1.0
n_a	n	1.0
m_a	m	1.0
l_n	ɫ	1.0
j	j	1.0
i	-	1.0
h	h	1.0
f_#>	p_#>	1.0
eː	ˈiː_n	1.0
d̥_ˈɪ	θ_ˈɪ	1.0
d̥_n	d	1.0
b̥͡v̥	pʰ	1.0
b̥_#>	f_#>	1.0
b̥	b	1.0
a	-	1.0
<#_ˈɛ	<#	1.0
<#_n	<#_n	1.0
v	w	0.885
f	f	0.862
m	m	0.808
ˈaʊ̯	ˈaʊ̯	0.8
ʦ	tʰ	0.8
#>	n_#>	0.8
ŋ	ŋ	0.727
x	k	0.714
s	s	0.689
ˈʊ	ˈɐ	0.667
ˈɔ_ɐ	ˈɔː	0.667
ˈaɪ̯	ˈaɪ̯	0.667
d̥	d	0.667
ɐ	ə	0.658
l	l	0.614
ˈɪ	ˈɪ	0.609
ˈɛ	ˈe	0.6
ʃ	ʃ	0.524
n	n	0.51
ʃ	s	0.476
n	-	0.429
ˈɔ	-	0.4
ˈiː	ˈiː	0.4
ˈaː	ˈəʊ̯	0.4
l	ɫ	0.386
ˈɒ	ˈæ	0.368
ˈeː	ˈɪ	0.364
ˈʊ	-	0.333
ˈɔ_ɐ	ˈɜː	0.333
ˈoː	-	0.333
ˈɔ	ˈʊ	0.3
ˈɔ	ˈɒ	0.3
ˈaː	ˈiː	0.3
x	ˈaɪ̯	0.286
ˈeː	ˈe	0.273
ŋ	-	0.273
ɡ̊	ɡ	0.27
ˈɛ	-	0.267
s	t	0.267
ˈiː	ˈɪ	0.25
ˈiː	-	0.25
ɡ̊	kʰ	0.243
ˈoː	ˈiː	0.222
ˈɪ	ˈaɪ̯	0.217
d̥	θ	0.212
ˈaʊ̯	ˈɐ	0.2
ʦ	t	0.2
#>	k_#>	0.2
m	v	0.192
ˈuː	ˈɐ	0.19
ˈuː	ˈe	0.19
ˈuː	-	0.19
ɡ̊	k	0.189
ˈeː	ˈiː	0.182
ˈeː	-	0.182
ˈɪ	-	0.174
ˈoː	ˈɑː	0.167
ˈoː	ˈeɪ̯	0.167
ˈɒ	ˈɐ	0.158
ˈɒ	ˈeɪ̯	0.158
ˈaː	ˈe	0.15
ˈaː	-	0.15
ˈuː	ˈʊ	0.143
ˈuː	ˈuː	0.143
ˈuː	ˈaʊ̯	0.143
ˈaɪ̯	-	0.143
ˈɛ	ˈæ	0.133
v	-	0.115
ˈoː	n	0.111
ɡ̊	ʧ	0.108
ɡ̊	ʤ	0.108
ˈɒ	ˈəʊ̯	0.105
ˈɒ	ˈɔː	0.105
ˈɒ	ˈɒ	0.105
ɐ	ˈɔː	0.105
ˈiː	ˈaɪ̯	0.1
ˈaɪ̯	ˈɪ	0.095
ˈaɪ̯	ˈiː	0.095
d̥	t	0.091
ɡ̊	-	0.081
ɐ	-	0.079
f	p	0.069
f	-	0.069
n	n_d	0.061
ɐ	ˈɪ_ə	0.053
ɐ	ˈɜː	0.053
ɐ	ɡ_ə	0.053
