Old Frisian	Icelandic	probability
ˈu_ŋ	ɲ	1.0
ˈo	-	1.0
ˈa_x	ˈɑu̯	1.0
ʦ	cʰ	1.0
ʣ	-	1.0
ɣ_ə	a	1.0
ɡː	ɡ̊ː	1.0
ə_r	ɪ_r̥	1.0
ŋ_k	ʰk	1.0
ŋ	ŋ	1.0
ð	ð	1.0
z	-	1.0
w	v	1.0
v	v	1.0
tː	-	1.0
t_ə	t	1.0
t_e	ʰt͡n̥	1.0
s_ˈa	s_ˈa	1.0
s_w	s	1.0
r_x	r_ɡ̊	1.0
pː	ʰp	1.0
nː	nː	1.0
m	m	1.0
lː	t͡l̥	1.0
l_d	t͡l̥	1.0
k_n	n̥	1.0
j_ə	a	1.0
iː	aːu̯	1.0
i	ˈou̯	1.0
f_ˈo	f	1.0
f	f	1.0
e	-	1.0
dː	ð_j	1.0
d_ə	ð_a	1.0
bː	v	1.0
b	b̥	1.0
a	a	1.0
s	s	0.94
p	p	0.889
ˈiː	ˈiː	0.837
t	t	0.832
ˈuː	ˈuː	0.816
r	r	0.759
θ	θ	0.702
l	l	0.7
h	h	0.696
ɡ	ɡ̊	0.628
ˈoː	ˈoːu̯	0.626
kː	-	0.611
d	ð	0.611
ɣ	-	0.598
k	k	0.557
x	-	0.551
n	n	0.488
ˈi̯uː	-	0.487
ˈɛː	ˈɛːi̯	0.474
ə	a	0.474
ˈu	ˈʏ	0.469
ˈa	ˈa	0.452
x	ˈɔu̯	0.449
ˈaː	ˈœːy̯	0.427
ˈi	ˈɪ	0.413
ˈɔː	ˈɔ	0.408
ˈɔː	-	0.408
ɣ	ˈuː	0.402
kː	ʰc	0.389
d	d̥	0.389
ˈoː	-	0.374
ɡ	ɟ̊	0.372
j	ɡ̊	0.355
ə	ʏ	0.354
k	c	0.343
ˈu	ˈu	0.298
ˈi̯uː	ˈiː	0.297
ˈi̯aː	j_ˈoːu̯	0.279
ˈi̯aː	j	0.276
ˈeː	ˈa	0.272
ˈɛː	-	0.264
ˈɛː	ˈɛi̯	0.262
j	-	0.26
ˈaː	ˈɑːu̯	0.25
n	t͡n̥	0.245
l	l̥	0.24
ˈe	ˈɛ	0.239
θ	-	0.227
n	-	0.222
ˈi̯uː	j	0.215
j	ɟ̊	0.213
r	r̥	0.21
ˈa	ˈaː	0.204
ˈa	ˈɛ	0.192
ˈɔː	ˈa	0.184
ˈuː	ˈʏ	0.184
ˈeː	ˈaːi̯	0.178
ˈi	ˈi	0.177
ˈe	-	0.175
j	ɣ_ʏ	0.172
ˈi̯aː	j_ˈuː	0.168
t	ʰt	0.168
ˈeː	ˈɑːu̯	0.166
ˈi̯aː	-	0.165
ˈiː	j_ˈɛː	0.163
ˈe	ˈaː	0.163
ˈi	ˈɪː	0.152
ˈa	-	0.152
h	ç	0.146
ˈu	ˈʏː	0.131
ˈe	ˈɛː	0.127
ˈaː	ˈaːu̯	0.122
ˈaː	ˈɛːi̯	0.119
ˈi	ˈiː	0.116
ˈeː	ˈœ	0.114
ˈeː	-	0.114
ˈe	ˈa	0.113
ˈi̯aː	ˈoːu̯	0.112
p	pʰ	0.111
ˈu	ˈɔː	0.102
ə	-	0.101
ˈi	ˈɛː	0.087
ˈaː	ˈœː	0.082
h	kʰ	0.079
h	-	0.079
ˈeː	ˈiː	0.078
ˈeː	j_ˈɛː	0.078
k	cʰ	0.072
θ	nː	0.071
ˈe	j	0.063
l	t͡l̥	0.059
ˈi	j_ˈɛ	0.054
ə	ɪ	0.051
