French	French	probability
ɲ	ɲ	1.0
ɥ_i	ˈɔ_t	1.0
ɥ	-	1.0
ɛ̃_#>	#>	1.0
ø_#>	#>	1.0
w_a_ʁ_#>	ˈɛ_#>	1.0
v	v	1.0
t_ʁ	s	1.0
t_#>	t_a_#>	1.0
s_ɛ	s_ˈɛ	1.0
p	p	1.0
m	m	1.0
l_i	l_ˈɛ	1.0
l_#>	#>	1.0
k_ʁ	k_r	1.0
k_l	ʧ	1.0
i_ʁ	ˈi	1.0
f_#>	f_#>	1.0
f	f	1.0
e_p	s_p	1.0
e_k	s_k	1.0
e	ˈɑː	1.0
d	d	1.0
b	b	1.0
<#_ʁ	<#_r	1.0
<#_ɑ̃	<#_ˈa_n	1.0
<#_œ	<#_ˈœ	1.0
<#_v	<#	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_d	<#_d	1.0
k	k	0.882
ɡ	ɡ	0.833
n	n	0.833
ʃ	k	0.826
ɔ̃	ˈũ	0.818
ʁ	r	0.795
t	t	0.769
s	s	0.756
e_#>	ˈa_#>	0.75
y	ˈyː	0.727
l	l	0.679
ø	ˈøː_k	0.6
a_#>	#>	0.6
œ	ˈøː	0.545
#>	a_#>	0.516
ə	e	0.5
ɔ	ˈɔ	0.5
z	ʒ	0.5
z	z	0.5
<#_a	<#_ˈa	0.5
<#_a	<#_a	0.5
ɛ̃	ˈã	0.471
œ	ˈuː	0.455
j	-	0.45
a	a	0.438
o	ˈɛ_l	0.412
u	-	0.409
ʒ	ʒ	0.4
ʒ	-	0.4
ø	-	0.4
a_#>	s_#>	0.4
i	ˈiː	0.389
ɛ̃	ˈĩ	0.353
w	-	0.333
l	j	0.321
u	ˈu	0.318
ɔ	u	0.278
y	-	0.273
ə	a	0.25
ə	-	0.25
e_#>	#>	0.25
a	ˈɑː	0.25
o	ˈa_l	0.235
w_a	ˈɛ	0.231
w_a	ˈiː	0.231
w_a	e	0.231
t	t_e	0.231
w	ˈuː	0.222
w	ˈi	0.222
w	ˈeː	0.222
i	ˈi	0.222
ɛ	ˈɛ	0.205
ɛ	-	0.205
ʒ	ʤ	0.2
ɑ̃	ˈẽ_t	0.2
ɑ̃	ˈẽ	0.2
ɑ̃	ˈã	0.2
j	ˈeː	0.2
j	j	0.2
s	ʧ	0.195
a	ˈa	0.188
ɛ	ˈɑː	0.182
ɛ	ˈa	0.182
ɔ̃	ũ	0.182
u	u	0.182
ɛ̃	ɲ	0.176
o	ˈɔ_s	0.176
o	-	0.176
ɡ	-	0.167
i	ˈeː	0.167
w_a	ˈɛ_ʧ	0.154
w_a	ˈeː	0.154
j	ˈe	0.15
ɑ̃	ˈã_k	0.133
ɑ̃	n	0.133
ɑ̃	ã	0.133
k	k_w	0.118
#>	s_#>	0.116
ɔ	ˈu	0.111
ɔ	-	0.111
n	-	0.111
i	j_ˈøː	0.111
i	-	0.111
#>	t_#>	0.105
ɛ	e	0.091
u	ˈy	0.091
ʃ	s_k	0.087
ʃ	-	0.087
#>	ʧ_#>	0.074
#>	l_#>	0.074
ʁ	-	0.068
a	e	0.062
a	-	0.062
n	ẽ	0.056
ʁ	r_t	0.055
ʁ	e_r	0.055
