Proto-Germanic	Proto-Germanic	probability
ˈɑi̯_w	ˈiː	1.0
ˈɑ_ŋ	ˈʊ	1.0
ˈɑ_t	ˈɒː_d	1.0
ˈɑ_n	ˈœ	1.0
ˈu_ŋ	ˈʊ	1.0
ˈu_lː	ˈʊ_l	1.0
ˈĩː	ˈa	1.0
ˈiu̯	-	1.0
ˈeː	ˈeː	1.0
ɸ_#>	n_#>	1.0
ɣ_ɑ_z_#>	#>	1.0
ɣ_j	d	1.0
ɡʷ	-	1.0
ɡ	ŋ	1.0
ɛː	ə	1.0
ɔ̃ː	-	1.0
ɔːː_#>	#>	1.0
ɔːː	ə	1.0
ɔːu̯	-	1.0
ɑ̃_#>	#>	1.0
ɑː	-	1.0
ɑi̯	ˈʊ_n	1.0
ɑ_z_#>	#>	1.0
ɑ_n	ə	1.0
ŋ_ɡ	ŋ	1.0
ð_ɑ	dʲ	1.0
ð_i	d̥	1.0
z_#>	#>	1.0
w_ˈi	v	1.0
u_n	n	1.0
tː	-	1.0
t_s	tʲ	1.0
s_w	s	1.0
s_l	s_l	1.0
s_k	ʃ	1.0
r_ˈɔː	ʀ	1.0
r_ˈi	ʀ	1.0
r_u	ə_ʀ	1.0
r_n	ʀ_n	1.0
r_#>	ʀ_#>	1.0
p	p	1.0
nː	n	1.0
n_θ	z̥	1.0
n_ɑ̃_#>	ə_#>	1.0
n_d	n	1.0
mː	ˈʊ_m	1.0
m	m	1.0
l_d	lʲ	1.0
k	k	1.0
iː	-	1.0
e_x	ɛi̯	1.0
e	ə	1.0
b	b	1.0
<#_θ	<#_t	1.0
<#_ˈɑ	<#	1.0
<#_ˈu	<#_ˈɔu̯	1.0
<#_xʷ	<#_v	1.0
<#_x	<#	1.0
<#_w	<#	1.0
<#_t	<#_t	1.0
<#_r	<#_ʀ	1.0
<#_n	<#_n	1.0
<#_k	<#_k	1.0
#>	ʀ_#>	1.0
i	-	0.938
r	ʀ	0.929
s	s	0.927
ɸ	f	0.917
j	-	0.913
l	l	0.844
ˈeu̯	ˈiː	0.833
w	v	0.833
ˈiː	ˈi	0.818
<#_l	<#_l	0.818
d	d	0.812
t	t	0.8
ɔː	-	0.769
u	-	0.75
n	n	0.7
ɣ_ɑ	j	0.667
ŋ	ŋ	0.667
x	h	0.605
β_ɑ	ə	0.6
l_ɑ	l	0.6
ˈɑi̯	ˈiː	0.588
ˈuː	ˈʏ	0.571
s_#>	s_#>	0.545
β	v	0.5
β	-	0.5
ˈɔː	ˈœ	0.5
ɑ	-	0.5
z	v̥	0.5
ɣ	ɡ	0.478
s_#>	#>	0.455
ˈɛː	ˈɛi̯	0.444
ˈe	-	0.435
ˈɑu̯	ˈuː	0.412
ˈɑi̯	-	0.412
β_ɑ	v̥	0.4
l_ɑ	ə_l	0.4
ð	d̥	0.385
ð	-	0.385
ˈi	ˈi	0.375
ɑ	ə	0.357
θ	d	0.333
θ	-	0.333
ˈɛː	-	0.333
ˈɔː	ˈɛ	0.333
ɣ_ɑ	w	0.333
ŋ	i	0.333
ɣ	-	0.304
z	-	0.3
ˈɑu̯	ˈyː	0.294
ˈi	ˈa	0.292
ˈi	-	0.25
u	ə	0.25
x	x	0.237
ɔː	ə	0.231
ð	d	0.231
ˈɛː	ˈɔu̯	0.222
ɣ	j	0.217
ˈuː	ˈœː	0.214
ˈuː	-	0.214
z	ˈɛ	0.2
n	nʲ	0.2
ˈɑ	ˈɒ	0.191
d	nʲ	0.188
ˈu	ˈʊ	0.182
ˈu	ˈɔ	0.182
ˈiː	-	0.182
<#_l	<#	0.182
ˈɑu̯	ˈiː	0.176
ˈe	ˈɛː	0.174
ˈɔː	-	0.167
ˈeu̯	j	0.167
w	-	0.167
x	-	0.158
l	lʲ	0.156
t	tʲ	0.15
ˈɑ	ˈeː	0.149
ɑ	ʀ	0.143
ˈe	ˈeː	0.13
ˈɑ	ˈɒː	0.128
ˈu	ˈʏ	0.121
ˈu	ˈɔː	0.121
ˈu	ˈœ	0.121
ˈɑu̯	-	0.118
θ	tʲ	0.111
θ	d̥	0.111
θ	dʲ	0.111
ˈɑ	ˈa	0.106
n	-	0.1
ˈu	ˈa	0.091
ˈe	ˈʊ	0.087
ˈe	j_ˈa	0.087
ˈe	j	0.087
j	j	0.087
ˈɑ	ˈɔː	0.085
ˈɑ	ˈuː	0.085
ˈi	ˈaː	0.083
ɸ	-	0.083
s	z	0.073
r	ə_ʀ	0.071
ˈɑ	ˈœ	0.064
ˈɑ	-	0.064
i	v_ə	0.062
ˈu	ˈeː	0.061
ˈu	ˈaː	0.061
ˈu	-	0.061
