Swiss German	Old English	probability
b̥	b	0.61
b̥	f	0.195
b̥	v	0.171
d̥	θ	0.444
d̥	d	0.306
d̥	ð	0.222
f	f	0.686
f	p	0.203
f	k	0.057
fː	p	1.0
h	h	0.908
h	-	0.092
i	i	0.645
i	e	0.305
i	iː	0.05
j	j	1.0
k	k	0.527
k	kː	0.473
kː	ʧː	1.0
l	l	0.593
l	ɫ	0.284
m	m	0.891
m	-	0.109
mː	mː	1.0
n	n	0.8
n	-	0.093
n	nː	0.072
nː	nː	1.0
p	p	0.905
p	v	0.095
p͡f	p	0.735
p͡f	d	0.133
p͡f	pː	0.132
r	r	0.851
rː	ɑ	1.0
s	s	0.704
s	t	0.14
s	z	0.088
s	-	0.068
sː	t	0.963
t	d	0.651
t	t	0.26
t	θ	0.052
tː	dː	0.679
tː	d	0.321
w	ɫ	1.0
æ	iːy̯	1.0
ŋ	ŋ	0.771
ŋ	n	0.207
ə	ɑ	0.402
ə	e	0.226
ə	-	0.183
ə	o	0.107
ɡ̊	ɡ	0.331
ɡ̊	j	0.317
ɡ̊	ɣ	0.2
ɡ̊	-	0.056
ɡ̊	d	0.051
ɡ̊ː	ʤ	1.0
ʃ	s	0.49
ʃ	ʃ	0.475
ʃː	ʃː	1.0
ʋ	w	0.92
ʋ	ʍ	0.08
ʦ	t	0.933
ʦ	d	0.058
ˈau̯	ˈæːɑ̯	0.757
ˈau̯	e	0.243
ˈe	ˈeo̯	0.649
ˈe	ˈe	0.294
ˈe	ˈeː	0.057
ˈei̯	ˈɑː	0.437
ˈei̯	ˈæː	0.341
ˈei̯	ˈeːo̯	0.222
ˈeː	ˈɑː	0.555
ˈeː	ˈeːo̯	0.286
ˈeː	ˈæː	0.159
ˈi	ˈi	0.813
ˈi	ˈeː	0.139
ˈiə̯	ˈeːo̯	0.908
ˈiə̯	ˈeː	0.092
ˈiː	ˈiː	0.8
ˈiː	ˈeːo̯	0.2
ˈo	ˈo	0.654
ˈo	ˈu	0.168
ˈo	ˈoː	0.078
ˈou̯	w	0.707
ˈou̯	ˈeː	0.181
ˈou̯	ˈæːɑ̯	0.112
ˈoː	ˈæːɑ̯	0.471
ˈoː	ˈo	0.189
ˈoː	ˈu	0.166
ˈoː	ˈoː	0.116
ˈoː	ˈæː	0.057
ˈu	ˈu	0.634
ˈu	ˈy	0.138
ˈu	ˈo	0.1
ˈu	ˈuː	0.059
ˈuə̯	ˈoː	0.873
ˈuə̯	ˈeː	0.098
ˈuː	ˈuː	0.913
ˈuː	ˈyː	0.072
ˈy	ˈy	0.296
ˈy	ˈo	0.187
ˈy	ˈeːo̯	0.181
ˈy	ˈyː	0.181
ˈy	ˈi	0.138
ˈyə̯	ˈeː	0.737
ˈyə̯	ˈoː	0.263
ˈyː	ˈeːo̯	0.446
ˈyː	ˈiː	0.131
ˈyː	ˈi	0.13
ˈyː	ˈiːy̯	0.105
ˈyː	ˈeː	0.073
ˈyː	ˈyː	0.067
ˈæ	ˈe	0.358
ˈæ	ˈeo̯	0.358
ˈæ	ˈɛ	0.107
ˈæ	ˈi	0.102
ˈæ	ˈɑ	0.057
ˈæi̯	ˈɑː	1.0
ˈæː	ˈiːy̯	0.355
ˈæː	ˈeo̯	0.293
ˈæː	ˈiy̯	0.197
ˈæː	ˈe	0.154
ˈø	ˈu	0.438
ˈø	ˈe	0.243
ˈø	ˈæ	0.231
ˈø	ˈeo̯	0.088
ˈøi̯	ˈiːy̯	0.572
ˈøi̯	ˈɑː	0.295
ˈøi̯	ˈuː	0.133
ˈøː	ˈy	0.561
ˈøː	ˈiːy̯	0.417
ˈɒ	ˈæɑ̯	0.334
ˈɒ	ˈɑ	0.275
ˈɒ	ˈoː	0.161
ˈɒ	ˈæ	0.125
ˈɒː	ˈɑ	0.276
ˈɒː	ˈæːɑ̯	0.261
ˈɒː	ˈæː	0.205
ˈɒː	ˈæ	0.193
ˈɛi̯	ˈɑː	1.0
χ	ʧ	0.365
χ	k	0.357
χ	x	0.157
χ	ç	0.104
