North Frisian	Danish	probability
b	b̥	1.0
dʲ	ð̞ˠ	1.0
m	m	1.0
x	ɡ̊	1.0
ɡ	ɡ̊	1.0
ˈai̯	ˈe	1.0
ˈɒː	ˈa	1.0
ˈɔ	ˈo	1.0
ˈɛ	ˈøː	1.0
ˈɛi̯	j	1.0
ˈʏ	ˈœ	1.0
f	w	0.091
lʲ	lˀ	0.901
nʲ	-	0.151
r	ɐ	0.31
ˈa	-	0.051
ˈa	ˈʌ	0.141
ˈa	ˈɛ	0.21
ˈiː	j	0.091
ˈɒ	ˈɛ	0.471
ˈʊ	ˈɔ	0.451
h	h	0.802
i	i	0.122
j	ˈoˀ	0.192
nʲ	n	0.262
w	-	0.772
z	<#_j	0.062
ŋ	ŋ	0.422
ə	ə	0.802
ˈi	ˈiː	0.072
ˈiː	ˈyː	0.162
ˈuː	ˈo	0.352
ˈøː	ˈuˀ	0.682
ˈɔu̯	ˈɒ	0.152
ˈɔu̯	ˈɔː	0.352
j	w	0.073
ŋ	ŋ_ə	0.113
ŋ	ŋˀ	0.33
ˈa	ə_#>	0.403
ˈeː	ˈɛ	0.853
ˈi	ˈʌ	0.123
ˈuː	j	0.103
ˈʊ	ˈu	0.253
d	-	0.554
z	ð̞ˠ	0.364
ˈuː	ˈɔˀ	0.164
ˈyː	ˈuˀ	0.704
ˈœ	ˈʌ	0.324
ˈɔː	ˈu	0.154
d	d̥	0.425
k	-	0.385
n	nˀ	0.145
r	-	0.055
s	-	0.085
s	s	0.915
tʲ	ð̞ˠ	0.975
z	s	0.575
ŋ	-	0.135
ə	-	0.175
ˈiː	ˈɛˀ	0.095
ˈiː	ˈiˀ	0.135
ˈuː	ˈøː	0.085
ˈuː	ˈœˀ	0.295
j	-	0.506
n	n	0.846
p	p	0.456
r	ʌ	0.076
r	ʁ	0.36
t	-	0.216
t	ʦʰ	0.376
v	w	0.146
v	ʋ	0.666
ˈøː	ˈuː	0.16
ˈɔu̯	-	0.496
ˈʊ	ˈɑ	0.116
k	kʰ	0.507
l	l	0.847
nʲ	nˀ	0.587
ʃ	s_k	0.957
ˈeː	ˈiː	0.147
f	f	0.88
h	-	0.198
i	e	0.878
k	k	0.108
l	lˀ	0.138
p	b̥	0.508
t	t	0.368
v	-	0.188
w	ə	0.228
ˈi	ˈɑ	0.08
ˈi	ˈe	0.278
ˈi	ˈiˀ	0.448
ˈiː	ˈeˀ	0.338
ˈyː	ˈœˀ	0.118
ˈyː	ˈɔˀ	0.178
ˈøː	-	0.158
ˈœ	ˈa	0.398
ˈɔː	ˈoː	0.548
ˈʊ	ˈœ	0.18
j	ɡ̊	0.229
lʲ	l	0.099
r	ɐˀ	0.199
ˈa	ˈe	0.139
ˈiː	ˈyˀ	0.179
ˈœ	ˈoˀ	0.279
ˈɒ	ˈɑ	0.529
ˈɔː	ˈɛ	0.299
