Italian	Corsican	probability
b	b	1.0
f	f	1.0
k	k	1.0
kː	kː	1.0
lː	lː	1.0
nː	nː	1.0
p	p	1.0
rː	rː	1.0
sː	sː	1.0
t	t	1.0
tː	tː	1.0
u	u	1.0
v	v	1.0
w	w	1.0
z	z	1.0
ŋ	ŋ	1.0
ɲː	ɲ	1.0
ʎː	ʎ	1.0
ʤː	ɟ	1.0
ʦ	ʦ	1.0
ʦː	ʦː	1.0
ʧː	ʧː	1.0
ˈu	ˈu	1.0
ʃː	ʃː	0.691
bː	bː	0.812
ɡ	k	0.432
ˈe	ˈɛ	0.932
ˈɔ	ˈɔ	0.732
ˈɛ	ˈa	0.052
ˈɛ	ˈɛ	0.592
a	a	0.993
j	-	0.053
m	m	0.983
e	u	0.064
e	-	0.214
e	e	0.664
i	i	0.914
l	l	0.914
r	r	0.94
ʤ	ʤ	0.134
d	d	0.955
ˈa	ˈa	0.975
ˈi	-	0.095
ˈi	ˈi	0.905
ˈo	ˈo	0.385
ˈo	ˈɔ	0.615
ˈɛ	ˈe	0.355
i	e	0.086
n	n	0.946
r	-	0.06
s	s	0.966
ʤ	ɟ	0.866
j	j	0.947
ʧ	ʧ	0.977
bː	-	0.188
o	u	0.968
ɡ	ɡ	0.568
ˈe	ˈe	0.068
ˈɔ	ˈo	0.238
ʃː	ʃ	0.309
