Spanish	Sassarese	probability
ˈe_r	rː	1.0
ˈa	ˈa	1.0
ʧ	tː	1.0
ʝ	dː	1.0
ɾ_t	ɬ_t	1.0
ɾ_n	rː	1.0
ɾ_k	xː	1.0
ɾ_e	u	1.0
ɡ	ɡ	1.0
ŋ	ŋ	1.0
u	u	1.0
t_o	t_u	1.0
s_p	pː	1.0
p	p	1.0
o_l	u_r	1.0
n_θ	ɲː	1.0
n	n	1.0
m_b	mː	1.0
k_ɾ	k_r	1.0
d	d	1.0
a_n	a_n	1.0
o	u	0.977
a	a	0.913
ˈi	ˈi	0.91
w_ˈe	ˈɔ	0.844
ˈu	ˈu	0.829
k	k	0.823
f	f	0.796
m	m	0.761
j_ˈe	ˈɛ	0.746
i	i	0.728
t	t	0.701
ɾ_a	r_a	0.678
ɲ	ɲː	0.668
e	i	0.655
ð	dː	0.654
o_s	i	0.647
w	w	0.6
ˈo	ˈo	0.593
ɣ	ɡ	0.592
ɾ	r	0.578
s_k	x	0.573
b	b	0.508
b	v	0.492
θ	ʦ	0.486
β	β	0.462
s_k	xː	0.427
ɣ	ɡː	0.408
w	-	0.4
l	l	0.399
ɟ͡ʝ	p_j	0.396
j	ˈe	0.376
o_s	o_j	0.353
l	r	0.35
ˈe	ˈe	0.343
ɲ	nː	0.332
ɾ_a	a	0.322
ˈe	ˈi	0.304
x	-	0.304
ɟ͡ʝ	ʧ	0.302
ɟ͡ʝ	ʤ	0.302
t	tː	0.299
s	ɬ	0.295
β	-	0.292
x	ʎː	0.284
i	-	0.272
s	sː	0.266
θ	ʦː	0.255
j_ˈe	ˈe	0.254
x	ʧː	0.249
j	j	0.245
m	mː	0.239
ˈo	ˈɔ	0.236
ˈe	ˈɛ	0.209
ð	d	0.209
s	z	0.209
f	fː	0.204
ɾ	a_r	0.196
e	a	0.19
k	kː	0.177
β	bː	0.17
θ	-	0.169
x	ʤ	0.163
w_ˈe	ˈo	0.156
s	-	0.151
j	ˈɛ	0.147
ɾ	j	0.133
j	i	0.123
e	u	0.119
ˈo	ˈu	0.118
j	-	0.109
ˈu	ˈɔ	0.106
ð	i	0.102
l	i	0.102
θ	ʃː	0.09
ˈe	ˈa	0.087
s	i	0.079
β	p	0.075
ɾ	-	0.074
a	-	0.067
ˈu	-	0.065
ˈe	i	0.057
l	j	0.057
ˈo	ˈa_ɬ	0.053
