Gascon	Campidanese	probability
ˈɛ_j	ˈa	1.0
ˈo	ˈɔ_l	1.0
ˈe_k	ˈi_k	1.0
ʦ	ʒ_i	1.0
ʤ	ɣ	1.0
ʒ	ʤ	1.0
ɾ_ˈe	ɾ_ˈɛ	1.0
ɾ_ɔ	a	1.0
ɡ	ɡ	1.0
ð_e	i	1.0
ð	ð	1.0
y	u	1.0
w_ˈe	ˈɔ	1.0
w_t	t_ɛ	1.0
t_ɔ	t_a	1.0
nː	m	1.0
m	m	1.0
l_ˈe	l_ˈi	1.0
k_l	k_ɾ	1.0
j_ʃ	ʃ	1.0
j_t	t_u	1.0
h	f	1.0
f	f	1.0
b	b	1.0
a_ð	a_ð	1.0
a_w	o	1.0
a_s	a_s	1.0
p	p	0.94
ɾ	ɾ	0.938
ˈa	ˈa	0.935
ɔ	a	0.918
ˈy	ˈu	0.908
ɲ	n_ʤ	0.884
ˈi	ˈi	0.873
a	a	0.849
k	k	0.833
s	s	0.75
i	i	0.75
d	d	0.73
z	ʒ	0.629
ˈɔ	ˈo	0.625
ɣ	ɣ	0.62
ˈɛ	ˈɛ	0.613
n	n	0.6
j	-	0.597
e	i	0.568
r	r	0.522
t	t	0.514
l	l	0.468
ʎ	ɭː	0.467
ˈe	ˈɛ	0.46
u	ɔ	0.417
ŋ	n_u	0.398
β	ɾ	0.383
ɣ	-	0.38
ˈɔ	ˈɔ	0.375
z	z	0.371
β	β	0.365
ʎ	ɣ	0.354
ˈu	ˈɔ	0.352
u	u	0.34
ˈu	ˈu	0.332
ˈu	ˈo	0.316
l	-	0.305
ˈɛ	ˈe	0.304
j	i	0.277
d	-	0.27
ˈe	ˈe	0.259
β	-	0.253
i	i_n	0.25
ŋ	ŋ	0.249
u	o	0.242
t	ð	0.24
l	ɾ	0.227
r	ɾ	0.225
w	ˈo	0.218
n	nː	0.206
ŋ	n_i	0.204
ˈe	ˈi	0.199
r	-	0.194
n	n_t	0.194
w	l_u	0.19
w	u	0.181
ʎ	u	0.179
s	ʧ	0.168
a	u	0.151
t	ɖː	0.135
w	ˈɔ	0.132
ˈi	ˈi_ɾ	0.127
j	j	0.126
k	ɣ_u	0.121
w	-	0.118
ɲ	ɲ	0.116
e	a	0.112
t	-	0.111
w	w	0.103
ˈy	ˈu_ɾ	0.092
e	u	0.091
ŋ	nː_u	0.084
ˈɛ	-	0.083
ˈe	-	0.082
ɔ	n_a	0.082
e	ɾ_u	0.066
ˈa	-	0.065
ŋ	n	0.065
ɾ	ɛ_ɾ	0.062
e	i_ɾ	0.061
r	ɾ_u	0.06
p	p_ɾ	0.06
w	l_i	0.058
e	-	0.058
