Scots	North Frisian	probability
b	b	1.0
d	d	0.507
d	-	0.209
d	dʲ	0.207
d	t	0.057
d	lʲ	0.03
e	j	0.629
e	-	0.361
f	f	0.931
f	v	0.065
h	h	1.0
i	i	0.494
j	-	0.242
j	ɡ	0.242
j	j	0.226
j	ˈai̯	0.158
k	k	0.866
k	-	0.067
k	ʃ	0.067
kʰ	k	1.0
l	l	0.829
l	ə_l	0.091
l	j	0.035
l	lʲ	0.034
l	l_ə	0.032
l_d	lʲ	1.0
m	m	1.0
n	n	0.897
n	nʲ	0.077
n	ŋ	0.031
n_d	nʲ	1.0
p	p	0.5
p	p_ə	0.28
p	b	0.105
p	v	0.08
pʰ	p	1.0
r	r	0.971
s	s	0.902
s	ʃ	0.074
s	-	0.03
t	t	0.766
t	tʲ	0.183
t	d	0.039
t	z	0.033
tʰ	t	1.0
v	v	1.0
w	v	0.84
w	-	0.1
w	ˈuː	0.056
w_ˈɔ	ˈʊ	1.0
x	x	0.873
x	k	0.126
z	z	0.644
z	s	0.241
ð	d	1.0
ŋ	ŋ	1.0
ə	ə	0.949
ə	ˈa	0.054
əi̯	i	0.796
əi̯	ə	0.158
ɡ	ɡ	0.679
ɡ	-	0.314
ɪ	ə	0.415
ɪ	-	0.205
ɪ	i	0.205
ɫ	l	0.699
ɫ	lʲ	0.21
ɹ	r	0.494
ʃ	ʃ	0.864
ʃ	k	0.113
ʍ	v	0.794
ʍ	f	0.163
ʧ	ʃ	0.241
ʧ	k	0.241
ʧ	s	0.241
ˈa	ˈeː	0.244
ˈaːɪ̯	ˈyː	0.326
ˈaːɪ̯	ˈiː	0.326
ˈe	ˈiː	0.358
ˈe	ˈyː	0.131
ˈe	ˈɔː	0.078
ˈe	ˈɛː	0.078
ˈe	ˈɒː	0.075
ˈei̯	ˈuː	0.269
ˈei̯	ˈyː	0.166
ˈei̯	ˈiː	0.166
ˈei̯	ˈɔː	0.141
ˈei̯	ˈɛː	0.065
ˈeː	ˈeː	0.5
ˈeː	ˈyː	0.187
ˈeː	ˈɛi̯	0.187
ˈi	ˈʊ	0.341
ˈi	ˈeː	0.21
ˈi	ˈɛi̯	0.119
ˈi	ˈuː	0.119
ˈiː	ˈɛi̯	0.281
ˈiː	ˈiː	0.265
ˈiː	ˈiː_ə	0.129
ˈiː	ˈeː	0.09
ˈiː	-	0.068
ˈø	ˈœ	0.585
ˈø	ˈɔu̯	0.174
ˈø	ˈɛi̯	0.123
ˈø	ˈuː	0.081
ˈɑ	ˈʊ	0.197
ˈɑ	ˈɒː	0.176
ˈɑ	ˈœ	0.113
ˈɑ	ˈɒ	0.106
ˈɑ	ˈi	0.089
ˈɑː	ˈœ	0.248
ˈɑː	ˈiː	0.132
ˈɑː	ˈɒ_l	0.132
ˈɑː	ˈyː	0.087
ˈɑː	ˈɒː	0.087
ˈɔ	ˈɔ	0.407
ˈɔ	ˈɔː	0.275
ˈɔ	ˈʏ	0.092
ˈɔ	-	0.074
ˈɔ	ˈʊ	0.072
ˈəi̯	ˈi	0.605
ˈəi̯	ˈyː	0.103
ˈəi̯	ˈiː	0.103
ˈəi̯	w	0.073
ˈəi̯	ˈøː	0.058
ˈɛ	ˈa	0.213
ˈɛ	ˈiː	0.213
ˈɛ	ˈeː	0.152
ˈɛ	ˈi	0.09
ˈɛ	ˈɛː	0.079
ˈɪ	ˈa	0.235
ˈɪ	ˈi	0.131
ˈɪ	ˈʊ	0.121
ˈɪ	ˈœ	0.108
ˈɪ	ˈɒ	0.082
ˈʉ	ˈyː	0.51
ˈʉ	ˈøː_j	0.161
ˈʉ	ˈʊ	0.106
ˈʉ	ˈuː	0.081
ˈʉ	ˈøː	0.067
ˈʌ	ˈʊ	0.271
ˈʌ	ˈyː	0.215
ˈʌ	ˈœ	0.215
ˈʌ	ˈɛ	0.14
ˈʌʉ̯	ˈɔu̯	0.608
ˈʌʉ̯	ˈɔ	0.198
ˈʌʉ̯	ˈœ	0.069
θ	t	0.444
θ	s	0.203
θ	d	0.187
θ	tʲ	0.074
θ	z	0.057
