Scots	North Frisian	probability
#>	#>	0.818
#>	ə_#>	0.134
<#	<#	1.0
<#_w	<#	1.0
b	b	1.0
d	d	0.591
d	dʲ	0.21
d	-	0.163
d_#>	#>	1.0
e	j	0.629
e	-	0.361
f	f	0.906
f	v	0.05
h	h	1.0
i	i	0.494
j	-	0.242
j	ɡ	0.242
j	j	0.226
j	ˈai̯	0.158
k	k	0.857
k	-	0.07
k	ʃ	0.07
kʰ	k	1.0
l	l	0.783
l	ə_l	0.087
l	lʲ	0.08
m	m	1.0
n	n	0.834
n	nʲ	0.142
p	p	0.736
p	v	0.151
p	b	0.099
pʰ	p	1.0
r	r	0.951
s	s	0.902
s	ʃ	0.074
t	t	0.765
t	tʲ	0.172
tʰ	t	1.0
v	v	1.0
w	v	0.881
w	-	0.11
x	x	0.873
x	k	0.126
z	z	0.644
z	s	0.241
ð	d	1.0
ŋ	ŋ	1.0
ə	ə	0.949
ə	ˈa	0.054
əi̯	i	0.776
əi̯	ə	0.173
ɡ	ɡ	0.843
ɡ	-	0.128
ɡ_#>	#>	1.0
ɪ	ə	0.415
ɪ	-	0.205
ɪ	i	0.205
ɫ	l	0.699
ɫ	lʲ	0.21
ɹ	r	0.494
ʃ	ʃ	0.888
ʃ	s	0.085
ʍ	v	0.794
ʍ	f	0.163
ʧ	k	0.241
ʧ	s	0.241
ʧ	ʃ	0.241
ˈa	ˈeː	0.244
ˈaːɪ̯	ˈiː	0.326
ˈaːɪ̯	ˈyː	0.326
ˈe	ˈiː	0.327
ˈe	ˈyː	0.11
ˈe	ˈɒː	0.107
ˈe	ˈɔː	0.084
ˈe	ˈɛː	0.084
ˈe	ˈai̯	0.055
ˈe	ˈaː	0.055
ˈe	ˈɒ	0.055
ˈei̯	ˈuː	0.3
ˈei̯	ˈyː	0.171
ˈei̯	ˈɔː	0.158
ˈei̯	ˈiː	0.083
ˈei̯	ˈɛː	0.083
ˈei̯	ˈeː	0.061
ˈei̯	ˈʊ	0.059
ˈei̯	-	0.052
ˈeː	ˈeː	0.5
ˈeː	ˈyː	0.187
ˈeː	ˈɛi̯	0.187
ˈi	ˈʊ	0.341
ˈi	ˈeː	0.21
ˈi	ˈuː	0.119
ˈi	ˈɛi̯	0.119
ˈiː	ˈiː	0.266
ˈiː	ˈɛi̯	0.229
ˈiː	ˈiː_ə	0.129
ˈiː	ˈeː	0.09
ˈiː	-	0.068
ˈiː	ˈɛ	0.068
ˈiː	w	0.055
ˈø	ˈœ	0.585
ˈø	ˈɔu̯	0.174
ˈø	ˈɛi̯	0.123
ˈø	ˈuː	0.081
ˈɑ	ˈʊ	0.215
ˈɑ	ˈɒː	0.177
ˈɑ	ˈœ	0.123
ˈɑ	ˈuː	0.095
ˈɑ	ˈeː	0.087
ˈɑ	ˈɒ	0.087
ˈɑ	ˈɔː	0.087
ˈɑ	ˈi	0.071
ˈɑː	ˈœ	0.266
ˈɑː	ˈiː	0.141
ˈɑː	ˈɒ	0.107
ˈɑː	ˈi	0.093
ˈɑː	ˈyː	0.093
ˈɑː	ˈɒː	0.093
ˈɑː	ˈɔu̯	0.074
ˈɑː	ˈɒ_l	0.058
ˈɔ	ˈɔ	0.367
ˈɔ	ˈɔː	0.248
ˈɔ	ˈʊ	0.156
ˈɔ	ˈʏ	0.083
ˈɔ	ˈuː	0.069
ˈɔ	ˈaː	0.065
ˈəi̯	ˈi	0.547
ˈəi̯	ˈiː	0.186
ˈəi̯	ˈyː	0.093
ˈəi̯	w	0.068
ˈəi̯	ˈøː	0.055
ˈəi̯	ˈɛi̯	0.054
ˈɛ	ˈa	0.213
ˈɛ	ˈiː	0.213
ˈɛ	ˈeː	0.152
ˈɛ	ˈi	0.09
ˈɛ	ˈɛː	0.079
ˈɛ	ˈøː	0.06
ˈɛ	ˈuː	0.052
ˈɛ	ˈɔi̯	0.051
ˈɛ	ˈʊ	0.051
ˈɪ	ˈa	0.237
ˈɪ	ˈi	0.126
ˈɪ	ˈʊ	0.122
ˈɪ	ˈœ	0.109
ˈɪ	ˈɒ	0.082
ˈɪ	ˈɔu̯	0.061
ˈɪ	ˈʏ	0.059
ˈɪ	ˈai̯	0.053
ˈɪ	ˈɛ	0.053
ˈʉ	ˈyː	0.51
ˈʉ	ˈøː	0.141
ˈʉ	ˈʊ	0.106
ˈʉ	ˈuː	0.081
ˈʉ	ˈøː_j	0.081
ˈʉ	-	0.066
ˈʌ	ˈʊ	0.271
ˈʌ	ˈyː	0.215
ˈʌ	ˈœ	0.215
ˈʌ	ˈɛ	0.14
ˈʌʉ̯	ˈɔu̯	0.608
ˈʌʉ̯	ˈɔ	0.198
ˈʌʉ̯	ˈœ	0.069
θ	t	0.461
θ	s	0.211
θ	d	0.169
θ	tʲ	0.077
