Pennsylvania German	Swedish	probability
b	b	1.0
d	d	0.458
d	tʰ	0.254
d	-	0.166
d	t	0.065
d	ɕ	0.048
d_ɑ	r	1.0
f	f	0.656
f	v	0.161
f	p	0.148
f	-	0.036
h	h	0.97
h	-	0.037
j	j	0.253
j	ŋ	0.253
j	-	0.197
j	ɡ	0.158
k	ɡː	0.347
k	k	0.243
k	ɡ	0.199
k	rː	0.097
k	-	0.07
kʰ	kʰ	0.785
kʰ	-	0.158
kʰ	ɕ	0.047
l	l	0.87
l	lː	0.074
l	-	0.031
l	nː	0.028
m	m	0.79
m	mː	0.201
m_ə	m	1.0
n	n	0.571
n	nː	0.203
n	-	0.102
n	ɳ	0.079
n	ʊ	0.029
p	v	0.478
p	v_ɵ	0.407
p	p	0.079
p͡f	pʰ	1.0
s	s	0.514
s	t	0.308
s	ɧ	0.057
s	tː	0.044
s	sː	0.035
t	d	0.53
t	t	0.193
t	-	0.187
t	ɖ	0.059
t	rː	0.031
v	v	0.663
v	-	0.195
x	k	0.304
x	-	0.265
x	tː	0.165
x	ɡ	0.156
x_t	tː	1.0
ç	k	0.374
ç	ɡ	0.206
ç	ŋ	0.175
ç	-	0.152
ç	j	0.056
ç_t	tː	1.0
ŋ	ŋː	0.844
ŋ	ŋ	0.153
ŋ_k	kː	1.0
ɑ	ɛ	0.423
ɑ	r	0.254
ɑ	-	0.09
ɑ	a	0.055
ɑ	e	0.047
ə	a	0.615
ə	-	0.313
ə	ʊ	0.035
ə	ɛ	0.033
ə_m	m	1.0
ɡ	ɡ	0.627
ɡ	j	0.278
ɡ	kʰ	0.078
ɣ	ɡ_ɛ	0.488
ɣ	-	0.322
ɣ	jː	0.103
ɪ	-	0.266
ɪ	j	0.226
ɪ	ɪ	0.197
ɪ	ɵ	0.13
ɪ	ˈʉː	0.067
ɾ	r	0.932
ɾ	-	0.065
ʃ	s	0.645
ʃ	s_k	0.23
ʃ	ɧ	0.112
ʃ	f	0.028
ʋ	v	0.661
ʋ	-	0.321
ʋ_ˈɔ	ˈɵ	1.0
ʦ	tʰ	0.56
ʦ	ʈː	0.162
ʦ	d	0.122
ʦ	-	0.063
ʦ	tː	0.061
ˈa	ˈa	0.484
ˈa	ˈɑː	0.198
ˈa	ˈɔ	0.08
ˈa	ˈoː	0.08
ˈa	ˈɛ	0.07
ˈaɪ̯	ˈiː	0.531
ˈaɪ̯	ˈyː	0.141
ˈaɪ̯	ˈɛ	0.12
ˈaɪ̯	ˈeː	0.091
ˈaɪ̯	ˈʏ	0.069
ˈaʊ̯	ˈʉː	0.741
ˈaʊ̯	ˈɵ	0.08
ˈaʊ̯	ˈøː	0.07
ˈaʊ̯	ˈuː	0.047
ˈaː	ˈuː	0.367
ˈaː	ˈa	0.295
ˈaː	ˈɛː	0.144
ˈaː	ˈʊ	0.103
ˈaː	ˈɔ	0.046
ˈeː	ˈeː	0.277
ˈeː	ˈøː	0.119
ˈeː	ˈeː_n	0.095
ˈeː	ˈɛː	0.095
ˈeː	ˈœː	0.082
ˈiː	j_ˈʉː	0.339
ˈiː	ˈyː	0.245
ˈiː	ˈøː	0.213
ˈiː	ˈɛː	0.088
ˈiː	ˈʉː	0.086
ˈoː	ˈoː	0.621
ˈoː	ˈøː	0.354
ˈoː	ˈœː	0.032
ˈuː	ˈuː	0.855
ˈuː	ˈʉː	0.118
ˈɔ	ˈɔ	0.258
ˈɔ	ˈʉː	0.258
ˈɔ	ˈɵ	0.224
ˈɔ	ˈœ	0.148
ˈɔ	ˈoː	0.07
ˈɔɪ̯	ˈɛ	1.0
ˈɔː	ˈoː	0.189
ˈɔː	ˈɑː	0.184
ˈɔː	ˈøː	0.164
ˈɔː	ˈa	0.152
ˈɔː	ˈœ	0.098
ˈɛ	ˈɛ	0.48
ˈɛ	ˈɛː	0.144
ˈɛ	ˈeː	0.119
ˈɛ	ˈʏ	0.078
ˈɛ	ˈɵ	0.078
ˈɛː	ˈæ	0.351
ˈɛː	ˈɛ	0.157
ˈɛː	j	0.145
ˈɛː	ˈɔ	0.094
ˈɛː	ˈʏ	0.056
ˈɛː_ɑ	ˈæː	1.0
ˈɪ	ˈɪ	0.487
ˈɪ	ˈʏ	0.093
ˈɪ	ˈeː	0.093
ˈɪ	ˈɵ	0.081
ˈɪ	ˈœ	0.081
ˈʊ	ˈʊ	0.339
ˈʊ	ˈɵ	0.184
ˈʊ	ˈɔ	0.118
ˈʊ	ˈʏ	0.09
ˈʊ	ˈuː	0.09
