Bokmål Norwegian	Scots	probability
b	b	1.0
d	d	0.828
d	t	0.12
e	-	1.0
f	f	0.986
h	h	1.0
i	əi̯	1.0
j	-	0.426
j	h	0.342
j	ɡ	0.087
j	ˈei̯	0.066
j	x	0.056
k	k	0.642
k	-	0.182
k	ʧ	0.116
k	x	0.06
kʰ	kʰ	0.889
kʰ	k	0.111
kː	ŋ_k	0.802
kː	k	0.198
l	l	0.989
lː	l	0.409
lː	d	0.235
lː	k	0.206
lː	ɫ	0.083
lː	r	0.067
m	m	0.911
m	v	0.089
mː	m	1.0
n	n	0.902
n	-	0.073
nː	n	0.883
nː	θ	0.056
p	p	1.0
pʰ	pʰ	1.0
s	s	0.955
sː	s	1.0
t	t	1.0
tʰ	tʰ	0.433
tʰ	θ	0.409
tʰ	d	0.126
tː	x	1.0
ç	k	0.428
ç	ʧ	0.428
ç	tʰ	0.072
ç	θ	0.072
ŋ	n	0.587
ŋ	-	0.298
ŋ	ŋ	0.115
ŋː	ŋ	1.0
ə	-	0.395
ə	ə	0.365
ə	e	0.119
ə	ˈiː	0.079
ɡ	ɡ	0.443
ɡ	-	0.399
ɡ	ç	0.1
ɡ	j	0.057
ɡː	ɡ	1.0
ɪ	ɪ	0.67
ɪ	əi̯	0.33
ɳ	r_n	0.593
ɳ	r	0.407
ɾ	r	0.938
ʂ	s	0.894
ʂ	m	0.106
ʃ	ʃ	1.0
ʈ	t	1.0
ʈː	t	1.0
ʋ	w	0.485
ʋ	f	0.157
ʋ	r	0.1
ʋ	-	0.097
ʋ	v	0.077
ʋ	ʍ	0.073
ˈeː	ˈiː	0.337
ˈeː	ˈe	0.245
ˈeː	ˈɛ	0.126
ˈeː	ˈei̯	0.091
ˈeː	ˈɪ	0.079
ˈeː	ˈɑː	0.076
ˈiː	ˈəi̯	0.463
ˈiː	ˈɪ	0.255
ˈiː	ˈʌʉ̯	0.125
ˈiː	ˈɛ	0.066
ˈoː	ˈe	0.202
ˈoː	ˈø	0.193
ˈoː	j	0.137
ˈoː	ˈɛ	0.097
ˈoː	ˈei̯	0.085
ˈoː	ˈɑ	0.085
ˈoː	ˈeː	0.065
ˈoː	ˈʌʉ̯	0.057
ˈuː	ˈɔ	0.349
ˈuː	ˈø	0.262
ˈuː	ˈɪ	0.151
ˈuː	ˈɪ_ð	0.149
ˈuː	ˈei̯	0.056
ˈyː	ˈe	0.406
ˈyː	j	0.14
ˈyː	ˈiː	0.139
ˈyː	ˈei̯	0.107
ˈyː	ˈəi̯	0.09
ˈyː	ˈɪ	0.071
ˈæ	ˈɑː	0.502
ˈæ	ˈʌ	0.498
ˈæɪ̯	ˈe	0.887
ˈæɪ̯	ˈiː	0.056
ˈæɪ̯	ˈəi̯	0.056
ˈæː	ˈɛ	0.508
ˈæː	ə	0.381
ˈæː	ˈi	0.111
ˈøː	ˈei̯	0.559
ˈøː	ˈiː	0.2
ˈøː	ˈɛ	0.1
ˈøː	ˈe	0.06
ˈøː	ˈɑː	0.06
ˈœ	ˈi	0.411
ˈœ	ˈɔ	0.208
ˈœ	ˈɪ	0.163
ˈœ	-	0.156
ˈœ	ˈiː	0.062
ˈœʏ̯	ˈiː	1.0
ˈɑ	ˈɑ	0.399
ˈɑ	ˈɑː	0.272
ˈɑ	ˈɪ	0.081
ˈɑ	ˈɛ	0.079
ˈɑ	ˈei̯	0.061
ˈɑː	ˈe	0.611
ˈɑː	ˈeː	0.126
ˈɑː	ˈɛ	0.121
ˈɑː	ˈɑ	0.071
ˈɑː	ˈɑː	0.071
ˈɔ	ˈe	0.354
ˈɔ	ˈʌ	0.354
ˈɔ	ˈɔ	0.204
ˈɔ	ˈa	0.088
ˈɛ	ˈe	0.215
ˈɛ	ˈɛ	0.214
ˈɛ	ˈaːɪ̯	0.16
ˈɛ	ˈɪ	0.118
ˈɛ	ˈoe̯	0.11
ˈɛ	ˈɑ	0.075
ˈɛ	ˈiː	0.059
ˈɪ	ˈɪ	0.742
ˈɪ	ˈəi̯	0.181
ˈɪ	ˈei̯	0.051
ˈʉ	ˈʉ	0.541
ˈʉ	ˈʌ	0.261
ˈʉ	ˈɔ	0.074
ˈʉ	ˈʌʉ̯	0.072
ˈʉ	ˈɪ	0.051
ˈʉː	ˈʉ	0.636
ˈʉː	ˈɛ	0.22
ˈʉː	ˈaːɪ̯	0.064
ˈʉː	ˈɔ	0.064
ˈʊ	ˈʉ	0.402
ˈʊ	ˈɪ	0.263
ˈʊ	ˈɔ	0.167
ˈʊ	ˈʌ	0.167
ˈʏ	ˈɪ	0.828
ˈʏ	ˈiː	0.172
