East Low German	Ripuarian	probability
ˈʏ	ˈœ	1.0
ˈyː	ˈyː	1.0
ˈuː_æ	ˈoː	1.0
ˈoː	ˈoː	1.0
ˈeː	ˈiː	1.0
ˈaɪ̯	ˈeː	1.0
ʃ	ʃ	1.0
ɾ	d	1.0
ç_#>	k_#>	1.0
ç	ɕ	1.0
æ_n	ʀ_ə	1.0
æ	ɐ	1.0
z	z	1.0
x	x	1.0
w	ʋ	1.0
v_ˈɪ	ʋ_ˈa	1.0
tʰ	ʦ	1.0
t_n	s_ə	1.0
s	s	1.0
r	ʀ	1.0
p_#>	f_#>	1.0
p	p	1.0
l_d	l_t	1.0
l	l	1.0
kʰ	k	1.0
k_n	k_ə	1.0
j	j	1.0
h	h	1.0
b	b	1.0
v	ʋ	0.913
m	m	0.839
ɡ	j	0.818
f	f	0.788
ŋ	ŋ	0.786
ˈɔʏ̯	ˈøː	0.75
ˈaʊ̯	ˈoː	0.737
ˈɒː	ˈoː	0.7
ˈa	ˈa	0.696
ˈiː	ˈiː	0.692
d	d	0.682
ˈae̯	ˈeː	0.667
ˈuː	ˈuː	0.6
ˈaː	ˈɛː_ɐ	0.6
t_#>	#>	0.6
n	n	0.592
ˈʊ	ˈo	0.583
ˈɛ	ˈɛ	0.556
ˈɔ	ˈɔ	0.556
ˈɪ	ˈe	0.5
ɪ	ɪ	0.5
ɪ	ə	0.5
k	ɕ	0.467
ˈɛ	ˈɛː	0.444
ˈʊ	ˈɔ	0.417
ˈaː	ˈa	0.4
t_#>	ʦ_#>	0.4
ˈɪ	ˈɪ	0.333
ˈɛː	ˈɛː	0.333
ˈɛː	ˈɛ	0.333
ˈɛː	-	0.333
t	t	0.306
t	s	0.306
ˈa	ˈaː	0.304
ˈɒː	ˈaː	0.3
ˈuː	ˈaʊ̯	0.267
ˈaʊ̯	ˈuː	0.263
ˈɔʏ̯	ˈyː	0.25
ˈae̯	ˈeɪ̯	0.25
t	d̥	0.25
ˈɔ	ˈu	0.222
ˈɔ	ˈa	0.222
ŋ	j_ə	0.214
f	v̥	0.212
k	x	0.2
k	k	0.2
n	ə	0.183
ɡ	ɣ	0.182
d	d̥	0.182
n	ŋ	0.169
ˈiː	ˈɪ	0.154
ˈiː	-	0.154
d	ɡ̊	0.136
ˈuː	ˈɔ	0.133
k	ɡ̊	0.133
m	v_ə	0.097
v	v	0.087
ˈɪ	ˈɛ	0.083
ˈɪ	ˈeː	0.083
ˈae̯	ˈe	0.083
t	ʦ	0.083
m	ə	0.065
t	ɡ̊	0.056
