Slovenian	Slovenian	probability
́_ʋ	f	1.0
́_x	x_ɨ	1.0
́_t	t	1.0
́_r	r	1.0
́	-	1.0
̀_ʋ	v	1.0
̀_s	s	1.0
̀_r	rʲ	1.0
̀	-	1.0
ʧ	ʦ	1.0
ʦ	ʦ	1.0
ʒ̊	ʐ̊	1.0
ʒ	ʐ	1.0
ʃ	-	1.0
ə_́	a	1.0
ə_̀	a	1.0
ə_r	r_ɨ	1.0
ə_m	ɨ_m	1.0
ə_k	kʲ_i	1.0
ɔː_́	ɔ	1.0
ɔː_̀	ɛ	1.0
z̥	z̥	1.0
w_#>	l_#>	1.0
w	w	1.0
uː	u	1.0
u	u	1.0
t_ɔ	t_ɔ	1.0
t_i	ɕ	1.0
s_#>	s_#>	1.0
s	s	1.0
r_aː	r_ɔ	1.0
oː_́	ɔ	1.0
o	ɛ	1.0
m_ə	mʲ_e	1.0
k	k	1.0
iː_́	ɨ	1.0
eː_̀	ɛ	1.0
d̥	d̥	1.0
b̥	b̥	1.0
aː_́	ɔ	1.0
aː_̀	a	1.0
aː	a	1.0
a	a	1.0
<#_ʒ	<#	1.0
<#_ʋ	<#	1.0
<#_t	<#_ɕ	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
#>	ɨ_#>	1.0
z	z	0.875
ɡ	ɡ	0.857
ɔ	ɔ	0.833
b	b	0.833
eː	ɪ	0.818
j	j	0.778
s_ə	s	0.667
d	d	0.667
m	m	0.647
x	x	0.625
oː_̀	u	0.6
ʋ	vʲ	0.571
l	l	0.571
<#	<#_v	0.556
oː	u	0.545
ɡ̊	ɡ̊	0.5
ɡ̊	-	0.5
ɔː	ɔ	0.5
t	t	0.5
p	pʲ	0.5
p	p	0.5
iː_̀	ɨ	0.5
iː_̀	i	0.5
ʋ	v	0.429
ɛː	-	0.429
iː	i	0.429
i	ɨ	0.429
n	ɲ	0.412
r	r	0.409
ə	ɛ	0.4
ə	-	0.4
oː_̀	ɛ	0.4
x	k	0.375
ɛ	ɛ	0.357
ɛ	e	0.357
m	mʲ	0.353
t	ɕ	0.35
s_ə	s_ɛ	0.333
e	ɪ	0.333
e	e	0.333
e	-	0.333
eː_́	ɪ	0.3
n	n	0.294
ɛː	ɪ	0.286
ɛː	e	0.286
l	w	0.286
iː	ɨ	0.286
iː	-	0.286
i	i	0.286
i	-	0.286
r	rʲ	0.273
oː	ɛ	0.273
ɔː	ɛ	0.25
ɔː	-	0.25
d	ʑ	0.238
n	n_ɨ	0.235
j	-	0.222
<#	<#_s	0.222
<#	<#_j	0.222
ə	e	0.2
eː_́	ɛ	0.2
eː_́	ɔ	0.2
eː_́	e	0.2
r	-	0.182
oː	ɔ	0.182
eː	a	0.182
ɔ	ɛ	0.167
b	bʲ	0.167
t	ʨ	0.15
ɡ	-	0.143
ɛ	ɔ	0.143
ɛ	a	0.143
r	ʂ	0.136
z	-	0.125
eː_́	a	0.1
d	-	0.095
l	d_w	0.071
l	-	0.071
n	nʲ	0.059
