Eastern Lombard	Eastern Lombard	probability
ˈɛ_n	ˈẽ	1.0
ˈø_l	ʎ	1.0
ˈo_n	ˈõ	1.0
ˈa_n	ˈɐ̃	1.0
ɲ	ɲ	1.0
ø	u	1.0
y	j_m	1.0
w	w	1.0
t_a	t_ɐ	1.0
s_a	s_ɐ	1.0
s_#>	#>	1.0
r_ˈɛ	ɾ_ˈe	1.0
r_k	ɾ_k	1.0
r_a	ɾ_ɐ	1.0
p	p	1.0
o_n	õ	1.0
m	m	1.0
l_#>	#>	1.0
k_r	k_ɾ	1.0
f_j	ʃ	1.0
f_#>	v_ɨ_#>	1.0
e_n	ẽ	1.0
e_#>	#>	1.0
d_a	ð_ɐ	1.0
d_#>	ɾ_#>	1.0
a_j	ɐ_ʒ	1.0
a_#>	#>	1.0
<#_ˈɛ	<#_ˈa	1.0
<#_ˈo	<#_ˈu	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_r	<#_ʁ	1.0
<#_p_j	<#_ʃ	1.0
<#_o	<#_ɔ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_e	<#_i	1.0
<#	<#_v	1.0
a	ɐ	0.906
f	f	0.905
k	k	0.889
ɡ	ɣ	0.846
ŋ	-	0.833
r	ɾ	0.787
o	u	0.692
ˈy	ˈu	0.667
ˈa	ˈa	0.667
d	d	0.65
b	b	0.65
i	ɨ	0.625
ˈɔ	ˈo	0.619
t	t	0.614
ʋ	v	0.6
z	ʒ	0.571
ˈi	ˈi	0.552
ˈo	ˈo	0.533
#>	u_#>	0.519
e_r	ɾ_ɨ	0.5
e_r	ɾ_u	0.5
l	l	0.483
s	s	0.465
ˈø	ˈo	0.455
ʤ	-	0.429
e	ɨ	0.429
ˈɛ	ˈɛ	0.414
ʋ	β	0.4
ˈu	ˈɔ	0.389
ʧ	ʎ	0.375
ʧ	j_t	0.375
n	n	0.375
i	i	0.375
ˈu	ˈo	0.333
e	-	0.333
n	-	0.312
l	ɫ	0.31
o	-	0.308
ʤ	ʒ	0.286
ʤ	ʎ	0.286
ˈɛ	ˈe	0.276
ˈi	ˈe	0.276
ˈø	ˈu	0.273
t	ð	0.273
ˈo	ˈɔ	0.267
ˈe	ˈe	0.25
ʧ	ʃ	0.25
d	ð	0.25
b	v	0.25
s	ʃ	0.239
e	u	0.238
j	ʎ	0.231
j	j	0.231
j	-	0.231
ˈø	ˈɔ	0.227
z	z	0.214
z	-	0.214
ˈɛ	ˈɐ_j	0.207
l	-	0.207
ˈo	ˈo_w	0.2
ˈɔ	ˈɔ	0.19
ˈɔ	-	0.19
n	ɲ	0.188
#>	ɾ_#>	0.185
ˈe	ˈɛ	0.179
ˈe	ˈi	0.179
ˈe	ˈẽ	0.179
ˈy	ˈũ	0.167
ˈy	-	0.167
ˈu	ˈɐ̃_w̃	0.167
ŋ	ĩ	0.167
ˈa	ˈɐ̃	0.159
ɡ	-	0.154
j	ˈi	0.154
j	u	0.154
#>	ɨ_#>	0.148
ˈe	ˈɐ	0.143
ˈa	ˈɐ	0.143
s	i_ʃ	0.127
n	j	0.125
ˈu	ˈõ	0.111
k	ɣ	0.111
ˈɛ	ˈɐ	0.103
ˈi	ˈi_ɲ	0.103
d	-	0.1
b	-	0.1
f	v	0.095
r	ʁ	0.085
r	-	0.085
ˈe	ˈɨ	0.071
s	-	0.07
ˈi	ˈĩ	0.069
t	d	0.068
a	-	0.062
#>	w̃_#>	0.059
s	j_ʃ	0.056
