Gothic	Gothic	probability
θ_s	d̥	1.0
ˈɛː	ˈɛɪ̯	1.0
ˈuː	ˈuː	1.0
ˈoː_n	ˈyː	1.0
ˈoː	ˈaʊ̯	1.0
ˈeː	ˈɒː	1.0
ʍ	v	1.0
ɣ_a	ɡ	1.0
ɣ	-	1.0
ɡʷː	ˈuː	1.0
ɡʷ	-	1.0
ɔː	ə	1.0
ŋ_ɡ	ŋ	1.0
ð	d	1.0
x	ɣ̊	1.0
u	-	1.0
t_a	t	1.0
t_#>	d̥_#>	1.0
s_k	ʃ	1.0
s_#>	#>	1.0
r_u	ɐ	1.0
nː	n	1.0
n_s	n_ə	1.0
n_#>	#>	1.0
n	n	1.0
m	m	1.0
lː	l	1.0
l_b	l_f	1.0
l	l	1.0
iː	-	1.0
i	-	1.0
f	f	1.0
e	-	1.0
d_s	d̥	1.0
b_ˈa	b	1.0
b	b	1.0
aː	-	1.0
a_r	ɐ	1.0
a_#>	#>	1.0
<#_ˈu	<#_ˈʏ	1.0
<#_ˈa	<#_ˈa	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_k	<#_k	1.0
<#_h	<#	1.0
t	t	0.895
w	v	0.833
ˈiː	ˈiː	0.778
k	k	0.778
p	p	0.75
j	-	0.75
<#_θ	<#_d	0.714
ˈiu̯	ˈɛɪ̯	0.667
d	d	0.643
ˈɔː	ˈeo̯	0.625
a	-	0.609
β	v	0.6
r	ɐ	0.591
h	h	0.571
θ	d̥	0.545
ˈu	ˈʊ	0.538
ˈi	ˈɪ	0.533
s	z	0.529
ˈɔ	ˈoː	0.5
ˈɔ	ˈeo̯	0.5
ˈa	ˈa	0.5
ɡ	ɣ	0.5
ɡ	-	0.5
ŋ	ŋ	0.5
ŋ	-	0.5
oː	ə	0.5
θ	-	0.455
r	r	0.409
β	-	0.4
ˈiu̯	-	0.333
oː	-	0.333
<#_θ	<#	0.286
ˈɛ	ˈɛɪ̯	0.25
ˈɛ	ˈeː	0.25
ˈɛ	ˈa	0.25
ˈɛ	-	0.25
ˈɔː	ˈoː	0.25
p	b	0.25
j	j	0.25
h	x	0.238
s	s	0.235
ˈu	ˈɔ	0.231
ˈu	-	0.231
ˈiː	ˈɪ	0.222
k	ʃ	0.222
d	d̥	0.214
ˈi	ˈɛ	0.2
h	-	0.19
s	ə	0.176
w	w	0.167
oː	ɐ	0.167
ˈa	ˈɒː	0.154
ˈa	-	0.154
d	-	0.143
a	ə	0.13
a	m	0.13
ˈɔː	ˈøː	0.125
ˈa	ˈɔ	0.115
t	-	0.105
ˈi	ˈeː	0.1
ˈi	-	0.1
a	ɐ	0.087
ˈa	ˈɛ	0.077
ˈi	ˈiː	0.067
s	z̥	0.059
