Bavarian	Bavarian	probability
β	v	1.0
ˈou̯	ˈoː	1.0
ˈeɐ̯	ˈœːy̯	1.0
ˈai̯_#>	ˈɛːɪ̯_#>	1.0
ʦ	t	1.0
ʃ_#>	s_k_#>	1.0
ɡ̊_s	s	1.0
ɡ̊_#>	ɣ̊_#>	1.0
ə	-	1.0
ɑ	-	1.0
ŋ_ɡ̊	ŋ	1.0
ŋ_#>	ɡ_n_#>	1.0
ç	k	1.0
x_#>	k_#>	1.0
s_n	t_n	1.0
s_#>	t_#>	1.0
n_s	s	1.0
n_#>	#>	1.0
n	n	1.0
l_ˈiɐ̯	l	1.0
l	l	1.0
j_#>	l_#>	1.0
j	l	1.0
h	h	1.0
f_a	p_n	1.0
f_#>	p_#>	1.0
f	f	1.0
eɐ̯	ɑɪ̯	1.0
d̥_ˈu	t	1.0
d̥_n	n	1.0
d̥_a	ɐ	1.0
b̥͡v̥	p	1.0
b̥_#>	v̥_#>	1.0
a_#>	#>	1.0
<#_ʦ	<#_t	1.0
<#_ɡ̊	<#_ɡ	1.0
<#_s	<#_z	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_kʰ	<#_k	1.0
<#_j	<#_j	1.0
<#_d̥	<#_d	1.0
d̥_#>	d̥_#>	0.929
b̥	b	0.909
m	m	0.875
r	r	0.842
ˈoɐ̯	ˈæɪ̯	0.818
ʋ	v	0.818
ˈuɐ̯	ˈɑʊ̯	0.8
ɐ	ɐ	0.778
ʃ	s	0.708
ˈau̯	ˈuː	0.7
a	ɐ	0.696
ˈɑː	ˈɒː	0.667
s	z̥	0.636
#>	n_#>	0.636
ˈiɐ̯	ˈæɪ̯	0.625
ŋ	ŋ	0.625
d̥	t	0.625
ˈoː	-	0.6
ɡ̊_a	ɣ̊	0.6
ˈi	ˈɪ	0.577
ˈa	-	0.571
ˈɑ	ˈɑ	0.556
x	χ	0.545
ˈeː	-	0.538
ˈiː	ˈɪ	0.5
ˈiː	-	0.5
n_a	n_n	0.5
n_a	n	0.5
ɡ̊	k	0.429
ˈai̯	ˈiː	0.421
ˈai̯	-	0.421
ˈoː	ˈɒː	0.4
ˈaː	ˈoː	0.4
ˈaː	-	0.4
ɡ̊_a	k_n	0.4
ˈiɐ̯	-	0.375
ŋ	n	0.375
ˈe	-	0.35
ˈɑː	-	0.333
ˈo	ˈɔ	0.32
ˈɒː	ˈɑ	0.308
a	n	0.304
ˈau̯	-	0.3
ʃ	s_k	0.292
ˈa	ˈɑ	0.286
ɡ̊	ɣ̊	0.286
ɡ̊	ɡ	0.286
ˈu	ˈʊ	0.278
ˈu	-	0.278
x	k	0.273
ˈe	ˈeː	0.25
d̥	d	0.25
ˈɒː	-	0.231
ˈeː	ˈɛːɪ̯	0.231
ˈeː	ˈeː	0.231
ˈɑ	ˈɑːɑ̯	0.222
ˈɑ	-	0.222
ˈo	ˈoː	0.2
ˈo	-	0.2
ˈe	ˈɛ	0.2
ˈaː	ˈøː	0.2
ˈi	-	0.192
ˈoɐ̯	-	0.182
ʋ	w	0.182
x	-	0.182
s	z	0.182
s	t	0.182
#>	v̥_#>	0.182
#>	k_#>	0.182
ˈu	ˈʏə̯	0.167
ˈu	ˈœ	0.167
r	ɐ	0.158
ˈɒː	ˈɒːɒ̯	0.154
ˈɒː	ˈɒː	0.154
ˈɒː	ˈɑː	0.154
ˈa	ˈuːu̯	0.143
d̥	d̥	0.125
ˈo	ˈɑ	0.12
ˈu	ˈɔ	0.111
ɐ	ˈɔː_ɐ	0.111
ɐ	-	0.111
ˈai̯	ˈyː	0.105
ˈuɐ̯	ˈøy̯	0.1
ˈuɐ̯	ʊ	0.1
ˈe	ˈɑː	0.1
ˈe	ˈeːe̯	0.1
b̥	-	0.091
ˈo	ˈʊ	0.08
ˈo	ˈɑː	0.08
ˈi	ˈʏ	0.077
ˈi	ˈɪə̯	0.077
ˈi	ˈɛ	0.077
d̥_#>	#>	0.071
m	v_n	0.062
m	-	0.062
ˈai̯	ˈiːi̯	0.053
