Old Chinese	Old Chinese	probability
ʦʰ	ʨʰ_j	1.0
ʔ_s	ʦ	1.0
ʔ_#>	#>	1.0
ɯː_ɡ	ɛ	1.0
ɯ_ʔ	u	1.0
ɯ	-	1.0
ɢ_u	y	1.0
ɡʷ	x_w	1.0
ŋ_s	ŋ_²¹³	1.0
uː	a	1.0
u_ʔ	⁵³	1.0
u_ɡ	u	1.0
tʰ	ʦʰ	1.0
t	ʦ	1.0
sʰ	ʦʰ	1.0
s_r	s	1.0
s	ɕ	1.0
r_ɯ	i	1.0
r_a	i	1.0
qʰ	-	1.0
q	ŋ	1.0
p_r	p	1.0
o_ɡ	u	1.0
o	a	1.0
n_ʔ	n_⁵³	1.0
n_uː	n_a	1.0
n_s	n_²¹³	1.0
m_ʔ	n_⁵³	1.0
m_ɯ	w_ə	1.0
l̥ʰ	tʰ	1.0
lʼ	-	1.0
kʰʷ	-	1.0
hʷ	x	1.0
h_m	x	1.0
h	s	1.0
e	-	1.0
aː_ɡ	ɛ	1.0
aː_l	o	1.0
aː_#>	a_⁵⁵_#>	1.0
aː	a	1.0
a_ʔ	y_⁵³	1.0
<#_ɢʷ	<#	1.0
<#_ŋ	<#	1.0
<#_r	<#_n	1.0
<#_m	<#	1.0
ŋ	ŋ	0.75
n	n	0.75
a	a	0.727
ʔ	w_⁵³	0.714
kʰ	kʰ	0.714
l	-	0.7
u	w	0.667
p	f	0.667
k	ʨ	0.625
oː	o	0.6
d_s	j_²¹³	0.6
b	f	0.6
ɡ	-	0.571
#>	²¹_#>	0.571
i	ə	0.556
eː	a	0.556
d	-	0.556
<#	<#_x	0.5
<#	<#_w	0.5
ɯː	a	0.444
i	-	0.444
ɡ	x	0.429
m	n	0.417
m	m	0.417
oː	ə_w	0.4
d_s	²¹³	0.4
b	pʰ	0.4
k	k	0.375
#>	⁵⁵_#>	0.343
ɯː	a_j	0.333
u	o	0.333
p	p	0.333
r	w	0.3
r	j	0.3
l	j	0.3
ʔ	n_⁵³	0.286
kʰ	ʨʰ	0.286
a	-	0.273
ŋ	-	0.25
n	-	0.25
ɯː	ə	0.222
eː	i	0.222
eː	-	0.222
d	ʦʰ	0.222
d	t	0.222
r	n	0.2
r	-	0.2
m	w	0.167
#>	²¹³_#>	0.057
