Alsatian	West Flemish	probability
i	-	1.0
kʰ	k	1.0
m	m	1.0
p͡f	p	1.0
w	ʋ	1.0
ɡ̊	ɦ	1.0
ʋ	ʋ	1.0
ʦ	t	1.0
ˈyː	ˈyː	1.0
ˈøː	ˈuə̯	1.0
ˈɒː	ˈɑ	1.0
j	ɦ	0.481
l	w	0.271
v	v	0.351
ŋ	ŋ	0.941
ʁ	ɾ_ə	0.071
ʁ	ɾ	0.831
ˈu	ˈu	0.231
x	h	0.832
k	k	0.683
t	d	0.193
ə	n	0.523
ˈe	ˈɛ	0.3
ˈeː	ˈɛː	0.303
ˈeː	ˈiə̯	0.313
ˈi	ˈɪ	0.763
ˈu	ˈœ	0.093
ˈu	ˈɔ	0.333
ˈu	ˈoː	0.343
ˈæ	ˈeː	0.623
ˈʊː	ˈoː	0.273
d̥	d̥	0.274
d̥	d	0.684
l	l	0.654
n	n_ə	0.084
n	n	0.874
t	t	0.34
ʃ	k	0.114
ʃ	s	0.634
ˈe	ˈeː	0.364
ˈei̯	ˈiə̯	0.894
ˈeː	ˈoː	0.384
ˈiː	ˈiə̯	0.654
ˈoː	ˈɒː	0.494
ˈæː	ˈɒː	0.524
ˈɒ	ˈɒː	0.174
ˈəi̯	ˈɛː	0.894
s	s	0.175
ˈe	ˈæ	0.335
f	v_ə	0.096
f	p	0.116
s	t	0.406
ʃ	ə_#>	0.076
ˈei̯	ˈeː	0.106
ˈo	ˈœ	0.266
ˈoː	ˈoː	0.506
ˈæː	ˈeː	0.476
ˈɒ	ˈɑ	0.826
ˈəi̯	ˈeː	0.106
k	ɦ_ə	0.317
ˈi	ˈiə̯	0.07
ˈi	ˈæ	0.117
ˈiː	ˈi	0.177
ˈo	ˈɔ	0.077
ˈæ	ˈæ	0.377
ˈʊː	ˈuə̯	0.727
b̥	b	0.978
f	v	0.788
x	k_ə	0.168
ʁ	-	0.098
ˈo	ˈoː	0.658
j	j	0.519
s	z	0.419
t	-	0.129
t	d̥	0.339
v	ɦ	0.649
ŋ	ŋ_ɡ̊	0.059
ə	ə	0.39
ʃ	ʃ_h	0.099
ˈiː	ˈuə̯	0.169
