Portuguese	Portuguese	probability
ˈɐ_j	ˈe	1.0
ˈũ	ˈỹ_ŋ	1.0
ˈõ	w_ˈɔ̃	1.0
ˈo_ð	ˈu	1.0
ˈo_w	ˈa_w	1.0
ˈĩ	ˈĩ	1.0
ˈẽ	ˈẽ	1.0
ˈe_ɾ	ʀ_ə	1.0
ʒ	ʤ	1.0
ʁ	ʀ	1.0
ɾ_ɐ	ʀ_ɔ	1.0
ɾ_t	ˈɔ	1.0
ɾ_#>	#>	1.0
ɣ_ɐ	ʤ_ɔ	1.0
ɣ_w	ɡ	1.0
ɣ_u	k	1.0
ɔ	u	1.0
ɐ_t	ɥ	1.0
ð_ɐ	d_ɔ	1.0
z_ˈi	ʒ	1.0
v_ɨ	w	1.0
v_ɐ	b_ɔ	1.0
v_u	w	1.0
ũ	ə_m	1.0
u_#>	#>	1.0
t_ɨ	ŋ	1.0
t_u	ŋ	1.0
õ	ũ	1.0
o	u	1.0
k_u	k	1.0
j̃	ə	1.0
j_ɾ	ˈɛ	1.0
j_t	j	1.0
ĩ	ĩ	1.0
i_ʃ	ɪ	1.0
b	b	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʁ	<#_ʀ	1.0
<#_ɡ	<#	1.0
<#_ɔ	<#	1.0
<#_ɐ	<#_ɒ	1.0
<#_t	<#_t	1.0
ˈa	ˈa	0.925
ʎ	ʎ	0.923
m	m	0.923
ˈɛ	ˈe	0.905
p	p	0.903
ɨ_#>	#>	0.875
l	l	0.857
s	s	0.854
f	f	0.824
ɾ	ʀ	0.796
ɡ	ɡ	0.778
n	n	0.773
t	t	0.765
w̃	ŋ	0.75
ˈi	ˈi	0.739
d	d	0.733
ɨ	ə	0.727
ʃ_t	t	0.714
w	-	0.714
ɐ	ɔ	0.682
β	b	0.636
ˈɐ̃	ˈã	0.625
v	v	0.625
j	-	0.619
<#_l	<#_l	0.611
ɐ̃	-	0.6
i	ɪ	0.6
ɲ	ɲ	0.583
ʃ_#>	#>	0.556
ð	-	0.538
ˈɐ	ˈe	0.533
ˈu	ˈy	0.529
#>	ɔ_#>	0.529
k	ʧ	0.526
ɣ	ɡ	0.5
ɣ	-	0.5
z	z	0.5
z	-	0.5
k	k	0.474
ˈe	ˈɪ	0.462
ð	d	0.462
ʃ_#>	s_#>	0.444
ˈɔ	w_ˈɔ	0.429
ɫ	w	0.4
ɫ	l	0.4
ɐ̃	ã	0.4
i	-	0.4
<#_l	<#_ʎ	0.389
j	j	0.381
β	-	0.364
ˈo	ˈu	0.351
ˈɔ	w	0.333
u	ə	0.324
ʃ_t	ʧ	0.286
w	w	0.286
ʃ	-	0.273
ˈɐ	ˈa	0.267
ˈi	-	0.261
ɲ	n	0.25
w̃	-	0.25
ˈɔ	ˈu	0.238
ˈu	ˈu	0.235
n	-	0.227
ɡ	ŋ	0.222
ˈo	ˈœ	0.216
u	-	0.216
v	vʲ	0.208
ˈɐ	ˈɪ	0.2
ɫ	-	0.2
ˈɐ̃	ˈa_n	0.188
ˈɐ̃	-	0.188
ʃ	l	0.182
ʃ	k_l	0.182
ʃ	j_s	0.182
ʃ	f_l	0.182
ɨ	-	0.182
f	fʲ	0.176
#>	ŋ_#>	0.176
#>	l_#>	0.176
ɲ	ˈĩ	0.167
v	w	0.167
ˈe	ˈe	0.154
ɐ	ɒ	0.152
l	-	0.143
ˈo	w_ˈɔ	0.135
u	u	0.135
d	ŋ	0.133
d	dʲ	0.133
ɨ_#>	ʀ_#>	0.125
ˈu	ˈỹ	0.118
ˈu	w_ˈẽ	0.118
t	ʧ	0.118
t	-	0.118
#>	ə_#>	0.118
ˈe	ˈi	0.115
ˈe	-	0.115
u	ˈɔ	0.108
ˈɛ	-	0.095
ɾ	ʀ_ə	0.093
ɨ	w	0.091
ˈo	ˈɔ	0.081
ˈe	ˈɪ_j	0.077
ˈe	e	0.077
ʎ	lː	0.077
m	mʲ	0.077
ˈa	ˈe	0.075
s	ʃ	0.073
s	-	0.073
p	-	0.065
ɾ	l	0.056
ɾ	-	0.056
ˈo	ˈũ	0.054
ˈo	ˈa	0.054
ˈo	w	0.054
ˈo	j_ˈɔ	0.054
u	ʎ	0.054
u	ŋ	0.054
u	y	0.054
u	l	0.054
