Zeelandic	Zeelandic	probability
ˈɪə̯_ə_#>	ˈoː_#>	1.0
ˈɛː_n_#>	ˈoː_#>	1.0
ˈɒː	ˈa	1.0
ˈɑu̯	-	1.0
ˈæ_ɾ	r	1.0
ˈuːə̯	-	1.0
ˈoː	-	1.0
ˈiːə̯	ˈeː	1.0
ʋ	v	1.0
ɾ_t	ʈː	1.0
ɾ_d̥	ɖ	1.0
ɾ_#>	#>	1.0
ɫ_ə	l	1.0
ɪ	-	1.0
ə_ɫ	ɛ_l	1.0
ə_#>	#>	1.0
z̥_#>	s_#>	1.0
x_ə	ɡː	1.0
x_t	tː	1.0
x_#>	ɡ_#>	1.0
w_#>	#>	1.0
v̥_#>	v_#>	1.0
v_ə	v_ɛ	1.0
s_x	ɧ	1.0
n_ə	nː	1.0
n_z̥	sː	1.0
n_d	nː	1.0
n_#>	#>	1.0
l	l	1.0
j	-	1.0
iː	ɔ	1.0
i	ɵ	1.0
d̥_#>	#>	1.0
b	b	1.0
<#_ˈɛː	<#_h_ˈɑː	1.0
<#_ˈɑ	<#_ˈɛ	1.0
<#_ʋ	<#	1.0
<#_ɾ	<#_r	1.0
<#_t	<#_tʰ	1.0
<#_n	<#_n	1.0
<#_k	<#_kʰ	1.0
#>	ɛ_#>	1.0
d̥	d	0.895
v	f	0.882
<#	<#_h	0.857
ɾ	r	0.841
ɫ	l	0.839
ˈyː	ˈʉː	0.818
z	s	0.808
n	n	0.794
t_#>	t_#>	0.778
ə	a	0.774
<#_d	<#_d	0.75
m	m	0.737
ŋ	ŋː	0.7
ˈi	ˈiː	0.692
ˈuː	ˈuː	0.667
t	t	0.65
s	s	0.65
ˈɑ	ˈa	0.632
x	ɡ	0.619
ˈæ	ˈɛ	0.615
ˈʊə̯	ˈøː	0.6
ˈu	ˈuː	0.6
d	tʰ	0.6
ˈøː	-	0.571
p	p	0.545
ˈɛː	ˈoː	0.5
ˈæi̯	ˈɛ	0.5
ˈæi̯	ˈeː	0.5
k_#>	k_#>	0.5
k_#>	#>	0.5
ˈɪ	ˈɪ	0.467
k	kː	0.444
ˈʏ	-	0.429
ˈøː	ˈoː	0.429
ˈu	ˈʊ	0.4
ˈɔ	ˈɵ	0.333
ˈuː	ˈøː	0.333
ˈeː	ˈɛː	0.333
ˈeː	ˈɛ	0.333
ˈeː	ˈeː	0.333
k	k	0.333
ˈi	ˈɪ	0.308
ˈɪə̯	ˈeː	0.3
ˈɪə̯	j	0.3
ŋ	ŋ	0.3
t	tː	0.3
ˈiː	ˈʉː	0.294
ˈiː	ˈyː	0.294
ˈʏ	ˈʏ	0.286
ˈʏ	ˈɵ	0.286
p	pː	0.273
ˈɪ	-	0.267
d	d	0.267
m	mː	0.263
<#_d	<#	0.25
ˈɔ	ˈɔ	0.238
ˈæ	-	0.231
ə	ɛ	0.226
t_#>	#>	0.222
k	ɕ	0.222
ˈɑ	ˈɑː	0.211
ˈʊə̯	ˈœː	0.2
ˈʊə̯	-	0.2
ˈɪə̯	ˈɛ	0.2
ˈɪə̯	-	0.2
s	s_k	0.2
z	ɧ	0.192
ˈɛː	ˈɑː	0.188
ˈɛː	ˈa	0.188
ˈyː	-	0.182
p	-	0.182
ˈiː	-	0.176
ˈæ	ˈa	0.154
ˈɔ	ˈœ	0.143
x	j	0.143
<#	<#_j	0.143
ˈɪ	ˈɛ	0.133
ˈɪ	ˈiː	0.133
d	ɕ	0.133
ˈɛː	-	0.125
ˈiː	ˈɛː	0.118
ˈiː	j_ˈʉː	0.118
v	v	0.118
n	nː	0.118
ˈɑ	ˈoː	0.105
d̥	lː	0.105
s	ɧ	0.1
ɫ	lː	0.097
ˈɔ	ˈʊ	0.095
ˈɔ	r	0.095
ˈɔ	-	0.095
x	ɡː	0.095
x	k	0.095
ɾ	ɳ	0.068
ɫ	j	0.065
n	-	0.059
ˈɑ	ˈæ	0.053
