Old French	Old French	probability
θ	t_ɛ̃ː	1.0
ˈɛ_r	r	1.0
ˈɛ_f	w	1.0
ˈɔ_r	ˈɔ_r	1.0
ˈỹ	ˈuː	1.0
ˈy_j	ˈɔ_k	1.0
ˈo	ˈau̯_s	1.0
ˈĩ	ˈiː	1.0
ˈẽ_j	ˈoe̯	1.0
ˈã_j	ˈaː	1.0
ˈa_w	ˈa_ɫ	1.0
ʧ_ˈã	k_ˈa	1.0
ʧ_j	k	1.0
ʦ_#>	ʊ_s_#>	1.0
ɲ	n	1.0
ə_n	ɛ_n	1.0
ŋ	ŋ	1.0
z	-	1.0
y	ʊ	1.0
w_ˈɛ	ˈɔ	1.0
ũ	ɔ	1.0
t_ə	t_ãː	1.0
p_ˈe	tʰ	1.0
p	p	1.0
o	-	1.0
n_ʦ	n_t	1.0
n_d	n_ɛ	1.0
m_#>	m_ɛ̃ː_#>	1.0
l_#>	lʲː_ʊ̃ː_#>	1.0
k_ˈɔ	k_ˈɔ	1.0
j_z	k	1.0
j_t	k_t	1.0
j_s	k_ɛ̃ː	1.0
j_r	r_ɛ	1.0
j_#>	k_ʊ̃ː_#>	1.0
ĩ	iː	1.0
i	iː	1.0
d	d	1.0
b_ə	b_ãː	1.0
b	b	1.0
ã	a	1.0
<#_ˈã	<#_ˈa	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_ɫ	1.0
<#_e	<#	1.0
<#_d	<#_d	1.0
<#	<#_h	1.0
f	f	0.964
m	m	0.889
a	a	0.846
s	s	0.837
r	r	0.822
n	n	0.816
ʧ	k	0.812
<#_ʦ	<#_k	0.8
ˈẽ	ˈɛ	0.769
ˈi_r	ˈiː_r	0.75
ˈy	ˈuː	0.733
t	t	0.718
ˈe	ˈaː	0.682
v	w	0.677
k	k	0.667
j_n	n_ʊ̃ː	0.667
ɡ	ɡ	0.643
ˈɔ_j	ˈeː	0.625
l	ɫ	0.625
ˈa	ˈa	0.607
ɔ	-	0.6
j_ˈɛ	ˈɛ	0.6
e	-	0.6
ˈã	ˈa	0.562
ˈɛ	ˈɛ	0.556
ʎ	ʊ_ɫ	0.5
ʎ	lʲ_i	0.5
ə	ãː	0.483
ˈu	ˈʊ	0.471
#>	ʊ̃ː_#>	0.466
ˈi	ˈiː	0.455
ˈu	ˈoː	0.412
ˈũ	ˈoː	0.4
ɔ	a	0.4
j_ˈɛ	ˈɛ_t	0.4
e	ae̯	0.4
w	-	0.385
ˈɔ_j	ˈɪ	0.375
ʦ	t	0.375
ʦ	k	0.375
ʤ	ɡ	0.353
ˈũ	ˈɔ	0.35
j_n	ŋ_k	0.333
ˈã	ˈaː	0.312
u	ɔ	0.308
u	oː	0.308
ˈɔ	ˈeː	0.3
ʤ	d	0.294
ˈy	ˈʊ	0.267
#>	ɛ̃ː_#>	0.263
ˈɔ	ˈɔ	0.25
ˈɔ	ˈau̯	0.25
ˈũ	ˈʊ	0.25
ˈi_r	r	0.25
ʦ	k_i	0.25
ʤ	j	0.235
j	i	0.233
ˈẽ	ˈɪ	0.231
w	ˈɔ	0.231
u	ʊ	0.231
ˈi	ˈɛ	0.227
ˈɛ	ˈa	0.222
ɡ	k	0.214
k	kʷ	0.208
<#_ʦ	<#	0.2
ʧ	kː	0.188
ˈe	ˈɪ	0.182
ˈa	ˈaː	0.179
#>	ɛ_#>	0.169
l	lʲː	0.167
j	ɡ	0.167
j	-	0.167
w	k	0.154
w	aː	0.154
u	-	0.154
t	tː	0.154
a	aː	0.154
ə	ɛ	0.15
ɡ	-	0.143
ˈi	ˈɛ_k	0.136
ˈi	ˈiː_k	0.136
ˈe	-	0.136
j	ɪ	0.133
v	p	0.129
ˈã	-	0.125
k	-	0.125
n	n_ʊ̃ː	0.122
ˈu	ˈɔ	0.118
ʤ	-	0.118
s	sː	0.116
ˈɛ	ˈɪ	0.111
ˈa	ˈa_p	0.107
ˈa	-	0.107
l	lʲ	0.104
ˈɔ	ˈɪ	0.1
ˈɔ	-	0.1
r	ɛ_r	0.089
ˈɛ	ˈɔ	0.083
m	ɪ_m	0.083
w	ˈo	0.077
t	d_ʊ̃ː	0.077
ə	ɛ̃ː	0.075
j	ˈaː	0.067
j	ŋ	0.067
j	k	0.067
j	d_i	0.067
v	p_ɛ	0.065
v	b_ɛ	0.065
v	b	0.065
l	ʊ_ɫ	0.062
n	ʊ̃ː	0.061
ə	ʊ̃ː	0.058
t	d_ɛ̃ː	0.051
