Westphalian	Westphalian	probability
ˈʊ_n	n	1.0
ˈɛː	r	1.0
ˈɒː	ˈɔː	1.0
ˈœː	-	1.0
ˈø	-	1.0
ˈyːœ̯	-	1.0
ˈyː	j_ˈuː	1.0
ˈyə̯	ˈɔ	1.0
ˈuə̯	ˈuː	1.0
ˈiɛ̯	-	1.0
ˈa_n	ˈoːu̯_n	1.0
ˈa_l	ˈoː_l	1.0
ɪ	ɪ	1.0
ɣ	ɣ	1.0
ə_#>	#>	1.0
ə	ə	1.0
ç	x	1.0
z̥_#>	s_#>	1.0
v_#>	f_#>	1.0
r	r	1.0
p	p	1.0
n_#>	#>	1.0
m	m	1.0
l	l	1.0
j	j	1.0
h	h	1.0
f	f	1.0
d_ɐ	r	1.0
d_n	d_ə	1.0
b	b	1.0
aɪ̯	i	1.0
<#_ˈuː	<#_ˈuː	1.0
<#_x	<#_j	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#	<#_ˈuː	1.0
t	t	0.957
d̥	d	0.931
s	s	0.917
k	k	0.897
d	d	0.889
ˈaʊ̯	ˈoː	0.846
ŋ	ŋ	0.846
v	v	0.84
ˈɪə̯	-	0.8
ˈøː	ˈɛɪ̯	0.75
ˈoː	ˈoːu̯	0.75
ʋ	v	0.75
<#_d	<#_t	0.75
ˈʊ	ˈʊ	0.692
ˈaɪ̯	j_ˈoː	0.692
ˈuː	ˈuː	0.667
ʃ	s	0.667
ɡ	ɣ	0.667
ˈʏ	-	0.6
z	z	0.6
ˈɪ	ˈɪ	0.565
ˈiː	ˈi	0.562
ˈɪɛ̯	-	0.556
ˈeː	ˈeː	0.545
ˈaː	ˈɔː	0.5
ˈaː	-	0.5
n	n	0.5
ɐ	r	0.485
x	ɣ	0.467
x	x	0.467
ˈɪɛ̯	ˈeː	0.444
ɐ	ə_r	0.424
ˈʏ	ˈɛː	0.4
z	s	0.4
ˈɔ	ˈɔː	0.333
ˈɔ	ˈɔ	0.333
ˈɔ	ˈoː	0.333
ˈuːə̯	ˈʊ	0.333
ˈuːə̯	ˈɔː_r	0.333
ˈuːə̯	-	0.333
ˈuː	-	0.333
ʃ	s_k	0.333
ɡ	-	0.333
n	ə	0.333
ˈiː	ˈiː	0.312
ˈʊ	ˈuː	0.308
ˈeː	ˈoː	0.273
ˈɪ	ˈiː	0.261
ˈɛ	ˈɛ	0.25
ˈɛ	ˈa	0.25
ˈøː	-	0.25
ˈoː	ˈuː	0.25
ʋ	x	0.25
<#_d	<#	0.25
ˈɔː	ˈɛɪ̯	0.231
ˈɔː	ˈoːu̯	0.231
ˈɔː	ˈoː	0.231
ˈa	ˈɔː	0.211
ˈa	ˈaː	0.211
ˈɪə̯	ˈeːu̯	0.2
ˈeː	ˈaː	0.182
ˈɛ	ˈʊ	0.167
ˈɛ	ˈɔː	0.167
ˈɛ	-	0.167
ˈa	ˈɛː	0.158
ˈa	ˈɔ	0.158
ˈa	ˈa	0.158
ˈɔː	ˈiː	0.154
ˈɔː	-	0.154
ˈaʊ̯	-	0.154
ˈaɪ̯	ˈɛɪ̯	0.154
ˈaɪ̯	ˈeː	0.154
ŋ	-	0.154
ˈiː	ˈɛɪ̯	0.125
d	d_ə	0.111
ˈa	-	0.105
k	k_ə	0.103
ɐ	ə	0.091
ˈɪ	ˈi	0.087
ˈɪ	j_ˈʊ	0.087
s	k_s	0.083
v	w	0.08
v	v_ˈiː	0.08
d̥	-	0.069
x	ɡ	0.067
n	j_ə	0.061
