Ligurian	Ligurian	probability
ˈɛː_r	ˈɛ_rː	1.0
ˈyː	ˈu	1.0
ˈy	ˈu	1.0
ˈuː	ˈɔ	1.0
ˈaː_r	ˈa_l	1.0
ˈaː_#>	ˈa_#>	1.0
ˈa	ˈa	1.0
ʧ	p_j	1.0
ɲ	ɲ	1.0
ɥ	u_t	1.0
ɔː	o	1.0
ŋ_k	ŋ_k	1.0
y	u	1.0
w_ˈɛː	ˈa_t	1.0
w_ˈiː	ˈɔ_j	1.0
v_u	v_u	1.0
t_ˈe	t_ˈe	1.0
sː	sː	1.0
s_ˈuː	s_ˈo	1.0
s_ˈe	ʧ_ˈɛ	1.0
r_t	r_t	1.0
r_n	r_n	1.0
r_k	r_k	1.0
r_d	r_d	1.0
p	p	1.0
o	ʦː_u	1.0
n_ˈe	n_ˈɛ	1.0
l_ˈeː	ˈɛ_lː	1.0
j_ˈu	ˈo	1.0
j_d	dː	1.0
j_a	r_a	1.0
i	i	1.0
f	f	1.0
d	d	1.0
b	b	1.0
a_v	a_p	1.0
<#_ˈɛː	<#_ˈa	1.0
<#_ˈɔ	<#_ˈɔ	1.0
<#_ʧ	<#_c	1.0
<#_ʤ	<#_ɟ	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_a	<#_a	1.0
<#	<#_r	1.0
m	m	0.972
r	r	0.933
a	a	0.916
k	k	0.905
u	u	0.904
v	v	0.871
e	e	0.847
ˈaː	ˈa	0.833
ˈi	ˈi	0.824
ˈøː	ˈɔ	0.8
ŋ	n	0.789
ˈɔː	ˈɔ	0.769
ʒ	ʧ	0.75
ˈe	ˈɛ	0.719
ˈeː	ˈe	0.706
ŋ_#>	n_u_#>	0.647
z	ɟ	0.647
ˈiː	ˈi	0.643
s	s	0.643
ˈu	ˈɔ	0.636
t	t	0.632
ˈɔ	ˈɔ	0.625
ˈø	ˈɔ	0.625
ˈɛː	ˈɛ	0.571
l	l	0.571
ˈɛ	ˈɛ	0.5
j	-	0.5
w	w	0.462
n	n	0.455
ɡ	ɡ	0.444
ˈɛː	ˈa	0.429
l	lː	0.429
w	-	0.385
ˈɔ	-	0.375
ˈø	ˈo	0.375
ɡ	k	0.37
ʤ	ʎ	0.368
t	tː	0.368
n	nː	0.364
ŋ_#>	n_e_#>	0.353
ʃ	f_j	0.333
ʤ	c	0.316
ˈu	ˈo	0.273
ˈɛ	ˈe	0.25
ˈɛ	-	0.25
ʒ	-	0.25
#>	r_e_#>	0.242
ˈɔː	ˈo	0.231
j	e_r	0.227
ʃ	ʃː	0.222
ʃ	ʃ	0.222
ʃ	sː	0.222
ˈe	ˈe	0.219
ˈiː	e	0.214
ˈøː	ˈo	0.2
n	-	0.182
#>	e_#>	0.182
#>	a_#>	0.182
ˈi	-	0.176
ˈeː	-	0.176
z	z	0.176
z	-	0.176
ˈaː	ˈa_l	0.167
w	ˈɔ	0.154
#>	l_u_#>	0.152
ˈiː	-	0.143
j	r	0.136
j	j	0.136
ŋ	ŋ	0.132
v	p	0.129
s	ʧ	0.125
ˈeː	ˈe_d	0.118
ɡ	-	0.111
ʤ	ɟ	0.105
ʤ	j	0.105
ʤ	b_j	0.105
e	i	0.102
k	kː	0.095
ˈu	ˈu	0.091
#>	u_#>	0.091
#>	l_e_#>	0.091
s	-	0.089
ŋ	m	0.079
ɡ	kː	0.074
r	-	0.067
ˈe	ˈi	0.062
#>	i_#>	0.061
s	ʦ	0.054
s	sː	0.054
e	u	0.051
