Bavarian	Afrikaans	probability
a	ə	0.56
a	r	0.229
a	-	0.211
b̥	b	0.758
b̥	f	0.11
b̥	-	0.093
d	d	1.0
d̥	t	0.541
d̥	d	0.429
eɐ̯	i	1.0
f	f	0.708
f	p	0.242
h	ɦ	0.944
h	k	0.056
i	ə	0.603
i	-	0.397
j	ɫ	0.829
j	j	0.094
j	-	0.077
k	k	0.675
k	χ	0.253
k	-	0.072
kʰ	k	0.973
l	ɫ	0.926
m	m	0.865
m	v	0.083
m	-	0.051
n	n	0.903
n	-	0.061
p	p	0.892
p	f	0.108
p͡f	p	0.94
p͡f	f	0.06
r	r	0.918
r	-	0.082
s	s	0.682
s	t	0.299
t	t	0.699
t	d	0.152
t	-	0.149
x	k	0.506
x	χ	0.494
ç	k	1.0
ŋ	ŋ	0.635
ŋ	-	0.164
ŋ	χ	0.122
ŋ	n	0.079
ɐ	r	0.838
ɐ	i	0.14
ə	ə	1.0
ɡ̊	χ	0.907
ɡ̊	-	0.093
ɪ	ə	1.0
ʃ	s	1.0
ʋ	v	0.702
ʋ	w	0.273
ʦ	t	1.0
ˈa	ˈa	0.472
ˈa	ˈɪ	0.172
ˈa	ˈæː	0.163
ˈa	ˈɑː	0.153
ˈai̯	ˈəɪ̯	0.437
ˈai̯	ˈi	0.206
ˈai̯	ˈɪə̯	0.104
ˈai̯	ˈyː	0.095
ˈai̯	ˈœɪ̯	0.055
ˈai̯	-	0.052
ˈai̯	ˈə	0.052
ˈau̯	ˈœɪ̯	0.721
ˈau̯	ˈɔ	0.151
ˈau̯	ˈœu̯	0.056
ˈaː	ˈʊə̯	0.548
ˈaː	ˈɑː	0.184
ˈaː	ˈɔ	0.161
ˈaː	ˈa	0.107
ˈe	ˈɑː	0.23
ˈe	ˈɛ	0.206
ˈe	ˈɪə̯	0.205
ˈe	ˈa	0.101
ˈe	ˈæː	0.101
ˈe	ˈʊə̯	0.085
ˈe	ˈi	0.06
ˈeɐ̯	ˈu	0.287
ˈeɐ̯	ˈɔ	0.281
ˈeɐ̯	ˈəɪ̯	0.281
ˈeɐ̯	ˈi	0.151
ˈeː	ˈɪə̯	0.565
ˈeː	ˈɛ	0.231
ˈeː	ˈʊə̯	0.193
ˈi	ˈə	0.609
ˈi	ˈəɪ̯	0.105
ˈi	ˈi	0.098
ˈi	ˈʊə̯	0.07
ˈi	ˈæ	0.063
ˈiɐ̯	ˈi	0.662
ˈiɐ̯	ˈu	0.231
ˈiɐ̯	ˈə	0.107
ˈiː	ˈi	0.394
ˈiː	ˈɪə̯	0.369
ˈiː	ˈə	0.168
ˈiː	ˈɛː	0.069
ˈo	ˈɔ	0.352
ˈo	ˈœu̯	0.27
ˈo	ˈa	0.215
ˈo	ˈæ	0.072
ˈo	ˈɛː	0.051
ˈou̯	ˈʊə̯	0.776
ˈou̯	ˈoːɪ̯	0.224
ˈoɐ̯	ˈʊə̯	0.379
ˈoɐ̯	ˈɪə̯	0.251
ˈoɐ̯	ˈəɪ̯	0.201
ˈoɐ̯	ˈa	0.124
ˈoː	ˈɑː	0.52
ˈoː	ˈa	0.184
ˈoː	ˈʊə̯	0.171
ˈoː	ˈɛː	0.125
ˈu	ˈɔ	0.451
ˈu	ˈu	0.121
ˈu	ˈœ	0.121
ˈu	ˈɪø̯	0.107
ˈu	ˈi	0.057
ˈu	ˈæ	0.055
ˈu	ˈʊə̯	0.051
ˈuɐ̯	ˈu	0.951
ˈy	ˈʊə̯	1.0
ˈɑː	ˈɑː	1.0
ˈɒ	ˈa	0.677
ˈɒ	ˈɑː	0.323
ˈɒː	ˈɑː	0.522
ˈɒː	ˈa	0.478
ˈɔ	ˈa	0.424
ˈɔ	ˈɑː	0.302
ˈɔ	ˈɔ	0.235
ˈɛ	ˈɑː	0.363
ˈɛ	ˈɪə̯	0.151
ˈɛ	ˈɛ	0.146
ˈɛ	ˈæ	0.128
ˈɛ	ˈæː	0.102
ˈɛ	ˈɪø̯	0.084
ˈɛː	ˈɑː	0.486
ˈɛː	w	0.338
ˈɛː	ˈɪə̯	0.176
ˈʏ	ˈœ	0.5
ˈʏ	ˈɛ	0.5
