Bavarian	Afrikaans	probability
a	ə_r	0.528
a	r	0.265
a	-	0.201
b̥	b	0.75
b̥	f	0.113
b̥	-	0.083
b̥	v	0.052
d	d	0.514
d̥	t	0.462
d̥	d	0.389
d̥	-	0.145
d̥_a	r	1.0
d̥_n	t	1.0
f	f	0.852
f	p	0.145
f_a	p	0.644
f_a	t	0.251
h	ɦ	0.943
h	k	0.061
i	ə	0.683
i	-	0.232
j	ɫ	0.565
j	l	0.217
j	j	0.148
j	-	0.066
j_d̥	t	0.514
k	k	0.758
k	-	0.19
kʰ	k	0.955
kʰ	-	0.056
l	ɫ	0.651
l	l	0.218
l	n	0.07
l	r	0.058
m	m	0.807
m	-	0.189
m_a	m	1.0
n	n	0.665
n	-	0.279
n	ə_ŋ	0.052
p	p	0.437
p	f	0.088
p͡f	p	0.85
p͡f	f	0.088
r	r	0.924
r	-	0.071
s	s	0.711
s	t	0.287
s_n	t	1.0
s_t	s	1.0
t	t	0.607
t	-	0.284
t	d	0.096
x	χ	0.565
x	k	0.424
ç	k	1.0
ŋ	ŋ	0.743
ŋ	-	0.114
ŋ	n	0.074
ŋ	χ	0.071
ɐ	r	0.886
ɐ	-	0.103
ə	-	0.822
ə	ə	0.15
ɡ̊	χ	0.838
ɡ̊	-	0.152
ɪ	ə	0.514
ʃ	s	0.861
ʃ	s_k	0.128
ʋ	v	0.691
ʋ	w	0.255
ʋ	-	0.055
ʦ	t	1.0
ˈa	ˈa	0.433
ˈa	ˈɑː	0.184
ˈa	ˈɪ	0.14
ˈa	ˈʊə̯	0.109
ˈa	ˈæ	0.103
ˈai̯	ˈəɪ̯	0.442
ˈai̯	ˈi	0.15
ˈai̯	ˈyː	0.121
ˈai̯	ˈœɪ̯	0.105
ˈai̯	ˈœi̯	0.08
ˈau̯	ˈœɪ̯	0.598
ˈau̯	ˈɔ	0.168
ˈau̯	ˈœu̯	0.123
ˈau̯	ˈʊə̯	0.087
ˈaː	ˈʊə̯	0.616
ˈaː	ˈɑː	0.166
ˈaː	ˈɔ	0.15
ˈe	ˈɛ	0.225
ˈe	ˈɪə̯	0.203
ˈe	ˈʊə̯	0.154
ˈe	ˈa	0.116
ˈe	ˈæː	0.091
ˈeɐ̯	ˈəɪ̯	0.415
ˈeɐ̯	ˈɔ	0.214
ˈeɐ̯	ˈu	0.214
ˈeː	ˈɪə̯	0.833
ˈeː	ˈi	0.143
ˈi	ˈə	0.52
ˈi	ˈəɪ̯	0.097
ˈi	ˈɪə̯	0.097
ˈi	ˈi	0.097
ˈi	ˈɛ	0.084
ˈiɐ̯	ˈi	0.608
ˈiɐ̯	ˈu	0.18
ˈiɐ̯	ˈə	0.115
ˈiː	ˈi	0.488
ˈiː	ˈə	0.28
ˈiː	ə	0.18
ˈo	ˈa	0.335
ˈo	ˈɔ	0.32
ˈo	ˈœu̯	0.211
ˈo	ˈɛː	0.112
ˈo_j	ˈœu̯	0.514
ˈou̯	ˈʊə̯	0.758
ˈou̯	ˈoːi̯	0.19
ˈoɐ̯	ˈɪə̯	0.222
ˈoɐ̯	ˈəɪ̯	0.194
ˈoɐ̯	ˈʊə̯_r	0.183
ˈoɐ̯	ˈa	0.165
ˈoɐ̯	ˈʊə̯	0.143
ˈoː	ˈɑː	0.342
ˈoː	ˈa	0.315
ˈoː	ˈʊə̯	0.208
ˈoː	ˈɛː	0.112
ˈu	ˈɔ	0.509
ˈu	ˈœ	0.145
ˈu	ˈɛ	0.078
ˈu	ˈi	0.074
ˈu	ˈɪø̯	0.074
ˈuɐ̯	ˈu	0.717
ˈuɐ̯	ˈuː	0.157
ˈuɐ̯	ˈuːi̯	0.115
ˈy	ˈʊə̯	0.514
ˈɑː	ˈɑː	0.514
ˈɒ	ˈa	0.591
ˈɒ	ˈɑː	0.403
ˈɒː	ˈɑː	0.548
ˈɒː	ˈa	0.415
ˈɔ	ˈa	0.356
ˈɔ	ˈɔ	0.303
ˈɔ	ˈɑː	0.264
ˈɔ	ˈʊə̯	0.063
ˈɛ	ˈɪə̯	0.322
ˈɛ	ˈɑː	0.191
ˈɛ	ˈɛ	0.191
ˈɛ	ˈɪø̯	0.098
ˈɛ	ˈœ	0.096
ˈɛː	w	0.313
ˈɛː	ˈɪə̯	0.161
ˈɛː	ˈɑː	0.161
ˈʏ	ˈɛ	0.514
