Ukrainian	Ukrainian	probability
ʧʲ	k	1.0
ʦ	dʲ	1.0
ʤ	bʲ	1.0
ʒ	ɡʲ	1.0
ʍ	ɫ	1.0
ʊ	-	1.0
ʃʲ	ɕ	1.0
ʃ	-	1.0
ɦʲ	ŋ_ɡ	1.0
ɛ_ˈ	ɪ	1.0
ɑ_ˈ	ˈ	1.0
x	-	1.0
sʲ	ɕ	1.0
rʲ	r	1.0
p	pʲ	1.0
nʲ	s	1.0
n	n	1.0
i_ˈ	̌	1.0
e_#>	ɪ_#>	1.0
bʲ	-	1.0
a	-	1.0
<#_t	<#_tʲ	1.0
<#_s	<#_s	1.0
<#_nʲ	<#_n	1.0
<#_b	<#	1.0
e	-	0.857
ɫ	ɫ	0.846
ɦ	ɡ	0.818
j_#>	ɐ_s_#>	0.75
ˈ_#>	ˈ_#>	0.727
lʲ	lʲ	0.667
j	s	0.667
ʋʲ	vʲ	0.6
ɪ_ˈ	s	0.6
ɔ_ˈ	ɐ	0.6
z	ʑ	0.6
d	d	0.6
m	mʲ	0.545
#>	s_#>	0.531
ʧ	kʲ	0.5
ʧ	k_tʲ	0.5
k	k	0.5
b	bʲ	0.5
b	b	0.5
t	t	0.462
m	m	0.455
ɑ	ɐ	0.444
ɛ	æː	0.417
ʋʲ	v	0.4
ɪ_ˈ	̌_s	0.4
ɔ_ˈ	ɪ	0.4
r	rʲ	0.391
r	r	0.391
t	tʲ	0.385
ˈ	̌	0.338
ʋ	vʲ	0.333
ɛ	-	0.333
w	ɐ	0.333
w	vʲ	0.333
w	-	0.333
u	ɐ	0.333
u	-	0.333
tʲ	ɪ	0.333
tʲ	tʲ_ɪ	0.333
tʲ	-	0.333
s	ʃ	0.333
lʲ	-	0.333
j	-	0.333
ɐ	eː	0.308
ɐ	-	0.308
ɪ	ʊ	0.286
ɪ	uː	0.286
k	-	0.286
#>	ɐ_s_#>	0.286
ɑ	eː	0.278
i	aː	0.278
ˈ_#>	#>	0.273
ˈ	-	0.262
ɛ	ɛ	0.25
s	ɕ	0.25
s	sʲ	0.25
j_#>	#>	0.25
ˈ	̂	0.246
ɔ	-	0.238
ɐ	ɐ	0.231
ɪ	-	0.214
k	kʲ	0.214
z	ʒ	0.2
z	ɡʲ	0.2
d	dʲ	0.2
ɔ	ɐ	0.19
ɦ	ɡ_ɐ	0.182
ʋ	ɫ	0.167
ʋ	v	0.167
ʋ	iː	0.167
ʋ	-	0.167
ɑ	oː	0.167
u	ɛʊ̯	0.167
u	ŋʲ	0.167
s	s	0.167
i	ɐ	0.167
i	-	0.167
ˈ	ˈ	0.154
ɫ	lʲ	0.154
ɐ	ɛ	0.154
t	-	0.154
ɪ	iə̯	0.143
ɔ	ɪ	0.143
e	ɪ	0.143
r	r_̌	0.13
ɑ	uə̯	0.111
i	ɛ	0.111
i	iə̯	0.111
i	eː	0.111
d	t	0.1
d	-	0.1
ɔ	ɛ	0.095
ɔ	æː	0.095
ɔ	aː	0.095
r	r_ɐ	0.087
#>	ˈ_#>	0.082
ɪ	æɪ̯	0.071
ɔ	ɪ_ˈ	0.071
#>	ɪ_s_#>	0.061
i	ɐɪ̯	0.056
