Standard Serbian	Proto-Balto-Slavic	probability
ʨ	k_t	1.0
ʧ	k	1.0
ʦ	k	1.0
ʒ	ɡ	1.0
ʎ	l	1.0
ʋ	w	1.0
ʃ	-	1.0
ɲ	i	1.0
ɡ	ɡ	1.0
x	ʃ	1.0
r̩ː	i_r	1.0
r̩	-	1.0
p	p	1.0
oː_̂	a_́	1.0
o_̂	a	1.0
l	l	1.0
iː	-	1.0
b	b	1.0
a_̂	ˀ	1.0
z	zʲ	0.94
m	m	0.901
t	t	0.884
r	r	0.849
n	n	0.792
o	a	0.787
e	e	0.705
d	d	0.595
i	uː	0.586
uː	a	0.569
aː	a	0.564
̌	-	0.5
u	i_́	0.449
̂	́	0.441
aː	-	0.436
uː	au̯	0.431
k	-	0.423
i	ei̯	0.414
k	k	0.367
s	sʲ	0.366
eː	ai̯	0.365
a	aː	0.359
s	s	0.357
eː	e	0.313
u	i	0.29
s	ʃ	0.277
̌	́	0.273
d	n	0.267
u	-	0.261
eː	eː	0.261
a	-	0.225
o	-	0.213
k	k_a	0.211
n	-	0.208
̂	́ˀ	0.186
a	oː	0.176
̂	-	0.153
r	-	0.151
e	ai̯	0.141
d	s	0.138
̌	ˀ	0.136
a	aː_́ˀ	0.122
e	-	0.102
m	-	0.099
̌	́_ŋ	0.091
̂	ˀ	0.085
̂	a_́	0.085
a	a_s	0.069
t	n	0.065
eː	i	0.062
z	z	0.06
e	ɛ	0.052
̂	i_́	0.051
t	n_t	0.051
