Emilian	Emilian	probability
ˈɛː	-	1.0
ˈɛ_l	ˈɛː	1.0
ˈɔː_l	ʎ	1.0
ˈi	-	1.0
ˈa_n	ˈɛ_n	1.0
ʧ	ʎ	1.0
ʤ	ɡ_l	1.0
ɡ_#>	w_#>	1.0
ŋ_ɡ	ŋ	1.0
z_#>	ʃ_#>	1.0
v_#>	f_#>	1.0
t_a	t_ə	1.0
t	t	1.0
r_ˈiː	r_ˈiː	1.0
r_e	r	1.0
r_a	r_ə	1.0
p	p	1.0
n_a	ə	1.0
m_#>	m_#>	1.0
m	m	1.0
l_a	l_ə	1.0
l_#>	l_#>	1.0
l	l	1.0
k_#>	ʨ_#>	1.0
j_ˈɛ	ˈaː	1.0
i	-	1.0
f	f	1.0
d_#>	t_#>	1.0
b	b	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#	<#_ˈa	1.0
r	r	0.911
a	ə	0.891
d	d	0.88
<#_l	<#_l	0.867
n	n	0.833
t_#>	ʨ_#>	0.8
u	u	0.778
v	v	0.741
ŋ	n	0.737
ɡ	ɡ	0.714
θ	ʧ	0.688
ˈe	ˈiː	0.667
s	s	0.667
e_r	ə_r	0.667
ɲ	ɲ	0.625
ˈa	ˈa	0.607
ˈʌ	ˈu	0.6
w	w	0.6
#>	s_#>	0.583
k	ʨ	0.528
ˈo	ˈu	0.5
ˈaː	ˈa	0.5
z	ʃ	0.5
z	-	0.5
k	k	0.472
ˈʌu̯	ˈu	0.455
ˈɔ	ˈu	0.455
ˈæ	ˈɛ	0.429
ð	ʥ	0.429
e	j	0.429
w	-	0.4
j	j	0.4
ˈɛ	ˈaː	0.381
ˈɔː	ˈɔː	0.375
ɲ	n	0.375
ˈʌu̯	ˈuː	0.364
ˈɔ	ˈɔ	0.364
ˈiː	ˈi	0.364
ˈo	-	0.357
ˈuː	ˈu	0.333
ˈuː	ˈi	0.333
ˈuː	j_ˈɛ	0.333
ˈe	ˈi	0.333
s	ʃ	0.333
e_r	r	0.333
θ	-	0.312
ˈʌ	-	0.3
j	l	0.3
ˈæ	j	0.286
ˈæ	-	0.286
ɡ	-	0.286
ð	ʃ_ə	0.286
ð	-	0.286
e	ə	0.286
e	r	0.286
ˈiː	ˈa_j	0.273
ˈɔː	ˈɔ	0.25
#>	i_#>	0.25
u	o	0.222
ˈɛ	ˈɛ	0.214
ˈaː	ˈɔ	0.208
t_#>	#>	0.2
ˈɛ	ˈa	0.19
ˈʌu̯	-	0.182
ˈɔ	ˈo	0.182
ˈiː	ˈiː	0.182
ˈiː	ˈiə̯	0.182
ˈaː	ˈaː	0.167
n	-	0.167
#>	ʎ_#>	0.167
ˈo	ˈi	0.143
ˈa	ˈeː	0.143
<#_l	<#_ʎ	0.133
ŋ	w_n	0.132
ˈɔː	ˈa_w	0.125
ˈɔː	w	0.125
ˈɔː	-	0.125
ˈaː	-	0.125
d	-	0.12
ˈɛ	ˈa_w	0.119
a	-	0.109
ˈa	ˈa_j	0.107
ˈʌ	ˈuɔ̯	0.1
j	ˈe	0.1
j	ʎ	0.1
j	-	0.1
ˈɛ	ˈɛː	0.095
ŋ	ŋ	0.079
v	v_ˈɛ	0.074
v	v_ə	0.074
v	-	0.074
ˈa	ˈɔ	0.071
ˈa	ˈe	0.071
r	ə	0.054
ŋ	m	0.053
