West Frisian	West Frisian	probability
χ_#>	#>	1.0
ˈɪ_n	n	1.0
ˈɛː	-	1.0
ˈɛi̯	-	1.0
ˈɛ_j	ˈei̯	1.0
ˈɔ_χ	χː	1.0
ˈøə̯	ˈy	1.0
ˈø	-	1.0
ˈyː	-	1.0
ˈy	-	1.0
ˈu̯o	ˈyə̯	1.0
ˈu	ˈu	1.0
ˈiː_n	ˈi_n	1.0
ˈiː_k	χː	1.0
ˈiə̯_r	ˈɒː_r	1.0
ˈiə̯_n_#>	ˈæi̯_#>	1.0
ˈi_t	sː	1.0
ʋ	ʋ	1.0
ɪ_n	æ	1.0
ɪ	i	1.0
ɣ_j	ɡ̊	1.0
ɡ	ɡ̊	1.0
ə_χ	i_ɡ̊	1.0
ə_#>	#>	1.0
ɕ	z̥	1.0
ŋ	ŋ	1.0
r_#>	#>	1.0
n_#>	#>	1.0
m_#>	m_#>	1.0
m	m	1.0
l_#>	l_#>	1.0
l	l	1.0
j_ˈuə̯	ˈyː	1.0
j_ə	ə	1.0
h	h	1.0
f	v̥	1.0
b	b̥	1.0
<#_t	<#_d̥	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_k	<#_ɣ̊	1.0
<#_j	<#	1.0
<#	<#_ɡ̊	1.0
r	r	0.894
ə	ə	0.885
n	n	0.862
v	ʋ	0.778
χ	χː	0.727
ˈuə̯	ˈuə̯	0.727
d	tː	0.704
s_#>	z̥_#>	0.7
ˈeː	-	0.667
s_k	ʒ̊	0.667
p	fː	0.643
d̥	tː	0.643
ˈuː	ˈuː	0.615
ˈɔː	ˈɒ	0.6
ɣ	ɡ̊	0.6
z	-	0.6
f_#>	b̥_#>	0.6
ˈa	ˈɒ	0.562
ˈiː	ˈiː	0.556
k_#>	#>	0.556
k	kː	0.538
ˈoː	ˈuə̯	0.5
ˈoː	-	0.5
ˈi	ˈiː	0.5
ˈi	ˈi	0.5
ʦ	ɣ̊	0.5
ʦ	d̥	0.5
v_ə	fː	0.5
v_ə	b̥_ə	0.5
k	χː	0.462
k_#>	χː_#>	0.444
t	tː	0.436
j	-	0.421
ˈɛ	ˈæ	0.417
ˈaː	ˈɒ	0.417
s	z̥	0.415
ˈɔː	ˈɒ_l	0.4
ɣ	kː	0.4
z	z̥	0.4
f_#>	fː_#>	0.4
#>	ə_#>	0.391
ˈɪ	ˈi	0.387
ˈuː	-	0.385
ˈoə̯	ˈo_r	0.364
p	p͡f	0.357
d̥	d̥	0.357
ˈɔ	ˈo	0.353
s	ʒ̊	0.341
ˈeː	ˈeː	0.333
ˈaː	-	0.333
s_k	ʃː	0.333
ˈa	ˈɒː	0.312
s_#>	sː_#>	0.3
d	d̥	0.296
ˈɔ	ˈu	0.294
t	sː	0.291
χ	ɡ̊	0.273
ˈuə̯	-	0.273
ˈoə̯	ˈu	0.273
t	ʦ	0.273
ˈɪə̯	-	0.261
ˈɛ	-	0.25
ˈiə̯	ˈyː	0.25
ˈiə̯	ˈyə̯	0.25
ˈaː	ˈɒː	0.25
s	ʃː	0.244
ˈiː	ˈyː	0.222
ˈiː	-	0.222
v	-	0.222
ˈɪə̯	ˈau̯	0.217
j	ˈiə̯	0.211
ˈɪ	-	0.194
ˈoə̯	ˈoː	0.182
ˈoə̯	ˈo	0.182
ˈɔ	ˈi	0.176
ˈɔ	-	0.176
#>	tː_#>	0.174
#>	b̥_#>	0.174
ˈɛ	ˈɒ	0.167
ˈɛ	ˈe	0.167
ˈiə̯	ˈɒː	0.167
ˈiə̯	ˈeː	0.167
ˈiə̯	-	0.167
j	ˈyː	0.158
n	ŋ	0.138
ˈɪə̯	ˈɒ	0.13
ˈɪə̯	ˈoː	0.13
#>	ɡ̊_#>	0.13
#>	d̥_#>	0.13
ˈɪ	ˈæ	0.129
ˈɪ	ˈy	0.129
ˈa	-	0.125
ə	-	0.115
r	ə_r	0.106
j	ˈiː	0.105
j	j	0.105
ˈɪ	ˈu	0.097
ˈɪə̯	ˈøː	0.087
ˈɪə̯	ˈæ	0.087
ˈɪə̯	ˈoː_d̥	0.087
ˈɪ	ˈæi̯	0.065
