Bavarian	German	probability
a	ɐ	0.573
a	ə	0.322
a	-	0.085
b̥	b	0.823
b̥	p	0.147
d	d	1.0
d̥	t	0.581
d̥	d	0.282
d̥	tʰ	0.137
eɐ̯	eː	1.0
f	f	1.0
h	h	0.953
i	ɪ	0.589
i	l	0.411
j	l	0.874
j	j	0.092
k	k	1.0
kʰ	kʰ	0.98
l	l	0.967
m	m	0.76
m	b	0.143
m	-	0.098
n	n	0.979
p	p	0.86
p	p͡f	0.14
p͡f	p͡f	0.959
r	ʁ	0.881
r	ɐ	0.119
s	s	0.536
s	z	0.419
t	t	0.875
t	tʰ	0.125
x	x	0.829
x	ç	0.171
ç	ç	1.0
ŋ	ŋ	0.61
ŋ	ɡ	0.205
ŋ	-	0.134
ɐ	ɐ	0.916
ɐ	ə	0.053
ə	ə	0.856
ə	-	0.144
ɡ̊	ɡ	0.747
ɡ̊	k	0.174
ɡ̊	ç	0.057
ɪ	ɪ	1.0
ʃ	ʃ	1.0
ʋ	v	1.0
ʦ	ʦ	1.0
ˈa	ˈa	0.814
ˈa	ˈaː	0.166
ˈai̯	ˈaɪ̯	0.616
ˈai̯	ˈɔʏ̯	0.384
ˈau̯	ˈaʊ̯	0.961
ˈaː	ˈaʊ̯	0.592
ˈaː	ˈaː	0.365
ˈe	ˈɛ	0.701
ˈe	ˈeː	0.169
ˈe	ˈøː	0.083
ˈeɐ̯	ˈuː	0.294
ˈeɐ̯	ˈeː	0.265
ˈeɐ̯	ˈyː	0.265
ˈeɐ̯	ˈiː	0.107
ˈeɐ̯	ˈɪ	0.068
ˈeː	ˈeː	0.913
ˈi	ˈɪ	0.733
ˈi	ˈiː	0.12
ˈi	ˈøː	0.053
ˈi	ˈʏ	0.052
ˈiɐ̯	ˈiː	0.624
ˈiɐ̯	ˈyː	0.269
ˈiɐ̯	ˈɪ	0.107
ˈiː	ˈiː	0.914
ˈiː	ˈɪ	0.086
ˈo	ˈɔ	0.443
ˈo	ˈa	0.395
ˈo	ˈaː	0.101
ˈo	ˈɛ	0.061
ˈou̯	ˈoː	1.0
ˈoɐ̯	ˈaɪ̯	0.48
ˈoɐ̯	ˈɔ	0.234
ˈoɐ̯	ˈoː	0.143
ˈoɐ̯	ˈa	0.099
ˈoː	ˈaː	0.605
ˈoː	ˈoː	0.395
ˈu	ˈʊ	0.493
ˈu	ˈʏ	0.143
ˈu	ˈyː	0.115
ˈu	ˈiː	0.074
ˈu	ˈɪ	0.073
ˈu	ˈoː	0.071
ˈuɐ̯	ˈuː	0.9
ˈuɐ̯	ˈʊ	0.1
ˈy	ˈyː	1.0
ˈɑː	ˈɛː	1.0
ˈɒ	ˈa	0.671
ˈɒ	ˈɛ	0.329
ˈɒː	ˈaː	0.925
ˈɒː	ˈa	0.075
ˈɔ	ˈa	0.341
ˈɔ	ˈoː	0.246
ˈɔ	ˈɔ	0.204
ˈɔ	ˈaː	0.178
ˈɛ	ˈɛ	0.725
ˈɛ	ˈɛː	0.075
ˈɛ	ˈoː	0.072
ˈɛ	ˈeː	0.067
ˈɛ	ˈœ	0.061
ˈɛː	ˈeː	0.915
ˈɛː	ˈɛː	0.085
ˈʏ	ˈʏ	1.0
