Bavarian	German	probability
a	ɐ	0.607
a	ə_n	0.16
a	-	0.11
a	ə	0.11
b̥	b	0.822
b̥	p	0.125
b̥	-	0.044
d	d	0.244
d̥	t	0.627
d̥	tʰ	0.188
d̥	d	0.182
f	f	1.0
h	h	0.96
h	-	0.048
i	ɪ	0.803
i	l	0.084
j	l	0.846
j	j	0.104
j	-	0.05
k	k	1.0
kʰ	kʰ	0.922
kʰ	-	0.07
l	l	0.892
l	-	0.104
m	m	0.823
m	-	0.112
m	b	0.062
n	n	0.963
p	p	0.375
p	p͡f	0.185
p͡f	p͡f	0.699
p͡f	p	0.149
r	ʁ	0.833
r	ɐ	0.166
s	s	0.632
s	z	0.296
s	z_ə	0.068
t	t	0.874
t	-	0.065
t	tʰ	0.056
x	x	0.743
x	ç	0.253
ç	ç	1.0
ŋ	ŋ	0.651
ŋ	ɡ_ə	0.151
ŋ	ɡ	0.115
ŋ	ɪ	0.067
ɐ	ɐ	0.846
ɐ	-	0.083
ɐ	ə	0.068
ə	ə	0.867
ə	-	0.115
ɡ̊	ɡ	0.612
ɡ̊	k_ə	0.137
ɡ̊	k	0.102
ɡ̊	ç	0.083
ɡ̊	-	0.054
ɪ	ɪ	0.244
ʃ	ʃ	1.0
ʋ	v	1.0
ʦ	ʦ	1.0
ˈa	ˈa	0.808
ˈa	ˈaʊ̯	0.101
ˈa	ˈaː	0.072
ˈai̯	ˈaɪ̯	0.641
ˈai̯	ˈɔʏ̯	0.359
ˈau̯	ˈaʊ̯	0.864
ˈau̯	ˈʊ	0.134
ˈaː	ˈaʊ̯	0.729
ˈaː	ˈaː	0.127
ˈaː	ˈɔ	0.087
ˈe	ˈɛ	0.809
ˈe	ˈøː	0.157
ˈe	ˈiː	0.038
ˈeɐ̯	ˈyː	0.28
ˈeɐ̯	ˈuː	0.28
ˈeɐ̯	ˈiː	0.173
ˈeɐ̯	ˈɪ	0.173
ˈeː	ˈeː	0.859
ˈeː	ˈøː	0.117
ˈi	ˈɪ	0.731
ˈi	ˈiː	0.139
ˈi	ˈøː	0.05
ˈi	ˈaɪ̯	0.044
ˈi	ˈʏ	0.044
ˈiɐ̯	ˈiː	0.403
ˈiɐ̯	ˈyː	0.372
ˈiɐ̯	ˈɪ	0.214
ˈiː	ˈiː	0.699
ˈiː	ˈɪ	0.297
ˈo	ˈa	0.436
ˈo	ˈɔ	0.377
ˈo	ˈaː	0.168
ˈou̯	ˈoː	1.0
ˈoɐ̯	ˈaɪ̯	0.38
ˈoɐ̯	ˈɔ_ɐ	0.196
ˈoɐ̯	ˈaɪ̯_n	0.153
ˈoɐ̯	ˈoː	0.123
ˈoɐ̯	ˈa_ɐ	0.057
ˈoː	ˈaː	0.741
ˈoː	ˈoː	0.251
ˈu	ˈʊ	0.529
ˈu	ˈʏ	0.156
ˈu	ˈyː	0.09
ˈu	ˈɪ	0.09
ˈu	ˈoː	0.073
ˈuɐ̯	ˈuː	0.814
ˈuɐ̯	ˈʊ	0.182
ˈy	ˈyː	0.244
ˈɑː	ˈɛː	0.244
ˈɒ	ˈa	0.91
ˈɒ	ˈɛ	0.064
ˈɒː	ˈaː	0.667
ˈɒː	ˈa	0.333
ˈɔ	ˈa	0.386
ˈɔ	ˈɔ	0.212
ˈɔ	ˈaː	0.212
ˈɔ	ˈoː	0.076
ˈɔ	ˈaʊ̯	0.072
ˈɛ	ˈɛ	0.627
ˈɛ	ˈɛː	0.096
ˈɛ	ˈœ	0.096
ˈɛ	ˈeː	0.085
ˈɛ	ˈoː	0.064
ˈɛː	ˈeː	0.74
ˈɛː	ˈɛː	0.137
ˈʏ	ˈʏ	0.494
