Old Norse	Nynorsk Norwegian	probability
a	ɑ	0.636
a	e	0.259
a	ə	0.105
b	b	0.974
c	ʃ	0.728
c	ɕ	0.272
cʰ	ɕ	0.789
cʰ	kʰ	0.211
cː	ɕː	1.0
d	d	0.755
d	-	0.245
f	f	0.893
f	-	0.107
h	h	1.0
i	e	0.56
i	-	0.283
i	ə	0.08
i	ɛ	0.056
j	-	0.64
j	j	0.2
j	ˈʉː	0.069
j	ˈæ	0.05
k	k	0.803
k	ɡ	0.197
kʰ	kʰ	1.0
kː	ʰkː	0.885
kː	ɕ	0.115
l	l	0.928
lː	lː	0.651
lː	l	0.349
l̥	l	1.0
m	m	0.959
mː	m	1.0
n	n	0.917
n	nː	0.069
nː	nː	0.579
nː	n	0.421
p	p	1.0
pː	ʰpː	1.0
r	ɾ	0.881
r	-	0.112
rː	ɾ	0.841
rː	n	0.067
rː	ˈøː	0.065
r̥	ɾ	0.842
r̥	h	0.158
s	s	0.779
s	ʃ	0.119
s	-	0.102
sː	s	0.838
sː	sː	0.162
t	t	0.871
t	ɕː	0.088
tʰ	tʰ	0.935
tʰ	ɕ	0.065
tː	ʰtː	0.925
tː	tː	0.055
u	-	0.497
u	e	0.336
u	ʉ	0.168
v	ʋ	0.713
v	-	0.129
v	v	0.1
w	ʋ	1.0
x	kʰ	1.0
ç	j	1.0
ð	-	0.492
ð	d	0.41
ð	nː	0.086
ŋ	ŋː	0.768
ŋ	ŋ	0.128
ŋ	ɲ	0.082
ɑ	ɑ	0.744
ɑ	e	0.177
ɑ	-	0.079
ɑː	e	1.0
ɟ	j	1.0
ɟː	ɡː	1.0
ɡ	ɡ	0.531
ɡ	-	0.469
ɡː	ɡː	1.0
ɣ	ɡ	0.96
ɾ	ɾ	1.0
ʝː	j	1.0
ʦ	s	1.0
ˈa	ˈɑ	0.801
ˈa	ˈɑː	0.199
ˈe	ˈɛ	0.32
ˈe	ˈeː	0.243
ˈe	ˈɛː	0.146
ˈe	ˈɪ	0.144
ˈe	ˈɑː	0.09
ˈe	ˈæɪ̯	0.057
ˈeː	ˈeː	0.571
ˈeː	ˈɛ	0.253
ˈeː	ˈiː	0.176
ˈi	ˈɪ	0.593
ˈi	ˈeː	0.13
ˈi	ˈɛ	0.104
ˈi	ˈʏ	0.104
ˈi	ˈiː	0.069
ˈiː	ˈiː	0.847
ˈiː	ˈeː	0.153
ˈo	ˈɔ	0.458
ˈo	ˈʊ	0.32
ˈo	ˈuː	0.149
ˈoː	ˈuː	0.407
ˈoː	ˈøː	0.259
ˈoː	ˈyː	0.154
ˈoː	ˈiː	0.078
ˈu	ˈʉ	0.839
ˈu	ˈʉː	0.088
ˈu	ˈʏ	0.073
ˈuː	ˈʉː	0.83
ˈuː	ˈyː	0.146
ˈy	ˈʏ	0.556
ˈy	ˈʊ	0.278
ˈy	ˈʉ	0.1
ˈy	ˈɔ	0.054
ˈyː	ˈyː	0.413
ˈyː	ˈʉː	0.382
ˈyː	ə	0.122
ˈøy̯	ˈœʏ̯	1.0
ˈøː	ˈøː	0.959
ˈɑ	ˈɑ	0.608
ˈɑ	ˈɑː	0.172
ˈɑ	-	0.136
ˈɑ	ˈɛ	0.05
ˈɑu̯	ˈæʉ̯	0.91
ˈɑu̯	-	0.09
ˈɑː	ˈoː	0.844
ˈɑː	ˈæʉ̯	0.091
ˈɒu̯	ˈʏ	0.658
ˈɒu̯	ˈøː	0.342
ˈɔ	ˈɑ	0.31
ˈɔ	ˈœ	0.287
ˈɔ	ˈuː	0.158
ˈɔ	ˈøː	0.139
ˈɔː	ˈuː	1.0
ˈɛ	ˈɛ	0.825
ˈɛ	ˈeː	0.077
ˈɛi̯	ˈæɪ̯	0.758
ˈɛi̯	ˈuː	0.17
ˈɛi̯	ˈæːɪ̯	0.071
ˈɛː	ˈæː	0.873
ˈɛː	ˈeː	0.082
θ	tʰ	0.853
θ	ɕ	0.11
