Latvian	Czech	probability
ˈɛː	-	1.0
ˈæː	-	1.0
ˈu	-	1.0
ˈi_r	ˈr̩	1.0
ˈi_l	ˈl̩	1.0
ˈaː	-	1.0
ˈai̯	ˈɛ	1.0
ˈa_r	r_ˈaː	1.0
ʧ	ʧ	1.0
ʣ	ʒ	1.0
ʎ	l	1.0
ɲ	-	1.0
ɡ̊	x	1.0
æ	-	1.0
w	v_iː	1.0
uɔ̯	l̩	1.0
t_s	iː	1.0
r̩	r	1.0
l̩	l_o	1.0
l_k	ˈɛː	1.0
j	t_r̩	1.0
e	ˈɛ	1.0
d̥	d̥	1.0
d_u	d̥	1.0
d	d	1.0
b̥	b̥	1.0
aː	ˈaː	1.0
b	b	0.899
z	z	0.877
l	l	0.876
m	m	0.832
ˈɛ	ˈɛ	0.817
ɡ	ɦ	0.8
v	v	0.779
ʃ	-	0.772
a	a	0.729
ˈuː	ˈiː	0.703
i	-	0.672
ˈi	-	0.662
t	t	0.661
ˈiɛ̯	ˈɛ	0.624
k	-	0.582
ˈæ	ˈo	0.565
p	p	0.563
ˈa	ˈo	0.541
n	n	0.535
z̥	z	0.515
ʦ	k	0.514
ˈiː	ˈɪ	0.5
ˈiː	-	0.5
ˈau̯	ˈu	0.5
ˈau̯	-	0.5
ˈuɔ̯	ˈu	0.491
ʦ	-	0.486
z̥	z̥	0.485
ɛ	a	0.473
s	s	0.463
p	-	0.437
ˈæ	ˈɛ	0.435
k	k	0.418
ˈiɛ̯	-	0.376
r	r	0.341
t	-	0.339
ˈi	l	0.338
r	r̝	0.32
ɛ	ɛ	0.305
ˈuː	v	0.297
n	-	0.293
s	iː	0.273
ˈuɔ̯	-	0.272
a	-	0.271
ˈuɔ̯	ˈou̯	0.237
ˈa	ˈɛ	0.23
ˈa	-	0.23
ʃ	ɛ	0.228
i	ɛ	0.228
ɛ	-	0.221
v	v_j	0.221
ɡ	-	0.2
ˈɛ	-	0.183
r	ɛ_r	0.179
n	ɲ	0.173
m	-	0.168
r	r̝̊	0.16
s	x	0.148
l	-	0.124
z	ɦ	0.123
b	f	0.101
s	ˈo	0.082
i	ɛː	0.051
