Taiwanese Hokkien	Taiwanese Hokkien	probability
⁵⁵	¹¹	1.0
⁵	¹	1.0
ʨʰ	-	1.0
ʦʰ	ʦʰ	1.0
ɤ	o	1.0
ɛ	a	1.0
ɕ_j	s	1.0
ɔ̃	o	1.0
ŋ	ŋ	1.0
¹¹	⁵³	1.0
²³	¹¹	1.0
²²	⁵³	1.0
w̃	j_ɔ	1.0
w_ã	ɔ_n	1.0
u_j	i	1.0
tʰ	tʰ	1.0
s	ɕ	1.0
pʰ	pʰ	1.0
n	n	1.0
m	m	1.0
l_u	n̩	1.0
j̃	a_j	1.0
ĩ	j_a	1.0
i_w	u	1.0
b	m	1.0
<#_l	<#	1.0
<#	<#_ʋ	1.0
³²	¹	0.944
⁴⁴	⁴⁴	0.931
²⁴	¹¹	0.892
³³	⁵³	0.867
t̚	t̚	0.833
i	i	0.833
⁵³	³¹	0.778
ʨ	s	0.75
⁴	⁵	0.667
e	a	0.667
ã	n	0.667
a_j	o_j	0.667
u	u	0.647
h	f	0.643
ɡ	ŋ	0.6
ɕ	ɕ	0.6
k̚	k̚	0.6
ʔ	k̚	0.583
p	p	0.571
j	j	0.55
ʦ	ʦ	0.5
ʦ	s	0.5
ɪ	ʊ	0.5
ɪ	ɛ	0.5
ŋ̍	ɔ_ŋ	0.5
w_a	j_a	0.5
w_a	a	0.5
w	w	0.5
<#_h	<#_j	0.5
<#_h	<#	0.5
l	l	0.462
o	a_w	0.444
ʔ	t̚	0.417
ɔ	ʊ	0.417
ɡ	ɲ	0.4
ɕ	s	0.4
k̚	t̚	0.4
k	k	0.4
kʰ	ç	0.375
kʰ	kʰ	0.375
h	h	0.357
⁴	¹	0.333
ɔ	ɔ	0.333
o	ɔ	0.333
k	c	0.333
ã	-	0.333
a_j	i	0.333
w	-	0.312
l	ɲ	0.308
ŋ̍	a_n	0.3
t	tʰ	0.3
t	t	0.3
p	pʰ	0.286
a	ʊ	0.28
a	a	0.28
k	cʰ	0.267
ʨ	ʨ	0.25
kʰ	h	0.25
a	-	0.24
l	n	0.231
⁵³	⁴⁴	0.222
o	o	0.222
ŋ̍	u_n	0.2
t	ʦʰ	0.2
t	ʦ	0.2
j	-	0.2
e	i	0.2
w	a	0.188
u	i	0.176
u	-	0.176
ɔ	-	0.167
t̚	p̚	0.167
i	z̩	0.167
j	a	0.15
p	f	0.143
³³	⁴⁴	0.133
e	-	0.133
a	e	0.12
²⁴	ŋ_¹¹	0.108
j	i	0.1
ɔ	z	0.083
a	j	0.08
⁴⁴	⁵³	0.069
³²	²	0.056
