Eastphalian	Limburgish	probability
b	b	1.0
b_m	p	1.0
d	d	0.54
d	t	0.351
d	-	0.102
f	v	0.77
f	f	0.203
f	ˈv	0.036
h	ɦ	1.0
j	ɣ	0.502
j	j	0.213
j	x	0.114
j	ɡ	0.114
k	k	0.87
k	x	0.097
k	ɦ	0.038
l	l	0.878
l	-	0.048
l	j	0.048
l	w	0.031
m	m	0.949
m	-	0.052
n	n	0.659
n	ə	0.329
p	p	0.919
p	t	0.071
r	ʀ	0.956
r	-	0.044
s	s	0.784
s	z	0.216
t	t	0.834
t	-	0.147
v	β	0.8
v	v	0.123
v	f	0.06
w	β	0.733
w	ˈʏː	0.265
x	x	1.0
z	z	0.902
z	-	0.097
z_ə	s	1.0
ç	x	0.778
ç	ŋ	0.166
ç_t	x	1.0
ŋ	ŋ	0.886
ŋ	ɣ	0.113
ɐ	ə	0.502
ɐ	ʀ	0.496
ə	-	0.886
ə	j	0.052
ə	ʀ	0.032
ə	ə	0.031
ɡ	ɣ	0.242
ɣ	ɣ	0.678
ɣ	x	0.135
ɣ	-	0.089
ɣ	k	0.089
ɪ	ə	0.723
ɪ	ɪ	0.204
ʃ	s	0.516
ʃ	ʃ	0.423
ʃ	ʦ	0.056
ˈa	ˈɑ	0.356
ˈa	ˈaː	0.276
ˈa	ˈɑː	0.215
ˈa	ˈæː	0.112
ˈa	ˈæ	0.039
ˈaʊ̯	ˈʊː	0.336
ˈaʊ̯	ˈoː	0.264
ˈaʊ̯	ˈɔ	0.132
ˈaʊ̯	ˈøː	0.132
ˈaʊ̯	j	0.132
ˈaː	ˈaː	0.349
ˈaː	ˈæ	0.197
ˈaː	ˈɑ	0.121
ˈaː	ˈɒː	0.111
ˈeo̯	ˈu	0.45
ˈeo̯	ˈɔː	0.28
ˈeo̯	ˈʊː	0.11
ˈeo̯	ˈɔu̯	0.082
ˈeo̯	ˈuː	0.063
ˈeː	ˈeː	0.771
ˈeː	ˈi	0.127
ˈeː	ˈaː	0.056
ˈiː	ˈiː	0.622
ˈiː	ˈi	0.098
ˈiː	ˈɛːi̯	0.073
ˈiː	ˈɛ	0.073
ˈiː	ˈœi̯	0.059
ˈoː	ˈʊː	0.502
ˈoː	ˈœː	0.245
ˈoː	ˈøː	0.102
ˈoː	ˈɔː	0.062
ˈuː	ˈuː	0.665
ˈuː	ˈɔu̯	0.105
ˈuː	ˈœi̯	0.082
ˈuː	ˈoː	0.08
ˈuː	ˈʊː	0.06
ˈyː	ˈyː	0.344
ˈyː	ˈøː	0.299
ˈøː	ˈɔ	0.297
ˈøː	ˈu	0.297
ˈøː	ˈyː	0.182
ˈøː	ˈœi̯	0.111
ˈœ	ˈæ	0.361
ˈœ	ˈɛ	0.361
ˈœ	ˈɪ	0.204
ˈɒː	ˈɒː	0.589
ˈɒː	ˈaː	0.327
ˈɒː	ˈi	0.076
ˈɔ	ˈɔ	0.467
ˈɔ	ˈaː	0.177
ˈɔ	ˈoː	0.087
ˈɔ	ˈœ	0.068
ˈɔ	ˈʊː	0.066
ˈɔʏ̯	ˈøː	0.776
ˈɔʏ̯	ˈyː	0.172
ˈɛ	ˈɛː	0.209
ˈɛ	ˈeː	0.197
ˈɛ	-	0.104
ˈɛ	ˈɪ	0.104
ˈɛ	ˈœ	0.081
ˈɛə̯	ˈaː	1.0
ˈɛɪ̯	ˈeː	0.391
ˈɛɪ̯	ˈɛː	0.262
ˈɛɪ̯	ˈi	0.175
ˈɛɪ̯	ˈiː	0.098
ˈɛɪ̯	ˈɛi̯	0.056
ˈɛː	ˈeː	0.464
ˈɛː	ˈaː	0.149
ˈɛː	ˈɑː	0.149
ˈɛː	ˈɛː	0.105
ˈɛː	ˈɒː	0.101
ˈɪ	ˈɪː	0.316
ˈɪ	ˈɪ	0.181
ˈɪ	ˈeː	0.134
ˈɪ	ˈɛ	0.082
ˈɪ	-	0.057
ˈʊ	ˈʊː	0.434
ˈʊ	ˈɔ	0.225
ˈʊ	ˈoː	0.11
ˈʊ	ˈɔː	0.084
ˈʊ	ˈʊ	0.065
ˈʏ	ˈʏː	0.282
ˈʏ	ˈʏ	0.214
ˈʏ	ˈœ	0.214
ˈʏ	ˈɪː	0.131
ˈʏ	ˈœi̯	0.089
