Eastphalian	Limburgish	probability
b	b	1.0
d	d	0.557
d	t	0.36
d	-	0.067
f	v	0.77
f	f	0.194
h	ɦ	1.0
j	ɣ	0.619
j	j	0.156
j	ɡ	0.138
j	x	0.087
k	k	0.9
k	x	0.094
l	l	0.942
m	m	0.901
m	-	0.099
n	n	0.686
n	ə	0.309
p	p	0.966
r	ʀ	1.0
s	s	0.831
s	z	0.169
t	t	0.939
v	β	0.8
v	v	0.17
w	β	0.734
w	ˈʏː	0.266
x	x	1.0
z	z	0.737
z	-	0.149
z	s	0.114
ç	x	0.824
ç	ŋ	0.176
ŋ	ŋ	0.861
ŋ	ɣ	0.139
ɐ	ʀ	0.607
ɐ	ʀ_ə	0.208
ɐ	ə_ʀ	0.186
ə	j	0.44
ə	-	0.425
ə	ə	0.134
ɡ	ɣ	1.0
ɣ	ɣ	0.774
ɣ	x	0.116
ɣ	k	0.088
ɪ	ə	0.78
ɪ	ɪ	0.22
ʃ	s	0.525
ʃ	ʃ	0.454
ˈa	ˈaː	0.327
ˈa	ˈɑː	0.308
ˈa	ˈɑ	0.258
ˈa	ˈæː	0.091
ˈaʊ̯	ˈʊː	0.295
ˈaʊ̯	ˈoː	0.243
ˈaʊ̯	ˈɔ	0.235
ˈaʊ̯	ˈøː	0.115
ˈaʊ̯	j	0.112
ˈaː	ˈaː	0.521
ˈaː	ˈɒː	0.184
ˈaː	ˈæ	0.156
ˈaː	ˈɑ	0.138
ˈeo̯	ˈɔː	0.448
ˈeo̯	ˈu	0.387
ˈeo̯	ˈʊː	0.102
ˈeː	ˈeː	0.849
ˈeː	ˈi	0.117
ˈiː	ˈiː	0.672
ˈiː	ˈi	0.098
ˈiː	ˈɛ	0.069
ˈiː	ˈeː	0.067
ˈiː	ˈɛːi̯	0.057
ˈoː	ˈʊː	0.535
ˈoː	ˈœː	0.28
ˈoː	ˈoː	0.098
ˈoː	ˈøː	0.064
ˈuː	ˈuː	0.703
ˈuː	ˈɔu̯	0.101
ˈuː	ˈoː	0.076
ˈuː	ˈœi̯	0.067
ˈuː	ˈʊː	0.054
ˈyː	ˈyː	0.534
ˈyː	ˈøː	0.466
ˈøː	ˈu	0.717
ˈøː	ˈœi̯	0.188
ˈøː	ˈyː	0.063
ˈœ	ˈɛ	0.411
ˈœ	ˈɪ	0.336
ˈœ	ˈæ	0.252
ˈɒː	ˈɒː	0.692
ˈɒː	ˈaː	0.267
ˈɔ	ˈɔ	0.427
ˈɔ	ˈaː	0.192
ˈɔ	ˈoː	0.141
ˈɔ	ˈœ	0.071
ˈɔ	ˈʊː	0.068
ˈɔ	ˈɔː	0.066
ˈɔʏ̯	ˈøː	0.854
ˈɔʏ̯	ˈyː	0.146
ˈɛ	ˈeː	0.2
ˈɛ	ˈɪ	0.193
ˈɛ	ˈɛː	0.175
ˈɛ	ˈɛ	0.118
ˈɛ	ə	0.114
ˈɛ	-	0.088
ˈɛ	ˈœ	0.064
ˈɛə̯	ˈaː	1.0
ˈɛɪ̯	ˈeː	0.411
ˈɛɪ̯	ˈɛː	0.226
ˈɛɪ̯	ˈi	0.163
ˈɛɪ̯	ˈiː	0.123
ˈɛɪ̯	ˈɛi̯	0.053
ˈɛː	ˈeː	0.473
ˈɛː	ˈɑː	0.225
ˈɛː	ˈaː	0.18
ˈɛː	ˈɛː	0.098
ˈɪ	ˈɪː	0.451
ˈɪ	ˈɪ	0.149
ˈɪ	ˈeː	0.11
ˈɪ	ˈʏ	0.086
ˈɪ	ˈɛ	0.067
ˈɪ	ɪː	0.055
ˈʊ	ˈʊː	0.598
ˈʊ	ˈɔ	0.173
ˈʊ	ˈʊ	0.084
ˈʊ	ˈoː	0.061
ˈʏ	ˈʏ	0.365
ˈʏ	ˈʏː	0.273
ˈʏ	ˈɪː	0.212
ˈʏ	ˈœ	0.107
