Upper Franconian	Upper Franconian	probability
β	-	1.0
ˈɛː	-	1.0
ˈɘ	-	1.0
ˈeː	-	1.0
ˈaː_x	ˈæɪ̯	1.0
ˈaʊ̯	ˈʉː	1.0
ˈaɪ̯_ɐ	ˈyː_ɾ	1.0
ˈa	k_ˈɑ	1.0
ʃ_d̥	s_t	1.0
ʃ_#>	s_k_#>	1.0
ɾ_ɐ	ɾ	1.0
ɐ_ʦ	ʈː	1.0
ɐ_ç	ɾ_ɡ	1.0
ɐ_n	ɳ	1.0
ŋ_#>	#>	1.0
ç_d̥_#>	tː_#>	1.0
x_d̥	tː_ə	1.0
v̥	-	1.0
v_ˈɪ	ʋ	1.0
t	t_j	1.0
s_#>	#>	1.0
n_d̥	nː	1.0
n_#>	#>	1.0
l_f	l_ʋ	1.0
l_d̥	lː	1.0
eː	ə_n	1.0
b̥	b	1.0
a	ə	1.0
<#_v	<#	1.0
<#_r	<#_ɾ	1.0
<#_n	<#_n	1.0
<#_j	<#	1.0
#>	n_#>	1.0
r	ɾ	0.875
h	h	0.857
v	ʋ	0.842
l	l	0.816
f	f	0.81
x	k	0.75
ˈɒ	ˈɑ	0.72
s	s	0.714
ʃ	s	0.7
m	m	0.679
ˈuː_d̥_#>	ˈøː_#>	0.667
ˈaɪ̯	ˈiː	0.667
ç	k	0.667
f_#>	p_#>	0.6
b̥_#>	ʋ_#>	0.6
ˈuː	ˈuː	0.583
z̥	t	0.571
ʦ	tʰ	0.538
ŋ	ŋː	0.533
ˈɛ	ˈɛ	0.524
ˈɪ	ˈɪ	0.5
ˈoː	ˈoː	0.5
ɡ̊_n	ɡː	0.5
ɡ̊_n	kː_ə	0.5
ˈʊ	ˈʉ	0.471
ɐ	ɾ	0.469
z̥	-	0.429
ˈiː	ˈyː	0.409
d̥	d	0.404
f_#>	#>	0.4
b̥_#>	#>	0.4
ɡ̊	ɡ	0.375
n	ə	0.351
ˈuː_d̥_#>	ˈuː_#>	0.333
ɡ̊	kʰ	0.333
ç	-	0.333
ˈiː	-	0.318
n	n	0.297
ˈaː	ˈæɪ̯	0.294
ˈɔ	ˈʉ	0.286
ˈɔ	ˈuː	0.286
d̥	-	0.255
ˈɪ	ˈʏ	0.25
ˈuː	ˈøː	0.25
ˈoː	-	0.25
ɐ	ə_ɾ	0.25
x	j	0.25
n	nː	0.243
ˈɛ	-	0.238
ˈʊ	ˈɔ	0.235
ʦ	tː	0.231
ʦ	-	0.231
ˈɔ	ˈɑ	0.214
ˈɔ	-	0.214
m	mː	0.214
d̥	tʰ	0.213
ˈaɪ̯	ˈɛ	0.2
ʃ	ʂ	0.2
ŋ	ɡ_ə	0.2
l	lː	0.184
ˈʊ	-	0.176
ˈaː	ˈɛ	0.176
ˈaː	ˈøː	0.176
ˈaː	-	0.176
s	t	0.171
ˈuː	ˈʉː	0.167
v	-	0.158
ˈɪ	-	0.15
ˈoː	ˈɑː	0.15
ˈɛ	ˈæː	0.143
h	j	0.143
f	p	0.143
ˈaɪ̯	-	0.133
ŋ	ə	0.133
ŋ	-	0.133
ɡ̊	-	0.125
ɐ	ɾ_ə	0.125
r	ɾ_ˈœ	0.125
ˈɒ	ˈɔ	0.12
ˈʊ	ˈʏ	0.118
ˈaː	ˈeː	0.118
m	-	0.107
ˈɪ	ˈɛ	0.1
ˈoː	ˈɑ_nː	0.1
ʃ	s_k	0.1
ˈɛ	ˈeː	0.095
ɐ	-	0.094
ˈiː	ˈɪ	0.091
ˈiː	ˈœ	0.091
ˈiː	ˈiː	0.091
d̥	t	0.085
ɡ̊	ɡː	0.083
ɡ̊	ç	0.083
ˈɒ	ˈɑː	0.08
ˈɒ	ˈoː	0.08
ɐ	ə	0.062
ˈaː	ˈœʏ̯	0.059
s	ˈɛ	0.057
s	tː_ə	0.057
n	k_ə	0.054
n	-	0.054
