Belarusian	Kashubian	probability
<#	<#_j	1.0
<#_a	<#_u̯ˈɛ	1.0
<#_d	<#_d	1.0
<#_j	<#_j	1.0
<#_k	<#_k	1.0
<#_lʲ	<#_l	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_p	<#_p	1.0
<#_pʲ	p_j	1.0
<#_r	<#_r	1.0
<#_s	<#_s	1.0
<#_sʲ	<#_s	1.0
<#_t	<#_t	1.0
<#_v	<#_v	1.0
<#_v_ˈo	<#_u̯ˈɛ	1.0
<#_vʲ	<#_v	1.0
<#_x	<#_x	1.0
<#_zʲ	<#_z	1.0
<#_ɣ	<#_ɡ	1.0
<#_ʐ	<#_ʒ	1.0
<#_ʣʲ	<#_ʣ	1.0
<#_ʦʲ	<#_ʦ	1.0
<#_ʧ	<#_ʧ	1.0
b	b	1.0
d	d	1.0
e	e	1.0
k	k	1.0
k_#>	k_#>	1.0
kʲ_i_#>	ʧ_i	1.0
lʲ	l	1.0
lʲ_#>	l_#>	1.0
m	m	1.0
m_#>	m_ə	1.0
mʲ	m_j	1.0
n	n	1.0
nʲ	ɲ_#>	1.0
p_#>	p_#>	1.0
pʲ	p	1.0
s	s	1.0
s_#>	s_#>	1.0
sʲ	s	1.0
t	t	1.0
t_#>	t_#>	1.0
v	v	1.0
w_#>	f_#>	1.0
z	z	1.0
zʲ	z	1.0
ɣ	ɡ	1.0
ɨ_#>	i_#>	1.0
ɫ	w	1.0
ɫ_a	w_ˈɔ	1.0
ʂ	ʃ	1.0
ʌ	-	1.0
ʦ	ʦ	1.0
ʦʲ_#>	ʦ_#>	1.0
ʧ	ʃ	1.0
ˈa_#>	a_#>	1.0
ˈi	ˈi	1.0
ˈo_r	u̯ˈɛ_ʐ	1.0
ˈo_w	ˈɞ_w	1.0
ˈu	ˈõ	1.0
ˈæ	ˈa_ŋ	1.0
ˈɛ	ˈɛ	1.0
ˈɨ	ˈə	1.0
ˈɵ	ˈɛ	1.0
ˈe	j	0.111
a_#>	ɔ_#>	0.412
a	ˈɔ	0.133
a	ˈe	0.133
a	ˈɞ	0.133
a	-	0.333
ˈe	ˈɛ	0.333
ˈo	-	0.143
ˈo	ˈu	0.333
r	r	0.824
x_#>	x_#>	0.4
a_#>	a_#>	0.235
i	<#	0.5
i	i	0.5
ʣʲ	ʣ	0.5
ʣʲ	d	0.5
ˈa	ˈɞ	0.5
ˈa	ˈa_#>	0.5
ˈo	u̯ˈɛ	0.095
a_#>	u̯ɛ_#>	0.176
a_#>	ɛ_#>	0.176
r	ʐ	0.176
vʲ	j	0.286
vʲ	v	0.286
x_#>	k_#>	0.6
æ	a_ŋ	0.286
æ	ŋ	0.286
a	u̯ˈɛ	0.267
ˈe	ˈe	0.278
ˈe	ˈa	0.278
ˈo	ˈɔ	0.238
vʲ	f_j	0.429
æ	j_ˈɞ	0.429
ˈo	ˈɛ	0.19
