Phone1	Phone2	Surprisal
a	a	0.055
a	n_a	4.739
b	b	0.0
bː	b	0.0
c	p_j	0.0
cː	ʧ	0.0
d	d	0.0
dː	d	0.0
f	f	0.0
fː	f	0.0
i	-	1.472
i	e	1.949
i	i	2.346
i	a	2.444
j	ð	1.129
j	-	1.343
j	ʤ	2.75
k	k	0.469
k	ɡ	1.85
kː	k	0.0
l	l	0.128
l	-	3.558
lː	l	0.0
m	m	0.0
mː	m	0.0
n	ŋ	0.835
n	n	1.431
n	-	3.866
nː	m	1.707
nː	n_d	1.707
nː	ŋ_d	2.249
nː	n	2.499
o	u	0.0
p	p	0.565
p	v	1.625
r	r	0.0
r_k	r_k	0.0
s	s	0.0
sː	s	0.0
t	t	0.478
t	d	1.826
t_a	d_a	0.0
tː	t	0.0
u	u	0.409
u	-	2.018
v	v	0.071
v	-	4.372
w	-	0.772
w	w	1.271
z	z	0.0
ç	f_j	0.0
ŋ	ŋ	0.0
ɕ	z	0.517
ɕ	θ	2.517
ɕ	-	2.982
ɖː	l	0.0
ɟ	ʤ	0.0
ɟː	j	0.49
ɟː	-	1.796
ɡ	ɡ	0.0
ɪ	e	0.315
ɪ	-	2.351
ɪ_ɾ	e	0.678
ɪ_ɾ	r	1.415
ɲː	ɲ	0.0
ɽ	e	0.0
ɾ	r	0.301
ɾ	ˈa	3.971
ɾ	d	4.169
ɾ	e	4.82
ɾ	-	4.898
ʃ	s	0.0
ʃː	s	0.0
ʈ	-	0.0
ʈː	t	0.0
ʊ	o	0.0
ʊ_l	l	0.0
ʐː	r	0.0
ʤ	ð	0.0
ʤː	ð	0.0
ʦ	θ	0.0
ʦː	-	0.0
ʧː	θ	0.0
ˈa	ˈɛ	0.961
ˈa	ˈaː	1.823
ˈa	ˈa	2.673
ˈa	-	4.412
ˈa_n	ˈa_ŋ	0.0
ˈa_w	ˈɛ_l	0.0
ˈa_ʈ	ˈɛ_d	0.0
ˈe	-	0.0
ˈi	ˈe	1.651
ˈi	ˈiː	2.336
ˈi	ˈa	2.486
ˈi	ˈa_j	2.788
ˈi	j_ˈo	4.217
ˈi	ˈæ	4.217
ˈi	-	5.243
ˈi	j	5.243
ˈi_ɾ	ˈa_d	0.0
ˈo	ˈo	0.0
ˈu	ˈo	1.236
ˈu	ˈʌu̯	2.151
ˈu	ˈʌ	2.5
ˈu	ˈuː	3.11
ˈu	-	4.116
ˈɔ	ˈɔː	1.468
ˈɔ	ˈɔ	2.408
ˈɔ	-	2.778
ˈɔ	ˈʌ	2.82
ˈɔ	ˈuː	3.238
ˈɔ	ˈo	4.14
ˈɛ	ˈɛ	1.522
ˈɛ	ˈɛː	2.204
ˈɛ	ˈæ	2.625
ˈɛ	-	2.768
ˈɛ	ˈiː	2.989
ˈɛ_tː	ˈɛ_t	0.0
