Sicilian	Emilian	probability
ˈɛ_tː	ˈɛ_t	1.0
ˈo	-	1.0
ˈi_ɾ	ˈa_d	1.0
ˈe	-	1.0
ˈa_w	ˈɛ_l	1.0
ˈa_n	ˈa_ŋ	1.0
ˈa_#>	ˈɛ_#>	1.0
ʧː	θ	1.0
ʦː	-	1.0
ʦ	θ	1.0
ʤ	ð	1.0
ʐː	r	1.0
ʊ_#>	#>	1.0
ʈ	d	1.0
ʃː	s	1.0
ʃ	s	1.0
ɾ_a	r_a	1.0
ɲː	ɲ	1.0
ɡ	ɡ	1.0
ɖː	l	1.0
ŋ	ŋ	1.0
ç	f_j	1.0
z	z	1.0
v	v	1.0
tː	t	1.0
t_ɪ_#>	t_#>	1.0
t_a	d_a	1.0
sː	s	1.0
s	s	1.0
r_k	r_k	1.0
r	r	1.0
p_ʊ_#>	p_#>	1.0
n_ʊ_#>	ŋ_#>	1.0
mː	-	1.0
m_ɪ_#>	m_#>	1.0
m	m	1.0
kː	k	1.0
f	f	1.0
d	d	1.0
cː	ʧ	1.0
c	p_j	1.0
b	b	1.0
<#_ˈa	<#_ˈaː	1.0
<#_ʐ	<#_r	1.0
<#_ɡ	<#_ɡ	1.0
<#_ɕ	<#_θ	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_j	<#	1.0
<#_d	<#_d	1.0
ɪ_#>	#>	0.954
a	a	0.954
l	l	0.943
p	p	0.806
k	k	0.806
ɾ	r	0.78
u	u	0.778
t	t	0.72
ɟː	j	0.7
ɪ	e	0.667
ɕ	z	0.667
ʊ	r	0.625
w	w	0.625
ɽ	t_e	0.6
ˈa	ˈɛ	0.549
<#_ˈɔ	<#_ˈɔː	0.5
<#_ˈɔ	<#_ˈɔ	0.5
<#_a	<#_u	0.5
<#_a	<#	0.5
ˈɛ	ˈɛ	0.469
n	ŋ	0.464
n	n	0.464
ɽ	e	0.4
j	ð	0.4
j	-	0.4
ˈɔ	ˈɔː	0.393
ʊ	-	0.375
w	-	0.375
i	-	0.368
ˈi	ˈe	0.341
ˈu	ˈo	0.333
ɪ	-	0.333
nː	ˈo_m	0.333
nː	n_d	0.333
nː	n	0.333
ɟː	-	0.3
ˈa	ˈaː	0.275
i	e	0.263
ˈu	ˈʌu̯	0.256
ˈɔ	ˈɔ	0.25
u	-	0.222
i	i	0.211
t	d	0.2
j	ʤ	0.2
ˈi	ˈa	0.195
p	v	0.194
k	ɡ	0.194
ˈɛ	ˈɛː	0.188
ˈu	ˈʌ	0.179
ˈi	ˈa_j	0.171
ɕ	θ	0.167
ɕ	ð	0.167
i	a	0.158
ˈu	ˈuː	0.154
ˈi	ˈiː	0.146
ˈɔ	ˈuː	0.143
ˈɛ	ˈæ	0.125
ˈɛ	ˈiː	0.125
ˈi	j	0.098
ˈa	-	0.098
ˈɛ	-	0.094
t	-	0.08
ˈa	ˈa	0.078
ˈu	-	0.077
ˈɔ	ˈʌ	0.071
ˈɔ	ˈo	0.071
ˈɔ	-	0.071
n	-	0.071
ɾ	d	0.06
l	-	0.057
