Bulgarian	Bulgarian	probability
ʧ	kʲ	1.0
ʦ	-	1.0
ʒ	ɡʲ	1.0
ʃ	k	1.0
ɫ	ɫ	1.0
ɤ_ˈ	aː	1.0
ɡ̊	-	1.0
ɡ	ɡ	1.0
z̥	-	1.0
vʲ	vʲ	1.0
u_ˈ	ɛʊ̯	1.0
rʲ	-	1.0
r_a	aː_̂	1.0
p	pʲ	1.0
nʲ	nʲ_iə̯	1.0
lʲ	lʲ	1.0
j	tʲ	1.0
d̥	̌_d	1.0
bʲ	b	1.0
a_ˈ	ɐ	1.0
<#_ɡ	<#	1.0
<#_v	<#	1.0
<#_t	<#_tʲ	1.0
<#_s	<#_s	1.0
<#_k	<#	1.0
<#_d	<#_d	1.0
#>	s_#>	0.776
o	ɐ	0.75
n	n	0.706
ˈ	-	0.68
ɔ_ˈ	aː_̌	0.667
l	lʲ	0.667
z	ʑ	0.636
v	vʲ	0.636
r	r	0.636
ɤ	ɪ	0.6
b	bʲ	0.6
ˈ_#>	ˈ_#>	0.571
ɛ_ˈ	ɛ	0.545
u	ʊ	0.5
u	ɐʊ̯	0.5
m	m	0.462
ɔ	-	0.444
ˈ_#>	#>	0.429
x	ʃ	0.429
ɛ	-	0.407
ɤ	-	0.4
k	k	0.4
b	-	0.4
t	t	0.389
m	mʲ	0.385
d	dʲ	0.385
d	d	0.385
z	ʒ	0.364
v	v	0.364
r	rʲ	0.364
ɔ_ˈ	ɐ	0.333
ɔ	ɪ	0.333
t	-	0.333
l	ɫ	0.333
a	ɐ	0.333
k	s	0.3
k	-	0.3
s	ɕ	0.294
s	sʲ	0.294
x	sʲ	0.286
x	-	0.286
ɛ_ˈ	æː_̌	0.273
ɐ	ɪ	0.261
o	ɪ	0.25
i	uː_̂	0.25
i	iː	0.25
a	eː	0.25
ˈ	ˈ	0.24
s	s	0.235
d	-	0.231
ɔ	ɐ	0.222
ɐ	ɐ	0.217
a	-	0.208
ɛ	ɪ	0.185
ɛ_ˈ	ɪ	0.182
s	ʃ	0.176
n	s	0.176
ɐ	-	0.174
t	tʲ	0.167
i	ʊ	0.167
i	-	0.167
m	-	0.154
ɛ	ɛ	0.148
ɛ	iə̯	0.148
ɐ	eː	0.13
a	oː	0.125
n	ɐ	0.118
t	t_ɐ	0.111
#>	ˈ_#>	0.103
ɐ	ʊ	0.087
ɐ	ɡ_ɐ	0.087
#>	ˈ_s_#>	0.086
i	ɛɪ̯	0.083
i	æɪ̯	0.083
a	oː_̂	0.083
ɛ	nʲ_ɪ	0.074
