Westphalian	Swedish	probability
aɪ̯	ɔ	1.0
b	b	0.875
b	-	0.071
d	d	0.639
d	tʰ	0.198
d	-	0.071
d	ɕ	0.056
f	f	0.907
f	kʰ	0.075
h	h	0.834
h	j	0.166
j	-	1.0
k	k	0.393
k	kʰ	0.208
k	kː	0.156
k	ɕ	0.11
k	ɡː	0.06
l	l	0.861
m	m	0.666
m	mː	0.229
m	-	0.09
n	n	0.484
n	a	0.319
n	nː	0.113
p	p	0.678
p	pː	0.192
p	r	0.094
r	r	0.904
r	ˈɪ	0.054
s	s	0.845
s	ɧ	0.119
t	t	0.375
t	d	0.173
t	tʰ	0.142
t	tː	0.131
t	ʈː	0.101
t	-	0.069
v	v	0.66
v	-	0.295
w	v	0.775
w	-	0.207
x	ɡ	0.719
x	j	0.221
z	s	1.0
ç	ɡ	0.327
ç	ɡː	0.16
ç	-	0.118
ç	rː	0.108
ç	s	0.104
ç	tː	0.104
ç	ŋ	0.078
ŋ	ŋː	0.666
ŋ	ŋ	0.278
ŋ	a	0.056
ɐ	r	0.561
ɐ	ɛ	0.248
ɐ	ˈuː	0.06
ɐ	e	0.06
ə	a	0.871
ə	-	0.075
ə	ɛ	0.054
ɡ	ɡ	0.643
ɡ	ɡː	0.18
ɡ	jː	0.177
ɣ	-	0.749
ɣ	ɡ	0.251
ɪ	-	0.393
ɪ	ɪ	0.393
ɪ	ɵ	0.214
ʃ	s	0.598
ʃ	ɧ	0.376
ˈa	ˈa	0.673
ˈa	ˈoː	0.139
ˈa	ˈɛ	0.089
ˈa	ˈɑː	0.055
ˈaɪ̯	ˈʉː	0.363
ˈaɪ̯	ˈyː	0.144
ˈaɪ̯	ˈeː	0.127
ˈaɪ̯	ʊ	0.099
ˈaɪ̯	ˈøː	0.091
ˈaɪ̯	ˈɛ	0.066
ˈaɪ̯	ˈœ	0.066
ˈaʊ̯	ˈøː	0.553
ˈaʊ̯	ˈœ	0.193
ˈaʊ̯	nː	0.087
ˈaʊ̯	ˈɛː	0.067
ˈaʊ̯	ˈoː	0.059
ˈaː	ˈɑː	0.667
ˈaː	ˈa	0.333
ˈeː	ˈeː	0.701
ˈeː	ˈoː	0.157
ˈeː	ˈɛ	0.114
ˈiə̯	ˈeː	1.0
ˈiɛ̯	ˈɛ	0.501
ˈiɛ̯	ˈiː	0.287
ˈiɛ̯	ˈɔ	0.212
ˈiː	ˈiː	0.684
ˈiː	ˈyː	0.144
ˈiː	ˈæː	0.089
ˈoː	ˈuː	0.664
ˈoː	ˈʊ	0.269
ˈoː	ˈoː	0.067
ˈuə̯	ˈɔ	0.628
ˈuə̯	ˈoː	0.289
ˈuə̯	ˈuː	0.083
ˈuː	ˈʉː	0.723
ˈuː	ˈɵ	0.179
ˈuː	ˈɔ	0.097
ˈuːə̯	ˈoː	0.297
ˈuːə̯	r	0.27
ˈuːə̯	ˈɔ	0.155
ˈuːə̯	ˈɵ	0.137
ˈuːə̯	ˈʉː	0.088
ˈuːə̯	ˈœ	0.052
ˈyə̯	ˈɵ	1.0
ˈyː	ˈyː	0.508
ˈyː	ˈʏ	0.266
ˈyː	ˈɔ	0.227
ˈyːœ̯	ˈøː	1.0
ˈø	ˈɛ	1.0
ˈøː	ˈøː	0.931
ˈøː	ˈœ	0.062
ˈœː	ˈœ	0.801
ˈœː	ˈœː	0.199
ˈɒː	ˈɑː	1.0
ˈɔ	ˈa	0.554
ˈɔ	ˈʉː	0.248
ˈɔ	ˈɔ	0.199
ˈɔː	ˈoː	0.793
ˈɔː	ˈa	0.112
ˈɔː	ˈuː	0.058
ˈɛ	ˈɛ	0.552
ˈɛ	ˈɪ	0.108
ˈɛ	ˈøː	0.106
ˈɛ	ˈa	0.075
ˈɛ	ˈɑː	0.072
ˈɛ	ˈʉː	0.051
ˈɛː	ˈæː	0.361
ˈɛː	ˈɛː	0.281
ˈɛː	j	0.233
ˈɛː	ˈøː	0.125
ˈɪ	ˈɪ	0.601
ˈɪ	ˈiː	0.132
ˈɪ	ˈʉː	0.065
ˈɪə̯	ʊ	0.349
ˈɪə̯	ˈeː	0.349
ˈɪə̯	ˈɛː	0.19
ˈɪə̯	ˈʉː	0.112
ˈɪɛ̯	ˈɛ	0.355
ˈɪɛ̯	ˈɛː	0.254
ˈɪɛ̯	ˈæ	0.117
ˈɪɛ̯	ˈʏ	0.117
ˈɪɛ̯	ˈʉː	0.08
ˈɪɛ̯	j	0.077
ˈʊ	ˈɵ	0.482
ˈʊ	ˈʊ	0.413
ˈʊ	ˈʉː	0.104
ˈʏ	ˈʏ	0.618
ˈʏ	ˈœ	0.2
ˈʏ	ˈɵ	0.182
