Middle High German	Afrikaans	probability
ˈɛ_r	r	1.0
ˈɛ_h	ˈi	1.0
ˈɑː	ˈɑː	1.0
ˈɑ_s̻ː	ˈɑː_t	1.0
ˈɑ_l	ˈœu̯	1.0
ˈøː	ˈʊə̯	1.0
ˈæː	ˈɑː	1.0
ˈyə̯	ˈu	1.0
ˈou̯	ˈʊə̯	1.0
ˈiə̯	ˈi	1.0
ʦː_ə	t	1.0
ʦ	t	1.0
ʃː	s	1.0
ʃ_t	s_t	1.0
ɡ_r	χ_r	1.0
ɛ	i	1.0
ə_r	r	1.0
ə_l	ɫ	1.0
ŋ_ɡ̊	ŋ	1.0
ŋ_ɡ	ŋ	1.0
ŋ	ŋ	1.0
xː_ə	k	1.0
x_s	s	1.0
x	χ	1.0
w	v	1.0
tː	d̥	1.0
s̻ː	t	1.0
s̻_ə	t	1.0
s̻	t	1.0
s	s	1.0
r	r	1.0
p͡f	p	1.0
p	p	1.0
oː	-	1.0
nː_ə	n	1.0
n_ə	n	1.0
n_t	n_d	1.0
mː	ˈɛ_m	1.0
m	m	1.0
lː	ɫ	1.0
l_ə	ɫ	1.0
l	ɫ	1.0
kʰ	k	1.0
k	k	1.0
j	j	1.0
i	ə	1.0
h	ɦ	1.0
fː	p	1.0
f_ə	p	1.0
d̥	d̥	1.0
d_ə	d̥	1.0
b̥	v̥	1.0
b_ə	v̥	1.0
v	v̥	0.927
ˈoː	ˈʊə̯	0.875
d	d	0.836
ɡ̊	χ	0.833
ˈuə̯	ˈu	0.792
ˈe	ˈɛ	0.788
ˈuː	ˈœɪ̯	0.772
b	b	0.76
ˈeː	-	0.75
ɡ	χ	0.75
ˈɑ	ˈa	0.749
ˈiː	ˈəɪ̯	0.748
ˈu	ˈɔ	0.718
ˈi	ˈə	0.703
s_ə	s	0.668
f	p	0.658
ˈei̯	ˈɪə̯	0.644
ə	-	0.636
kː_ə	χ	0.592
n	n	0.576
ʃ	s	0.538
ˈɛ	ˈɪə̯	0.508
t	t	0.499
ˈy	-	0.478
ʃ	s_k	0.462
ˈo	ˈʊə̯	0.455
kː_ə	k	0.408
ˈo	ˈɔ	0.404
ə	ə	0.364
n	-	0.357
ˈei̯	ˈəɪ̯	0.356
ˈy	ˈœ	0.354
ˈyː	ˈyː	0.351
ˈyː	-	0.351
f	v̥	0.342
s_ə	s_ə	0.332
t	-	0.321
ˈyː	ˈœɪ̯	0.298
ˈeː	w	0.25
ɡ	-	0.25
b	-	0.24
ˈuː	-	0.228
ˈe	-	0.212
ˈuə̯	ˈu_j	0.208
ˈɛ	ˈæ	0.2
ˈɑ	ˈɑː	0.199
ˈɛ	ˈæː	0.198
t	d	0.181
ˈu	-	0.177
ˈy	ˈʊə̯	0.167
ɡ̊	ŋ	0.167
d	-	0.164
ˈo	-	0.142
ˈi	ˈæ	0.139
ˈiː	ˈə	0.127
ˈoː	ˈoː	0.125
ˈiː	-	0.125
ˈi	-	0.115
ˈu	ˈɪø̯	0.105
ˈɛ	-	0.094
v	v	0.073
ˈɑ	-	0.052
