Old Frisian	Middle High German	probability
θ	d	1.0
ˈuː_ɣ	rː	1.0
ˈu_lː	ˈo	1.0
ˈe_n	ˈy_n	1.0
ˈa	ˈɑ	1.0
ʦ_ˈiː	ˈæː	1.0
ʣ	ɡ	1.0
ɡː	kː	1.0
ɡ	ɡ	1.0
ə_d	ə_t	1.0
ŋ	ŋ	1.0
ð	d	1.0
z_ə	s_ə	1.0
v	b	1.0
tː	ʦː	1.0
s_ˈe	s_ˈɛ	1.0
s_ˈa	s_ˈɑ	1.0
s_t	s_t	1.0
r_x	r_ɡ̊	1.0
r_t	r_ʦ	1.0
r_n	r_n	1.0
pː	p͡f	1.0
nː	nː	1.0
n	n	1.0
mː	mː	1.0
m	m	1.0
l	l	1.0
kː	kː	1.0
iː	ɛ	1.0
i	ə	1.0
h	h	1.0
f	v	1.0
e	ə	1.0
dː	tː	1.0
bː	b	1.0
b	b	1.0
a	ə_n	1.0
w	w	0.954
r	r	0.933
ə	ə	0.856
ˈi̯aː	ˈiə̯	0.82
ˈi	ˈi	0.799
ˈoː	ˈuə̯	0.784
d	t	0.778
x	x	0.769
ˈuː	ˈuː	0.767
r_ə	r_ə	0.767
ɣ	ɡ	0.755
ˈɔː	ˈɑ	0.75
ˈi̯uː	ˈyː	0.749
ˈɛː	ˈei̯	0.722
ˈiː	ˈiː	0.7
s_k	ʃ	0.66
p	f	0.634
ˈu	ˈu	0.611
n_ə	n_ə	0.606
s	s	0.592
ˈo	ˈo	0.572
l_ə	l	0.561
k	xː	0.557
l_ə	l_ə	0.439
ˈeː	-	0.438
s	ʃ	0.408
n_ə	ə	0.394
ˈaː	ˈoː	0.391
ˈeː	ˈɑː	0.358
s_k	ʃː	0.34
ˈe	ˈɛ	0.338
t	s̻	0.335
ˈaː	ˈou̯	0.331
ˈiː	-	0.3
k	k	0.3
j	ɡ	0.298
j	ə	0.293
ˈe	ˈɑ	0.282
t	ʦ	0.275
ˈi̯uː	-	0.251
ˈɔː	ˈɑː	0.25
ɣ	-	0.245
r_ə	r	0.233
x	ɡ̊	0.231
ˈu	-	0.218
ˈo	ˈu	0.218
ˈoː	ˈɑ_n	0.216
j	ɡ_ə	0.21
t	t	0.208
p	p͡f	0.208
ˈe	ˈe	0.207
ˈeː	ˈyə̯	0.204
ˈɛː	ˈøː	0.184
t	s̻ː	0.181
ˈi̯aː	ˈɛ_h	0.18
ˈu	ˈo	0.171
d	d̥	0.159
ˈaː	ˈei̯	0.15
k	x	0.143
ˈuː	ˈu_n	0.118
ˈo	-	0.116
j	ˈi	0.116
ˈuː	-	0.115
ˈɛː	ˈeː	0.094
ˈo	ˈy	0.094
ə	n	0.09
ˈaː	ɑː	0.085
j	-	0.083
p	fː	0.081
ˈi	ˈiː	0.077
ˈe	ˈy	0.077
ˈi	-	0.076
p	p	0.076
ˈe	-	0.069
d	d	0.063
