Pennsylvania German	Bavarian	probability
b	b̥	1.0
d	d̥	0.834
d	t	0.129
f	f	1.0
h	h	0.978
j	j	0.591
j	ŋ	0.409
k	ɡ̊	0.649
k	k	0.298
k	-	0.053
kʰ	kʰ	1.0
l	l	0.581
l	j	0.37
m	m	0.965
n	n	0.908
n	-	0.064
p	-	0.529
p	b̥	0.214
p	p	0.136
p	p͡f	0.121
s	s	0.982
t	d̥	0.641
t	t	0.353
v	m	0.538
v	b̥	0.422
x	x	1.0
ç	ç	0.534
ç	ɡ̊	0.182
ç	d̥	0.172
ç	x	0.112
ŋ	ŋ	1.0
ɑ	a	0.503
ɑ	ɐ	0.414
ɑ	r	0.082
ə	n	0.682
ə	a	0.249
ɡ	ɡ̊	0.979
ɣ	ɡ̊	0.602
ɣ	ŋ	0.398
ɪ	-	0.306
ɪ	i	0.306
ɪ	a	0.176
ɪ	ŋ	0.106
ɪ	ɪ	0.106
ɾ	r	0.922
ɾ	ɐ	0.078
ʃ	ʃ	0.848
ʃ	s	0.152
ʋ	ʋ	1.0
ʦ	ʦ	1.0
ˈa	ˈa	0.321
ˈa	ˈo	0.236
ˈa	ˈɒ	0.118
ˈa	ˈɒː	0.117
ˈa	ˈɔ	0.092
ˈa	ˈoː	0.065
ˈaɪ̯	ˈai̯	0.945
ˈaɪ̯	ˈoɐ̯	0.055
ˈaʊ̯	ˈau̯	0.828
ˈaʊ̯	ˈaː	0.172
ˈaː	ˈoɐ̯	0.665
ˈaː	ˈa	0.146
ˈaː	ˈoː	0.109
ˈaː	ˈu	0.08
ˈeː	ˈoɐ̯	0.463
ˈeː	ˈe	0.178
ˈeː	ˈi	0.167
ˈeː	ˈeː	0.094
ˈeː	ˈɛː	0.071
ˈiː	ˈiɐ̯	0.379
ˈiː	ˈiː	0.225
ˈiː	ˈeɐ̯	0.179
ˈiː	ˈi	0.099
ˈiː	ˈu	0.082
ˈoː	ˈou̯	0.356
ˈoː	ˈɔ	0.308
ˈoː	ˈoɐ̯	0.128
ˈoː	ˈoː	0.11
ˈoː	ˈɒː	0.079
ˈuː	ˈuɐ̯	1.0
ˈɔ	ˈo	0.619
ˈɔ	ˈoː	0.201
ˈɔ	ˈɔ	0.18
ˈɔɪ̯	ˈoɐ̯	1.0
ˈɔː	ˈaː	0.406
ˈɔː	ˈa	0.168
ˈɔː	ˈo	0.111
ˈɔː	ˈɒː	0.109
ˈɔː	ˈoː	0.064
ˈɔː	ˈɔ	0.064
ˈɛ	ˈɛ	0.401
ˈɛ	ˈeː	0.318
ˈɛ	ˈe	0.201
ˈɛ	ˈɒ	0.073
ˈɛː	ˈɛ	0.454
ˈɛː	ˈe	0.301
ˈɛː	ˈi	0.141
ˈɛː	ˈɛː	0.082
ˈɪ	ˈi	0.782
ˈɪ	ˈʏ	0.076
ˈɪ	ˈu	0.069
ˈʊ	ˈu	0.667
ˈʊ	ˈeɐ̯	0.184
ˈʊ	ˈɛ	0.124
