Slovak	Slovak	probability
ʧ	ʧ	1.0
ʒ̊	ʒ	1.0
ʒ	ʒ	1.0
ʋ_ɔ	ʋ_o	1.0
ʋ_a	ʋ_a	1.0
ʋ	ʋ	1.0
ɪ̯a	eː	1.0
ɡ̊	ɡ̊	1.0
ɟ̊	d	1.0
ɟ	d	1.0
ɛ_m	a_m	1.0
ɛ_#>	e_#>	1.0
æ	eː_̂	1.0
z̥	-	1.0
z	z	1.0
x_#>	ɡ_#>	1.0
x	x	1.0
v	u	1.0
t_a	t_a	1.0
t	t	1.0
s	s	1.0
r̩ː	r̩ː	1.0
r	r	1.0
p	p	1.0
n_iː	a_n	1.0
n	n	1.0
m	m	1.0
l̩	u	1.0
j_a	j_e	1.0
iː_#>	#>	1.0
iː	iː	1.0
f	p	1.0
eː	-	1.0
e	e	1.0
b̥	b	1.0
b	b	1.0
<#_ɔ	<#_o	1.0
<#_l	<#_l	1.0
<#_j	<#_j	1.0
k	k	0.926
ɫ	l	0.889
ɦ	ɡ	0.889
d	d	0.889
d̥	̂_d	0.8
ɲ	n	0.75
a	a	0.708
u	uː	0.667
r̩	r̩	0.667
ʦ	ʦ	0.625
c	t	0.619
ɔ	o	0.61
ɫ̩	uː_̂	0.6
uː	uː_̌	0.6
l	l	0.556
ʎ	ʎ	0.5
ʎ	-	0.5
ʊ̯ɔ	oː	0.5
ʊ̯ɔ	o_̂	0.5
ɪ̯ɛ	j_eː	0.5
ɛ	e	0.5
ɫ̩	u_̂	0.4
uː	uː	0.4
c	t_i	0.381
ʦ	ʨ	0.375
i	i_̂	0.375
u	u	0.333
r̩	r̩ː	0.333
aː	aː	0.333
aː	a_̂	0.333
aː	a	0.333
ɪ̯ɛ	j	0.3
ɲ	ɲ	0.25
l	ʎ	0.222
l	-	0.222
i	iː_̂	0.208
ɪ̯ɛ	e	0.2
d̥	d̥	0.2
ɔ	oː	0.195
i	i	0.167
ɛ	j_eː	0.159
ɔ	a	0.146
i	iː	0.125
i	-	0.125
a	aː	0.125
ɛ	a	0.114
ɫ	-	0.111
ɦ	-	0.111
d	-	0.111
a	aː_̂	0.083
a	-	0.083
k	-	0.074
ɛ	eː	0.068
ɛ	a_̂	0.068
