Swedish	Swedish	probability
ˈʏ_r	ˈʌ	1.0
ˈœː	-	1.0
ˈæː	ˈɛ	1.0
ˈæ	h_ˈɛ	1.0
ˈeː_n	ˈɔe̯	1.0
ˈa_n	ˈaː	1.0
ʊ	n	1.0
ʈː	ʕ_ʦ	1.0
ʈ	d	1.0
ʂ	ʕ_ʃ	1.0
ɳ	ʕ_n	1.0
ɪ	ɪ	1.0
ɡː	ɡ	1.0
ɡ_#>	#>	1.0
ɡ	ɡ	1.0
ɛ_r	ʌ	1.0
ɖ	ʕ_d	1.0
ɔ	eə̯	1.0
ŋː	ŋ	1.0
v_#>	b_#>	1.0
tʰ_r	d_ʁ	1.0
t_a	s_a	1.0
t	s	1.0
sː	s	1.0
s_ˈɛ	s	1.0
s_ˈa	s_ˈa	1.0
s_t	ʃ_d	1.0
s_k	ʃ	1.0
s_#>	s_#>	1.0
rː	ɡ	1.0
pʰ	p͡f	1.0
p	f	1.0
nː	n	1.0
mː	m	1.0
m	m	1.0
lː	l_e	1.0
l_#>	l_#>	1.0
l	l	1.0
kʰ	kʰ	1.0
k_#>	#>	1.0
jː	ˈaː_ɡ	1.0
h	h	1.0
f	f	1.0
b	b	1.0
a_#>	#>	1.0
<#_ˈa	<#_ˈɛ	1.0
<#_r	<#_ʁ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#	<#_j	1.0
d	d	0.952
a	a	0.929
ˈa	ˈa	0.867
ɛ	-	0.833
ˈiː	ˈəi̯	0.8
ˈʊ	ˈo	0.75
ˈɵ	ˈo	0.727
ŋ	ɡ	0.667
pː	f	0.667
<#_j	<#	0.667
k	ç	0.625
v	ʋ	0.615
ˈʏ	ˈu	0.6
tʰ	ʦ	0.583
ˈɑː	ˈa	0.556
ˈœ	-	0.556
ɧ	ʃ	0.556
n	n	0.556
ˈuː	ˈuə̯	0.538
ˈʉː	ˈao̯	0.526
ˈɛː	-	0.5
ˈɛ	ˈɛ	0.5
ˈyː	ˈəi̯	0.5
ˈyː	-	0.5
ˈeː	ˈɔe̯	0.5
ɕ	kʰ	0.5
ɕ	d	0.5
kː	ɡ	0.5
kː	ŋ_ɡ	0.5
s	s	0.458
ˈɑː	ˈaː	0.444
ɧ	s	0.444
j	ɡ	0.444
ˈøː	-	0.438
tʰ	d	0.417
r	ʁ	0.412
ˈʏ	-	0.4
#>	a_#>	0.385
ˈɔ	ˈɔ	0.375
ˈɔ	-	0.375
s	ʃ	0.375
k	x	0.375
tː	x_d	0.364
tː	s	0.364
ˈoː	ˈɔː	0.357
ˈoː	-	0.357
ŋ	i	0.333
pː	b̥͡f	0.333
j	ˈi	0.333
<#_j	<#_d	0.333
ˈɪ	ˈi	0.308
ˈɪ	ˈe	0.308
ˈuː	-	0.308
ˈeː	-	0.3
n	-	0.296
r	ʌ	0.294
ˈoː	ˈoː	0.286
ˈɵ	-	0.273
ˈʊ	ˈɔə̯	0.25
ˈɛː	ˈɛː	0.25
ˈɛː	ˈɛ	0.25
ˈɔ	ˈo	0.25
ˈøː	ˈoː	0.25
r	ʕ	0.235
ˈɪ	-	0.231
v	b	0.231
#>	ʌ_#>	0.231
#>	s_#>	0.231
ˈɛ	-	0.227
ˈœ	ˈu	0.222
ˈœ	ˈae̯	0.222
j	-	0.222
ˈʉː	ˈiə̯	0.211
ˈiː	ˈae̯	0.2
ˈeː	ˈae̯	0.2
ˈøː	ˈao̯	0.188
ˈɛ	ˈɔe̯	0.182
tː	ʦ	0.182
ɛ	ʌ	0.167
ˈʉː	-	0.158
ˈɪ	ˈɪ	0.154
ˈuː	ˈuː	0.154
v	f	0.154
#>	d_#>	0.154
n	a	0.148
ˈa	ˈɔː	0.133
ˈøː	ˈuə̯	0.125
ˈʉː	ˈiː	0.105
ˈɛ	ˈa	0.091
tː	ʣ	0.091
s	ʃ_ʋ	0.083
s	d	0.083
a	d	0.071
r	-	0.059
