Galician	Eastern Lombard	probability
f	f	1.0
j	-	1.0
k	k	1.0
p	p	1.0
r	r	1.0
ɡ	ɡ	1.0
ʧ	p_j	1.0
ˈa	ˈa	1.0
ˈɑ	ˈa	1.0
b	ʋ	0.101
l	-	0.061
o	-	0.361
ŋ	ŋ	0.161
ɣ	ɡ	0.901
ˈi	ˈe	0.321
ˈɛ	ˈe	0.381
a	-	0.152
m	m	0.812
ɐ	-	0.092
ɾ	r_e	0.072
ɾ	-	0.332
ʎ	ʤ	0.212
ʎ	j	0.532
ˈe	ˈa	0.052
ˈe	ˈi	0.052
ˈi	ˈi	0.592
ˈo	ˈø	0.112
ˈɔ	ˈo	0.302
β	b	0.132
a	a	0.543
t	t_e	0.063
ɐ	n_a	0.083
ɲ	ɲ	0.533
ʊ	-	0.343
ʊ	e	0.433
a	e	0.054
i	i	0.714
s	s	0.894
ɪ	a	0.224
ʃ	z	0.644
ˈɔ	ˈu	0.144
a	ˈa	0.25
d	d	0.975
e	-	0.055
w	-	0.135
w	w	0.865
ʊ	o	0.225
ˈe	-	0.235
ˈe	ˈe	0.335
ˈu	ˈo	0.205
θ	-	0.155
i	-	0.286
n	-	0.176
s	-	0.106
ð	-	0.106
ɪ	e	0.776
ɾ	r	0.596
ʎ	-	0.256
ˈo	ˈo	0.126
ˈɔ	ˈø	0.276
e	i	0.057
t	t	0.937
ð	d	0.477
ɲ	n	0.467
ʃ	-	0.197
ˈe	ˈɛ	0.327
ˈi	ˈɛ	0.087
e	e	0.888
m	-	0.188
n	n	0.788
ð	t	0.418
ˈo	ˈu	0.388
ˈu	ˈø	0.238
ˈu	ˈy	0.558
ˈɔ	ˈɔ	0.278
θ	s	0.818
b	b	0.899
l	l	0.939
o	o	0.639
ŋ	-	0.839
ɐ	a	0.789
ɣ	-	0.099
ʃ	s	0.159
ˈo	ˈɔ	0.349
ˈɛ	ˈɛ	0.619
β	f	0.219
β	-	0.649
