Gallurese	Gallurese	probability
ˈɛ_#>	ˈɛ_#>	1.0
ˈi_#>	e_#>	1.0
ˈe_#>	e_#>	1.0
ˈa_i_#>	ˈa_#>	1.0
ʧː	ʧː	1.0
ʦː	ʦː	1.0
ʦ	ʦ	1.0
ʣ	ʣ	1.0
ʒ	-	1.0
ɟː	ɟ_e	1.0
ɟ	ɟ	1.0
ɔ	u	1.0
ŋ	ŋ	1.0
z	z	1.0
v	v	1.0
u_l	u_l	1.0
t	t	1.0
pː	p	1.0
p_u	p_u	1.0
p	p	1.0
o	o	1.0
mː_u	m_e	1.0
mː	m	1.0
l_i	l_e	1.0
kː	kː	1.0
k_r	k_r	1.0
k	k	1.0
j	j	1.0
i_k	i_k	1.0
fː	fː	1.0
f	f	1.0
e	e	1.0
d_u	d_u	1.0
d	d	1.0
cː	c	1.0
bː	-	1.0
a_r	e_r	1.0
a_m	a_m	1.0
<#_ˈa	<#_ˈa	1.0
<#_u	<#_u	1.0
<#_r	<#_r	1.0
<#_c	<#_c	1.0
<#_a	<#_a	1.0
n	n	0.971
m	m	0.963
ˈa	ˈa	0.952
r	r	0.944
a	a	0.932
s	s	0.931
ˈe	ˈe	0.917
ˈɛ	ˈɛ	0.897
u	u	0.881
ˈo	ˈo	0.867
ˈɔ	ˈɔ	0.864
b	b	0.857
ʧ	ʧ	0.826
tː	tː	0.812
ɖː	lː	0.81
ˈi	ˈi	0.714
ɡ	ɡ	0.714
l	l	0.696
ˈu	ˈu	0.667
ʃː	ʃ	0.667
ɲː	ɲ	0.667
sː	sː	0.667
rː	r_n	0.6
#>	u_#>	0.6
i	e	0.544
nː	nː	0.5
nː	-	0.5
rː	rː	0.4
#>	a_#>	0.4
ʃː	ʃː	0.333
ɲː	ŋ_ɟ	0.333
sː	r_s	0.333
ɡ	k	0.286
i	i	0.279
l	r	0.261
ˈi	ˈɛ	0.2
ɖː	ʎ	0.19
ʧ	-	0.174
ˈu	ˈɔ	0.167
ˈu	ˈo	0.167
b	v	0.143
ˈo	ˈɔ	0.133
tː	-	0.125
ˈɛ	ˈe	0.103
ˈɔ	ˈɔ_v	0.091
ˈi	ˈe	0.086
ˈe	-	0.083
s	ʃ	0.069
tː	dː	0.062
i	-	0.059
r	ˈɔ	0.056
