Lengadocian	Latin	probability
ˈɔ_k	k_ʊ̃ː	1.0
ˈe_j	ˈeː_ɡ	1.0
ˈa_w	ˈau̯	1.0
ʀ_k	r_k	1.0
ɡ	ɡ	1.0
ŋ	ŋ	1.0
ð_ɔ	t_ãː	1.0
ð	t	1.0
z_e	ɪ̃	1.0
y	-	1.0
s_t	s_t	1.0
p	p	1.0
nː	m_ɪ	1.0
n_d	n_ɛ	1.0
mː	p_t	1.0
m	m	1.0
lː	ˈĩː	1.0
l_ˈe	lʲ_ˈɪ	1.0
k_ɾ	k_r	1.0
k_ɔ	k_ãː	1.0
j_ˈɛ	ˈɛ	1.0
j_ˈe	ˈe	1.0
j_ɾ	t_r	1.0
j_s	s_k	1.0
i	iː	1.0
f	f	1.0
e_z	eː	1.0
e_n	ɛ_n	1.0
e_l	ɛ_ɫ	1.0
d	d	1.0
b_ˈa	b_ˈa	1.0
a_ʤ	a_d	1.0
ɔ	ãː	0.923
ɾ	r	0.897
ʀ	r	0.888
ˈi	ˈiː	0.879
ˈɔ	ˈɔ	0.866
n	n	0.854
ɥ	ˈɔ	0.811
ˈy	ˈuː	0.798
a	a	0.767
ʧ	k_t	0.746
ɾ_e	r_ʊ̃ː	0.719
t	t	0.704
ʦ	k_ɛ̃ː	0.7
ɣ	k	0.674
b	w	0.672
ˈɛ	ˈɛ	0.664
z	-	0.661
l	ɫ	0.63
ɾ_ˈa	r_ˈaː	0.604
ˈa	ˈa	0.516
ʎ	lʲ_i	0.5
ʎ	k_ʊ	0.5
j	ˈeː	0.465
k	kʷ	0.452
ˈe	ˈɪ	0.448
ʤ	ɡ	0.447
ˈa	ˈaː	0.43
ˈu	ˈʊ	0.421
ɲ	n_e	0.409
e	ɛ	0.407
ɾ_ˈa	r_ˈa	0.396
ˈe	ˈeː	0.391
s	s	0.387
β	p	0.386
u	ɔ	0.378
s	k	0.322
k	kː	0.318
b	b	0.316
ɲ	n_i	0.307
l	lʲː	0.306
ʦ	t_i	0.3
ʤ	d	0.287
ɲ	ŋ_n	0.284
ɾ_e	r	0.281
ˈu	ˈoː	0.28
j	i	0.273
u	oː	0.27
j	ˈɛ	0.261
ʧ	t	0.254
t	tː	0.254
β	b	0.247
w	b_ɛ	0.233
a	aː	0.233
k	k	0.23
e	ɪ	0.22
z	s	0.211
ˈy	ˈʊ	0.202
ɥ	-	0.189
β	w	0.173
ʤ	j	0.171
u	ʊ	0.166
ɣ	ɡ	0.163
ɣ	kʷ	0.163
ˈu	ˈɔ	0.16
w	oː	0.15
e	ɛ̃ː	0.148
ˈɔ	-	0.134
ˈɛ	k	0.132
β	p_ɛ	0.131
w	ɫ	0.129
w	w_ɪ	0.129
z	tʰ	0.128
s	sː	0.118
w	w_ʊ̃ː	0.116
ʀ	rː	0.112
u	-	0.112
ˈe	ɪ	0.103
ɾ	ɛ_r	0.103
n	ŋ	0.101
ʤ	-	0.095
ˈɛ	i	0.091
w	w_ɛ̃ː	0.089
ˈɛ	k_ʊ	0.077
ɔ	ɫ_ãː	0.077
w	b	0.077
w	-	0.077
u	o	0.075
s	k_i	0.074
ˈu	ˈoː_r	0.07
ˈu	ˈu	0.069
e	-	0.066
β	b_ʊ	0.063
l	lʲ	0.063
s	t	0.062
ˈe	ˈoe̯	0.059
ˈi	-	0.056
e	ʊ̃ː	0.051
