Friulian	Spanish	probability
a	a	0.694
a	e	0.111
a	o	0.078
a	-	0.063
aː	ˈe	1.0
b	b	0.775
b	β	0.165
b	k	0.06
c	k	0.847
c	θ	0.064
c	t	0.059
d	d	0.489
d	ð	0.403
e	a	0.763
e	e	0.131
e	x_a	0.073
f	-	0.666
f	β_e	0.152
f	f	0.077
f	β	0.056
f	β_o	0.05
i	e	0.284
i	o	0.235
i	ˈe_ɾ	0.134
i	i	0.131
i	ɾ	0.07
j	j	0.621
j	-	0.244
j	o	0.068
k	k	0.684
k	k_o	0.142
k	ɣ_o	0.106
k	ɣ	0.051
l	l	0.721
l	ʝ_o	0.112
l	x	0.063
l	-	0.056
m	m	0.936
m	-	0.056
n	n	0.853
n	ɲ	0.058
o	o	0.761
o	ˈe	0.103
o	ˈo	0.062
p	p	0.884
p	β	0.081
r	ɾ	0.674
r	r	0.117
r	ɾ_n	0.08
s	s	0.624
s	θ	0.144
s	-	0.067
t	t	0.546
t	ð	0.172
t	-	0.103
t	ʧ	0.078
t	ð_o	0.073
u	o	0.437
u	i	0.183
u	u	0.115
u	ɲ	0.115
u	-	0.087
u	e	0.063
v	b	0.663
v	β	0.256
v	-	0.063
w	w	0.706
w	-	0.088
w	ˈo	0.075
w	j	0.061
w	o	0.061
z	s	0.369
z	θ	0.369
z	-	0.263
ŋ	ŋ	0.713
ŋ	-	0.229
ŋ	n	0.058
ɟ	ɡ	1.0
ɡ	ɡ	0.469
ɡ	ɣ	0.262
ɡ	ɣ_w	0.135
ɡ	k	0.073
ɡ	-	0.06
ɲ	ɲ	0.438
ɲ	n	0.347
ɲ	ɲ_o	0.214
ʤ	-	0.368
ʤ	θ	0.343
ʤ	ɟ͡ʝ	0.174
ʤ	x	0.092
ʧ	θ	0.618
ʧ	-	0.118
ʧ	j	0.102
ʧ	t	0.072
ʧ	k	0.063
ˈa	ˈa	0.814
ˈa	ˈe	0.135
ˈa	-	0.051
ˈaː	ˈa_ɾ	0.491
ˈaː	ˈa	0.391
ˈaː	ˈi	0.072
ˈe	ˈe	0.93
ˈeː	ˈe	0.659
ˈeː	ˈe_ɾ	0.234
ˈeː	ˈi	0.107
ˈi	ˈe	0.514
ˈi	ˈi	0.382
ˈi	ˈe_ɾ	0.074
ˈiː	j	0.519
ˈiː	ˈi_ɾ	0.307
ˈiː	ˈi	0.173
ˈo	ˈo	0.597
ˈo	ˈe	0.11
ˈo	w	0.095
ˈo	ˈu	0.088
ˈo	o	0.085
ˈoː	ˈo	0.902
ˈoː	ˈu	0.098
ˈu	ˈu	0.705
ˈu	o	0.119
ˈu	ˈo	0.073
ˈu	ˈe	0.067
ˈuː	ˈu	0.478
ˈuː	w_ˈe	0.331
ˈuː	ˈo	0.191
ˈɔ	ˈo	0.412
ˈɔ	w_ˈe	0.401
ˈɔ	ˈu	0.101
ˈɔː	w	1.0
ˈɛ	ˈe	0.848
ˈɛ	ˈi	0.102
ˈɛː	ˈe	1.0
